Year,UNIT_MEASURE,SERIES,Value
2014,PT_PREV_Y,Расходы домохозяйств на душу населения,106.7
2014,PT_PREV_Y,Доходы домохозяйств на душу населения среди населения,108.1
2014,PT_PREV_Y,Расходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,106.7
2014,PT_PREV_Y,Доходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,108.3
2015,PT_PREV_Y,Расходы домохозяйств на душу населения,103.7
2015,PT_PREV_Y,Доходы домохозяйств на душу населения среди населения,105.5
2015,PT_PREV_Y,Расходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,103.1
2015,PT_PREV_Y,Доходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,103.6
2016,PT_PREV_Y,Расходы домохозяйств на душу населения,108.7
2016,PT_PREV_Y,Доходы домохозяйств на душу населения среди населения,108.2
2016,PT_PREV_Y,Расходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,109.3
2016,PT_PREV_Y,Доходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,109.5
2017,PT_PREV_Y,Расходы домохозяйств на душу населения,110.7
2017,PT_PREV_Y,Доходы домохозяйств на душу населения среди населения,107.0
2017,PT_PREV_Y,Расходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,109.2
2017,PT_PREV_Y,Доходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,106.0
2018,PT_PREV_Y,Расходы домохозяйств на душу населения,110.5
2018,PT_PREV_Y,Доходы домохозяйств на душу населения среди населения,110.2
2018,PT_PREV_Y,Расходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,111.1
2018,PT_PREV_Y,Доходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,111.8
2019,PT_PREV_Y,Расходы домохозяйств на душу населения,109.0
2019,PT_PREV_Y,Доходы домохозяйств на душу населения среди населения,110.1
2019,PT_PREV_Y,Расходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,108.9
2019,PT_PREV_Y,Доходы домохозяйств на душу населения среди наименее обеспеченных 40 процентов населения,109.7
