Year,UNIT_MEASURE,Area,Regions,Value
2010,Percent,,,99.4
2010,Percent,,Akmola,99.7
2010,Percent,,Aktobe,99.7
2010,Percent,,Almaty,99.8
2010,Percent,,Atyrau,99.5
2010,Percent,,Batys Kazakhstan,99.4
2010,Percent,,Zhambyl,99.3
2010,Percent,,Karagandy,99.5
2010,Percent,,Kostanay,99.3
2010,Percent,,Kyzylorda,99.7
2010,Percent,,Mangistau,99.5
2010,Percent,,Ontustik Kazakhstan,98.8
2010,Percent,,Pavlodar,99.6
2010,Percent,,Soltustik Kazakhstan,99.5
2010,Percent,,Shygys Kazakhstan,99.2
2010,Percent,,Nur-Sultan city,99.3
2010,Percent,,Almaty city,99.7
2010,Percent,Population of urban areas,,99.8
2010,Percent,Population of urban areas,Akmola,100.0
2010,Percent,Population of urban areas,Aktobe,100.0
2010,Percent,Population of urban areas,Almaty,100.0
2010,Percent,Population of urban areas,Atyrau,100.0
2010,Percent,Population of urban areas,Batys Kazakhstan,99.7
2010,Percent,Population of urban areas,Zhambyl,99.7
2010,Percent,Population of urban areas,Karagandy,99.8
2010,Percent,Population of urban areas,Kostanay,99.6
2010,Percent,Population of urban areas,Kyzylorda,100.0
2010,Percent,Population of urban areas,Mangistau,99.8
2010,Percent,Population of urban areas,Ontustik Kazakhstan,99.6
2010,Percent,Population of urban areas,Pavlodar,99.9
2010,Percent,Population of urban areas,Soltustik Kazakhstan,99.8
2010,Percent,Population of urban areas,Shygys Kazakhstan,99.8
2010,Percent,Population of urban areas,Nur-Sultan city,99.7
2010,Percent,Population of urban areas,Almaty city,100.0
2010,Percent,Population of rural areas,,99.7
2010,Percent,Population of rural areas,Akmola,99.9
2010,Percent,Population of rural areas,Aktobe,99.9
2010,Percent,Population of rural areas,Almaty,100.0
2010,Percent,Population of rural areas,Atyrau,99.7
2010,Percent,Population of rural areas,Batys Kazakhstan,99.8
2010,Percent,Population of rural areas,Zhambyl,99.6
2010,Percent,Population of rural areas,Karagandy,99.4
2010,Percent,Population of rural areas,Kostanay,99.9
2010,Percent,Population of rural areas,Kyzylorda,99.8
2010,Percent,Population of rural areas,Mangistau,100.0
2010,Percent,Population of rural areas,Ontustik Kazakhstan,99.6
2010,Percent,Population of rural areas,Pavlodar,99.9
2010,Percent,Population of rural areas,Soltustik Kazakhstan,99.9
2010,Percent,Population of rural areas,Shygys Kazakhstan,99.1
2011,Percent,,,99.9
2011,Percent,,Akmola,99.9
2011,Percent,,Aktobe,100.0
2011,Percent,,Almaty,100.0
2011,Percent,,Atyrau,100.0
2011,Percent,,Batys Kazakhstan,99.9
2011,Percent,,Zhambyl,99.8
2011,Percent,,Karagandy,99.8
2011,Percent,,Kostanay,99.9
2011,Percent,,Kyzylorda,99.9
2011,Percent,,Mangistau,99.8
2011,Percent,,Ontustik Kazakhstan,99.8
2011,Percent,,Pavlodar,99.8
2011,Percent,,Soltustik Kazakhstan,99.9
2011,Percent,,Shygys Kazakhstan,99.8
2011,Percent,,Nur-Sultan city,99.6
2011,Percent,,Almaty city,99.9
2011,Percent,Population of urban areas,,99.9
2011,Percent,Population of urban areas,Akmola,100.0
2011,Percent,Population of urban areas,Aktobe,100.0
2011,Percent,Population of urban areas,Almaty,100.0
2011,Percent,Population of urban areas,Atyrau,100.0
2011,Percent,Population of urban areas,Batys Kazakhstan,99.9
2011,Percent,Population of urban areas,Zhambyl,100.0
2011,Percent,Population of urban areas,Karagandy,99.9
2011,Percent,Population of urban areas,Kostanay,99.9
2011,Percent,Population of urban areas,Kyzylorda,99.9
2011,Percent,Population of urban areas,Mangistau,99.8
2011,Percent,Population of urban areas,Ontustik Kazakhstan,99.6
2011,Percent,Population of urban areas,Pavlodar,99.8
2011,Percent,Population of urban areas,Soltustik Kazakhstan,100.0
2011,Percent,Population of urban areas,Shygys Kazakhstan,100.0
2011,Percent,Population of urban areas,Nur-Sultan city,99.6
2011,Percent,Population of urban areas,Almaty city,99.9
2011,Percent,Population of rural areas,,99.8
2011,Percent,Population of rural areas,Akmola,99.9
2011,Percent,Population of rural areas,Aktobe,99.9
2011,Percent,Population of rural areas,Almaty,100.0
2011,Percent,Population of rural areas,Atyrau,100.0
2011,Percent,Population of rural areas,Batys Kazakhstan,100.0
2011,Percent,Population of rural areas,Zhambyl,99.6
2011,Percent,Population of rural areas,Karagandy,99.1
2011,Percent,Population of rural areas,Kostanay,99.9
2011,Percent,Population of rural areas,Kyzylorda,100.0
2011,Percent,Population of rural areas,Mangistau,99.7
2011,Percent,Population of rural areas,Ontustik Kazakhstan,99.9
2011,Percent,Population of rural areas,Pavlodar,99.6
2011,Percent,Population of rural areas,Soltustik Kazakhstan,99.9
2011,Percent,Population of rural areas,Shygys Kazakhstan,98.9
2012,Percent,,,99.8
2012,Percent,,Akmola,99.9
2012,Percent,,Aktobe,100.0
2012,Percent,,Almaty,100.0
2012,Percent,,Atyrau,99.9
2012,Percent,,Batys Kazakhstan,99.8
2012,Percent,,Zhambyl,99.9
2012,Percent,,Karagandy,99.9
2012,Percent,,Kostanay,99.9
2012,Percent,,Kyzylorda,99.8
2012,Percent,,Mangistau,99.8
2012,Percent,,Ontustik Kazakhstan,99.7
2012,Percent,,Pavlodar,99.8
2012,Percent,,Soltustik Kazakhstan,99.9
2012,Percent,,Shygys Kazakhstan,99.8
2012,Percent,,Nur-Sultan city,99.6
2012,Percent,,Almaty city,99.8
2012,Percent,Population of urban areas,,99.9
2012,Percent,Population of urban areas,Akmola,100.0
2012,Percent,Population of urban areas,Aktobe,100.0
2012,Percent,Population of urban areas,Almaty,100.0
2012,Percent,Population of urban areas,Atyrau,99.9
2012,Percent,Population of urban areas,Batys Kazakhstan,99.8
2012,Percent,Population of urban areas,Zhambyl,100.0
2012,Percent,Population of urban areas,Karagandy,99.9
