Year,UNIT_MEASURE,Regions,Value
2015,Percent,,30.0
2016,Percent,,35.0
2017,Percent,,39.9
2018,Percent,,54.0
2017,Percent,Akmola,55.0
2018,Percent,Akmola,56.2
2017,Percent,Aktobe,53.4
2018,Percent,Aktobe,54.8
2017,Percent,Almaty,12.8
2018,Percent,Almaty,33.6
2017,Percent,Atyrau,13.5
2018,Percent,Atyrau,52.7
2017,Percent,Batys Kazakhstan,30.5
2018,Percent,Batys Kazakhstan,72.3
2017,Percent,Zhambyl,12.9
2018,Percent,Zhambyl,65.8
2017,Percent,Karagandy,50.7
2018,Percent,Karagandy,51.1
2017,Percent,Kostanay,33.5
2018,Percent,Kostanay,52.8
2017,Percent,Kyzylorda,25.0
2018,Percent,Kyzylorda,17.1
2017,Percent,Mangistau,30.9
2018,Percent,Mangistau,39.9
2017,Percent,Ontustik Kazakhstan,55.2
2018,Percent,Ontustik Kazakhstan,62.5
2017,Percent,Pavlodar,66.5
2017,Percent,Soltustik Kazakhstan,23.6
2018,Percent,Soltustik Kazakhstan,57.4
2018,Percent,Turkistan,79.2
2017,Percent,Shygys Kazakhstan,53.2
2018,Percent,Shygys Kazakhstan,77.6
2017,Percent,Nur-Sultan city,44.3
2018,Percent,Nur-Sultan city,36.8
2017,Percent,Almaty city,36.4
2018,Percent,Almaty city,49.3
2018,Percent,Shymkent city,46.7
