Year,UNIT_MEASURE,Regions,Value
2010,Percent,,0.05
2010,Percent,Akmola,0.1
2010,Percent,Aktobe,0.0
2010,Percent,Almaty,0.2
2010,Percent,Atyrau,0.1
2010,Percent,Batys Kazakhstan,0.0
2010,Percent,Zhambyl,0.0
2010,Percent,Karagandy,0.0
2010,Percent,Kostanay,0.0
2010,Percent,Kyzylorda,0.1
2010,Percent,Mangistau,0.0
2010,Percent,Ontustik Kazakhstan,0.1
2010,Percent,Pavlodar,0.0
2010,Percent,Soltustik Kazakhstan,0.1
2010,Percent,Shygys Kazakhstan,0.1
2010,Percent,Nur-Sultan city,0.0
2010,Percent,Almaty city,0.0
2011,Percent,,0.05
2011,Percent,Akmola,0.0
2011,Percent,Aktobe,0.0
2011,Percent,Almaty,0.3
2011,Percent,Atyrau,0.1
2011,Percent,Batys Kazakhstan,0.0
2011,Percent,Zhambyl,0.1
2011,Percent,Karagandy,0.1
2011,Percent,Kostanay,0.0
2011,Percent,Kyzylorda,0.1
2011,Percent,Mangistau,0.0
2011,Percent,Ontustik Kazakhstan,0.1
2011,Percent,Pavlodar,0.0
2011,Percent,Soltustik Kazakhstan,0.0
2011,Percent,Shygys Kazakhstan,0.1
2011,Percent,Nur-Sultan city,0.0
2011,Percent,Almaty city,0.0
2012,Percent,,0.05
2012,Percent,Akmola,0.0
2012,Percent,Aktobe,0.0
2012,Percent,Almaty,0.2
2012,Percent,Atyrau,0.1
2012,Percent,Batys Kazakhstan,0.0
2012,Percent,Zhambyl,0.1
2012,Percent,Karagandy,0.0
2012,Percent,Kostanay,0.0
2012,Percent,Kyzylorda,0.2
2012,Percent,Mangistau,0.0
2012,Percent,Ontustik Kazakhstan,0.1
2012,Percent,Pavlodar,0.0
2012,Percent,Soltustik Kazakhstan,0.1
2012,Percent,Shygys Kazakhstan,0.1
2012,Percent,Nur-Sultan city,0.0
2012,Percent,Almaty city,0.0
2013,Percent,,0.2
2013,Percent,Akmola,0.2
2013,Percent,Aktobe,0.0
2013,Percent,Almaty,0.8
2013,Percent,Atyrau,0.5
2013,Percent,Batys Kazakhstan,0.0
2013,Percent,Zhambyl,0.2
2013,Percent,Karagandy,0.1
2013,Percent,Kostanay,0.0
2013,Percent,Kyzylorda,0.3
2013,Percent,Mangistau,0.2
2013,Percent,Ontustik Kazakhstan,0.4
2013,Percent,Pavlodar,0.1
2013,Percent,Soltustik Kazakhstan,0.3
2013,Percent,Shygys Kazakhstan,0.3
2013,Percent,Nur-Sultan city,0.0
2013,Percent,Almaty city,0.0
2014,Percent,,0.2
2014,Percent,Akmola,0.2
2014,Percent,Aktobe,0.0
