Year,UNIT_MEASURE,SERIES,Regions,Value
2010,millions tonnes,Cargo transported by all means of transport,,2439.3905
2010,millions tonnes,Pipeline,,194.0
2010,millions tonnes,Railway,,267.9
2010,millions tonnes,Automobile,,1971.8
2010,millions tonnes,Air,,0.289
2010,millions tonnes,Inland water еransport,,1.1199
2010,millions tonnes,nautical,,4.655
2010,millions tonnes,,Akmola,95.8478
2010,millions tonnes,,Aktobe,40.9726
2010,millions tonnes,,Almaty,116.6198
2010,millions tonnes,,Atyrau,118.4847
2010,millions tonnes,,Batys Kazakhstan,30.2667
2010,millions tonnes,,Zhambyl,55.9545
2010,millions tonnes,,Karagandy,443.9648
2010,millions tonnes,,Kostanay,221.5098
2010,millions tonnes,,Kyzylorda,66.32430000000001
2010,millions tonnes,,Mangistau,141.5499
2010,millions tonnes,,Ontustik Kazakhstan,77.4695
2010,millions tonnes,,Pavlodar,78.54469999999999
2010,millions tonnes,,Soltustik Kazakhstan,40.0789
2010,millions tonnes,,Shygys Kazakhstan,327.3275
2010,millions tonnes,,Nur-Sultan city,66.7086
2010,millions tonnes,,Almaty city,142.44289999999998
2010,mln.people,Passengers transported by all means of transport,,13186.4941
2010,mln.people,Railway transport,,19.6
2010,mln.people,Automobile,,13083.9
2010,mln.people,Inland water еransport,,0.1
2010,mln.people,Air,,3.4
2010,mln.people,City electric transport,,79.53
2010,mln.people,,Akmola,1057.8989
2010,mln.people,,Aktobe,163.5094
2010,mln.people,,Almaty,436.6198
2010,mln.people,,Atyrau,95.3865
2010,mln.people,,Batys Kazakhstan,270.428
2010,mln.people,,Zhambyl,570.5845
2010,mln.people,,Karagandy,1440.6618999999998
2010,mln.people,,Kostanay,1153.3571000000002
2010,mln.people,,Kyzylorda,139.7043
2010,mln.people,,Mangistau,60.2485
2010,mln.people,,Ontustik Kazakhstan,1337.6321
2010,mln.people,,Pavlodar,798.2521999999999
2010,mln.people,,Soltustik Kazakhstan,365.4984
2010,mln.people,,Shygys Kazakhstan,1272.7242
2010,mln.people,,Nur-Sultan city,1408.8999
2010,mln.people,,Almaty city,2595.527
2010,millions tonnes,_L_KZ_090102_1J,,1971.77081
2010,millions tonnes,_L_KZ_090102_1J,Akmola,95.84779
2010,millions tonnes,_L_KZ_090102_1J,Aktobe,40.97257
2010,millions tonnes,_L_KZ_090102_1J,Almaty,116.61975
2010,millions tonnes,_L_KZ_090102_1J,Atyrau,52.14737
2010,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,30.02608
2010,millions tonnes,_L_KZ_090102_1J,Zhambyl,55.95452
2010,millions tonnes,_L_KZ_090102_1J,Karagandy,443.96474
2010,millions tonnes,_L_KZ_090102_1J,Kostanay,221.50981
2010,millions tonnes,_L_KZ_090102_1J,Kyzylorda,66.32433999999999
2010,millions tonnes,_L_KZ_090102_1J,Mangistau,136.89491
2010,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,77.46877
2010,millions tonnes,_L_KZ_090102_1J,Pavlodar,57.84632
2010,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,39.99885
2010,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,327.07152
2010,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,66.7086
2010,millions tonnes,_L_KZ_090102_1J,Almaty city,142.41484
2010,mln.people,Passengers transported by all means of transport,,13163.44535
2010,mln.people,Passengers transported by all means of transport,Akmola,1057.89889
2010,mln.people,Passengers transported by all means of transport,Aktobe,163.50942
2010,mln.people,Passengers transported by all means of transport,Almaty,436.59054
2010,mln.people,Passengers transported by all means of transport,Atyrau,95.38183
2010,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,270.39652
2010,mln.people,Passengers transported by all means of transport,Zhambyl,570.58449
2010,mln.people,Passengers transported by all means of transport,Karagandy,1440.6431
2010,mln.people,Passengers transported by all means of transport,Kostanay,1153.35712
2010,mln.people,Passengers transported by all means of transport,Kyzylorda,139.70432
