Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,per 100000 population,_L_HLTH_IMBD_SUBS,350.7
2010,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,301.3
2010,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,44.3
2011,per 100000 population,_L_HLTH_IMBD_SUBS,330.9
2011,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,287.3
2011,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,37.1
2012,per 100000 population,_L_HLTH_IMBD_SUBS,311.4
2012,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,276.5
2012,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,28.4
2013,per 100000 population,_L_HLTH_IMBD_SUBS,278.2
2013,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,241.1
2013,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,33.0
2014,per 100000 population,_L_HLTH_IMBD_SUBS,241.5
2014,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,210.0
2014,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,29.7
2015,per 100000 population,_L_HLTH_IMBD_SUBS,216.4
2015,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,184.8
2015,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,30.7
2016,per 100000 population,_L_HLTH_IMBD_SUBS,156.6
2016,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,130.6
2016,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,25.1
2017,per 100000 population,_L_HLTH_IMBD_SUBS,109.2
2017,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,86.6
2017,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,21.8
2018,per 100000 population,_L_HLTH_IMBD_SUBS,99.8
2018,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,79.4
2018,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,20.1
2019,per 100000 population,_L_HLTH_IMBD_SUBS,85.6
2019,per 100000 population,Incidence of mental and behavioral disorders as a result of alcohol use,69.0
2019,per 100000 population,Incidence of mental and behavioral disorders as a result of drug use,16.2
