Year,UNIT_MEASURE,Regions,Value
2010,Percent,,19.7
2010,Percent,Akmola,8.8
2010,Percent,Almaty,32.8
2010,Percent,Zhambyl,4.1
2010,Percent,Karagandy,29.7
2010,Percent,Pavlodar,14.3
2010,Percent,Soltustik Kazakhstan,1.6
2010,Percent,Turkistan,11.0
2010,Percent,Shygys Kazakhstan,82.2
2011,Percent,,19.6
2011,Percent,Akmola,8.4
2011,Percent,Almaty,32.6
2011,Percent,Zhambyl,4.1
2011,Percent,Karagandy,28.7
2011,Percent,Pavlodar,14.3
2011,Percent,Soltustik Kazakhstan,1.6
2011,Percent,Turkistan,11.0
2011,Percent,Shygys Kazakhstan,82.2
2012,Percent,,19.7
2012,Percent,Akmola,7.2
2012,Percent,Almaty,32.6
2012,Percent,Zhambyl,4.1
2012,Percent,Karagandy,25.2
2012,Percent,Pavlodar,14.3
2012,Percent,Soltustik Kazakhstan,1.6
2012,Percent,Turkistan,12.6
2012,Percent,Shygys Kazakhstan,82.1
2013,Percent,,19.4
2013,Percent,Akmola,7.2
2013,Percent,Almaty,32.6
2013,Percent,Zhambyl,4.1
2013,Percent,Karagandy,25.2
2013,Percent,Pavlodar,14.3
2013,Percent,Soltustik Kazakhstan,1.6
2013,Percent,Turkistan,9.7
2013,Percent,Shygys Kazakhstan,82.1
2014,Percent,,19.4
2014,Percent,Akmola,7.1
2014,Percent,Almaty,32.6
2014,Percent,Zhambyl,4.1
2014,Percent,Karagandy,25.2
2014,Percent,Pavlodar,14.3
2014,Percent,Soltustik Kazakhstan,1.6
2014,Percent,Turkistan,12.6
2014,Percent,Shygys Kazakhstan,82.2
2015,Percent,,19.4
2015,Percent,Akmola,7.0
2015,Percent,Almaty,32.6
2015,Percent,Zhambyl,4.1
2015,Percent,Karagandy,25.0
2015,Percent,Pavlodar,14.3
2015,Percent,Soltustik Kazakhstan,1.6
2015,Percent,Turkistan,12.6
2015,Percent,Shygys Kazakhstan,82.2
2016,Percent,,193.0
2016,Percent,Akmola,7.0
2016,Percent,Almaty,32.0
2016,Percent,Zhambyl,4.1
2016,Percent,Karagandy,25.0
2016,Percent,Pavlodar,14.3
2016,Percent,Soltustik Kazakhstan,1.6
2016,Percent,Turkistan,12.6
2016,Percent,Shygys Kazakhstan,82.2
2017,Percent,,19.1
2017,Percent,Akmola,9.4
2017,Percent,Almaty,32.0
2017,Percent,Zhambyl,4.9
2017,Percent,Karagandy,29.1
2017,Percent,Pavlodar,14.3
2017,Percent,Soltustik Kazakhstan,1.6
2017,Percent,Turkistan,12.6
2017,Percent,Shygys Kazakhstan,80.6
2018,Percent,,19.8
2018,Percent,Akmola,9.4
2018,Percent,Almaty,31.5
2018,Percent,Zhambyl,4.9
2018,Percent,Karagandy,29.1
2018,Percent,Pavlodar,14.3
2018,Percent,Soltustik Kazakhstan,1.6
2018,Percent,Turkistan,12.6
2018,Percent,Shygys Kazakhstan,81.4
2019,Percent,,20.0
2019,Percent,Akmola,9.4
2019,Percent,Almaty,31.5
2019,Percent,Zhambyl,7.3
2019,Percent,Karagandy,29.1
2019,Percent,Pavlodar,14.3
2019,Percent,Soltustik Kazakhstan,1.6
2019,Percent,Turkistan,12.6
2019,Percent,Shygys Kazakhstan,82.7
