Year,UNIT_MEASURE,SERIES,Regions,GeoCode,Value
2013,mln.people,Passengers transported by all means of transport,Atyrau,,167.9
2014,mln.people,Passengers transported by all means of transport,Atyrau,,172.1
2015,mln.people,Passengers transported by all means of transport,Atyrau,,172.0
2016,mln.people,Passengers transported by all means of transport,Atyrau,,181.0
2018,mln.people,Passengers transported by all means of transport,Atyrau,,181.6
2010,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,270.4
2011,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,364.8
2012,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,402.3
2013,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,425.8
2014,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,428.3
2015,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,436.3
2016,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,434.3
2017,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,451.5
2018,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,,424.6
2010,mln.people,Passengers transported by all means of transport,Zhambyl,,570.6
2011,mln.people,Passengers transported by all means of transport,Zhambyl,,745.8
2012,mln.people,Passengers transported by all means of transport,Zhambyl,,802.8
2013,mln.people,Passengers transported by all means of transport,Zhambyl,,864.6
2014,mln.people,Passengers transported by all means of transport,Zhambyl,,882.5
2015,mln.people,Passengers transported by all means of transport,Zhambyl,,929.5
2016,mln.people,Passengers transported by all means of transport,Zhambyl,,957.3
2017,mln.people,Passengers transported by all means of transport,Zhambyl,,957.3
2018,mln.people,Passengers transported by all means of transport,Zhambyl,,987.4
2010,mln.people,Passengers transported by all means of transport,Karagandy,,1440.7
2011,mln.people,Passengers transported by all means of transport,Karagandy,,1993.3
2012,mln.people,Passengers transported by all means of transport,Karagandy,,2111.4
2013,mln.people,Passengers transported by all means of transport,Karagandy,,2299.9
2014,mln.people,Passengers transported by all means of transport,Karagandy,,2428.7
2015,mln.people,Passengers transported by all means of transport,Karagandy,,2421.2
2016,mln.people,Passengers transported by all means of transport,Karagandy,,2418.1
2018,mln.people,Passengers transported by all means of transport,Karagandy,,2428.1
2010,mln.people,Passengers transported by all means of transport,Kostanay,,1153.4
2011,mln.people,Passengers transported by all means of transport,Kostanay,,1436.5
2012,mln.people,Passengers transported by all means of transport,Kostanay,,1575.5
2013,mln.people,Passengers transported by all means of transport,Kostanay,,1657.4
2014,mln.people,Passengers transported by all means of transport,Kostanay,,1752.0
2015,mln.people,Passengers transported by all means of transport,Kostanay,,1745.2
2016,mln.people,Passengers transported by all means of transport,Kostanay,,1751.7
2017,mln.people,Passengers transported by all means of transport,Kostanay,,1796.6
2018,mln.people,Passengers transported by all means of transport,Kostanay,,1805.5
2010,mln.people,Passengers transported by all means of transport,Kyzylorda,,139.7
2011,mln.people,Passengers transported by all means of transport,Kyzylorda,,193.2
2012,mln.people,Passengers transported by all means of transport,Kyzylorda,,232.4
2013,mln.people,Passengers transported by all means of transport,Kyzylorda,,251.3
2014,mln.people,Passengers transported by all means of transport,Kyzylorda,,282.1
2015,mln.people,Passengers transported by all means of transport,Kyzylorda,,298.1
2016,mln.people,Passengers transported by all means of transport,Kyzylorda,,335.5
2017,mln.people,Passengers transported by all means of transport,Kyzylorda,,367.5
2018,mln.people,Passengers transported by all means of transport,Kyzylorda,,397.4
2010,mln.people,Passengers transported by all means of transport,Mangistau,,60.2
2011,mln.people,Passengers transported by all means of transport,Mangistau,,73.8
2012,mln.people,Passengers transported by all means of transport,Mangistau,,81.5
2013,mln.people,Passengers transported by all means of transport,Mangistau,,85.5
2014,mln.people,Passengers transported by all means of transport,Mangistau,,85.5
2015,mln.people,Passengers transported by all means of transport,Mangistau,,85.3
2016,mln.people,Passengers transported by all means of transport,Mangistau,,84.8
2017,mln.people,Passengers transported by all means of transport,Mangistau,,88.8
2018,mln.people,Passengers transported by all means of transport,Mangistau,,89.3
2010,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,,1337.6
2011,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,,1800.5
2012,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,,2149.9
2013,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,,2257.6
2014,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,,2262.5
2015,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,,2347.4
2016,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,,2478.5
2017,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,,2607.6
2010,mln.people,Passengers transported by all means of transport,Pavlodar,,798.3
2011,mln.people,Passengers transported by all means of transport,Pavlodar,,1044.1
2012,mln.people,Passengers transported by all means of transport,Pavlodar,,1166.3
2013,mln.people,Passengers transported by all means of transport,Pavlodar,,1194.6
2014,mln.people,Passengers transported by all means of transport,Pavlodar,,1195.6
2015,mln.people,Passengers transported by all means of transport,Pavlodar,,1240.8
2016,mln.people,Passengers transported by all means of transport,Pavlodar,,1244.5
2017,mln.people,Passengers transported by all means of transport,Pavlodar,,1225.0
2018,mln.people,Passengers transported by all means of transport,Pavlodar,,1234.0
2010,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,365.5
2011,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,453.9
2012,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,470.7
2013,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,492.8
2014,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,496.1
2015,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,495.2
2016,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,506.8
2017,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,501.6
2018,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,,507.4
2018,mln.people,Passengers transported by all means of transport,Turkistan,,820.6
2010,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1272.7
2011,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1419.3
2012,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1459.9
2013,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1606.7
2014,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1654.2
2015,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1681.0
2016,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1705.2
2017,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1709.2
2018,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,,1714.9
2010,mln.people,Passengers transported by all means of transport,Nur-Sultan city,,1408.9
2011,mln.people,Passengers transported by all means of transport,Nur-Sultan city,,1647.9
2012,mln.people,Passengers transported by all means of transport,Nur-Sultan city,,1750.1
2013,mln.people,Passengers transported by all means of transport,Nur-Sultan city,,1961.0
2014,mln.people,Passengers transported by all means of transport,Nur-Sultan city,,2180.3
2015,mln.people,Passengers transported by all means of transport,Nur-Sultan city,,2279.0
2016,mln.people,Passengers transported by all means of transport,Nur-Sultan city,,2441.1
2018,mln.people,Passengers transported by all means of transport,Nur-Sultan city,,2558.0
2010,mln.people,Passengers transported by all means of transport,Almaty city,,2595.5
2011,mln.people,Passengers transported by all means of transport,Almaty city,,3190.6
2012,mln.people,Passengers transported by all means of transport,Almaty city,,3802.8
2013,mln.people,Passengers transported by all means of transport,Almaty city,,4238.8
2014,mln.people,Passengers transported by all means of transport,Almaty city,,4808.6
2015,mln.people,Passengers transported by all means of transport,Almaty city,,4984.8
2016,mln.people,Passengers transported by all means of transport,Almaty city,,4984.2
2017,mln.people,Passengers transported by all means of transport,Almaty city,,5097.2
2018,mln.people,Passengers transported by all means of transport,Almaty city,,5202.4
2018,mln.people,Passengers transported by all means of transport,Shymkent city,,1808.6
2010,millions tonnes,_L_KZ_090102_1J,,,1971.8
2011,millions tonnes,_L_KZ_090102_1J,,,2475.5
2012,millions tonnes,_L_KZ_090102_1J,,,2718.4
2013,millions tonnes,_L_KZ_090102_1J,,,2983.4
2014,millions tonnes,_L_KZ_090102_1J,,,3129.1
2015,millions tonnes,_L_KZ_090102_1J,,,3174.0
2016,millions tonnes,_L_KZ_090102_1J,,,3180.7
2017,millions tonnes,_L_KZ_090102_1J,,,3322.3
2018,millions tonnes,_L_KZ_090102_1J,,,3422.3
2010,millions tonnes,_L_KZ_090102_1J,Akmola,,95.8
2011,millions tonnes,_L_KZ_090102_1J,Akmola,,112.4
2012,millions tonnes,_L_KZ_090102_1J,Akmola,,112.6
2013,millions tonnes,_L_KZ_090102_1J,Akmola,,121.5
2014,millions tonnes,_L_KZ_090102_1J,Akmola,,121.3
2015,millions tonnes,_L_KZ_090102_1J,Akmola,,120.3
2016,millions tonnes,_L_KZ_090102_1J,Akmola,,113.1
2017,millions tonnes,_L_KZ_090102_1J,Akmola,,116.1
2018,millions tonnes,_L_KZ_090102_1J,Akmola,,126.5
2010,millions tonnes,_L_KZ_090102_1J,Aktobe,,41.0
2011,millions tonnes,_L_KZ_090102_1J,Aktobe,,54.5
2012,millions tonnes,_L_KZ_090102_1J,Aktobe,,58.1
2013,millions tonnes,_L_KZ_090102_1J,Aktobe,,62.2
2014,millions tonnes,_L_KZ_090102_1J,Aktobe,,63.6
2015,millions tonnes,_L_KZ_090102_1J,Aktobe,,70.1
2016,millions tonnes,_L_KZ_090102_1J,Aktobe,,76.3
2017,millions tonnes,_L_KZ_090102_1J,Aktobe,,76.8
2018,millions tonnes,_L_KZ_090102_1J,Aktobe,,79.1
2010,millions tonnes,_L_KZ_090102_1J,Almaty,,116.6
2011,millions tonnes,_L_KZ_090102_1J,Almaty,,142.7
2012,millions tonnes,_L_KZ_090102_1J,Almaty,,158.1
2013,millions tonnes,_L_KZ_090102_1J,Almaty,,159.0
2014,millions tonnes,_L_KZ_090102_1J,Almaty,,159.9
2015,millions tonnes,_L_KZ_090102_1J,Almaty,,167.2
2016,millions tonnes,_L_KZ_090102_1J,Almaty,,179.0
2017,millions tonnes,_L_KZ_090102_1J,Almaty,,181.1
2018,millions tonnes,_L_KZ_090102_1J,Almaty,,184.5
2010,millions tonnes,_L_KZ_090102_1J,Atyrau,,52.1
2011,millions tonnes,_L_KZ_090102_1J,Atyrau,,71.5
2012,millions tonnes,_L_KZ_090102_1J,Atyrau,,72.4
2013,millions tonnes,_L_KZ_090102_1J,Atyrau,,82.6
2014,millions tonnes,_L_KZ_090102_1J,Atyrau,,82.1
2015,millions tonnes,_L_KZ_090102_1J,Atyrau,,75.7
2016,millions tonnes,_L_KZ_090102_1J,Atyrau,,75.0
2017,millions tonnes,_L_KZ_090102_1J,Atyrau,,75.9
2018,millions tonnes,_L_KZ_090102_1J,Atyrau,,59.9
2010,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,30.0
2011,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,33.8
2012,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,35.7
2013,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,38.8
2014,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,39.9
2015,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,39.5
2016,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,39.4
2017,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,39.3
2018,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,,39.5
2010,millions tonnes,_L_KZ_090102_1J,Zhambyl,,56.0
2011,millions tonnes,_L_KZ_090102_1J,Zhambyl,,70.5
2012,millions tonnes,_L_KZ_090102_1J,Zhambyl,,80.4
2013,millions tonnes,_L_KZ_090102_1J,Zhambyl,,88.4
2014,millions tonnes,_L_KZ_090102_1J,Zhambyl,,88.9
2015,millions tonnes,_L_KZ_090102_1J,Zhambyl,,91.3
2016,millions tonnes,_L_KZ_090102_1J,Zhambyl,,91.3
2017,millions tonnes,_L_KZ_090102_1J,Zhambyl,,100.1
2018,millions tonnes,_L_KZ_090102_1J,Zhambyl,,103.5
2010,millions tonnes,_L_KZ_090102_1J,Karagandy,,444.0
2011,millions tonnes,_L_KZ_090102_1J,Karagandy,,551.1
2012,millions tonnes,_L_KZ_090102_1J,Karagandy,,619.7
2013,millions tonnes,_L_KZ_090102_1J,Karagandy,,676.7
2014,millions tonnes,_L_KZ_090102_1J,Karagandy,,719.2
2015,millions tonnes,_L_KZ_090102_1J,Karagandy,,709.9
2016,millions tonnes,_L_KZ_090102_1J,Karagandy,,727.5
2017,millions tonnes,_L_KZ_090102_1J,Karagandy,,795.5
2018,millions tonnes,_L_KZ_090102_1J,Karagandy,,825.6
2010,millions tonnes,_L_KZ_090102_1J,Kostanay,,221.5
2011,millions tonnes,_L_KZ_090102_1J,Kostanay,,268.0
2012,millions tonnes,_L_KZ_090102_1J,Kostanay,,275.6
2013,millions tonnes,_L_KZ_090102_1J,Kostanay,,299.7
2014,millions tonnes,_L_KZ_090102_1J,Kostanay,,297.3
2015,millions tonnes,_L_KZ_090102_1J,Kostanay,,294.9
2016,millions tonnes,_L_KZ_090102_1J,Kostanay,,277.3
2017,millions tonnes,_L_KZ_090102_1J,Kostanay,,291.5
2018,millions tonnes,_L_KZ_090102_1J,Kostanay,,297.1
2010,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,66.3
2011,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,95.5
2012,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,98.4
2013,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,106.1
2014,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,107.2
2015,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,108.7
2016,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,104.3
2017,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,104.6
2018,millions tonnes,_L_KZ_090102_1J,Kyzylorda,,104.5
2010,millions tonnes,_L_KZ_090102_1J,Mangistau,,136.9
2011,millions tonnes,_L_KZ_090102_1J,Mangistau,,182.0
2012,millions tonnes,_L_KZ_090102_1J,Mangistau,,203.7
2013,millions tonnes,_L_KZ_090102_1J,Mangistau,,211.1
2014,millions tonnes,_L_KZ_090102_1J,Mangistau,,214.0
2015,millions tonnes,_L_KZ_090102_1J,Mangistau,,225.3
2016,millions tonnes,_L_KZ_090102_1J,Mangistau,,216.4
2017,millions tonnes,_L_KZ_090102_1J,Mangistau,,236.5
2018,millions tonnes,_L_KZ_090102_1J,Mangistau,,236.1
2010,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,,77.5
2011,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,,106.5
2012,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,,123.8
2013,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,,133.0
2014,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,,145.4
2015,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,,155.0
2016,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,,158.7
2010,millions tonnes,_L_KZ_090102_1J,Pavlodar,,57.8
2011,millions tonnes,_L_KZ_090102_1J,Pavlodar,,70.2
2012,millions tonnes,_L_KZ_090102_1J,Pavlodar,,76.6
2013,millions tonnes,_L_KZ_090102_1J,Pavlodar,,83.3
2014,millions tonnes,_L_KZ_090102_1J,Pavlodar,,91.8
2015,millions tonnes,_L_KZ_090102_1J,Pavlodar,,93.6
2016,millions tonnes,_L_KZ_090102_1J,Pavlodar,,97.7
2017,millions tonnes,_L_KZ_090102_1J,Pavlodar,,88.6
2018,millions tonnes,_L_KZ_090102_1J,Pavlodar,,90.4
2010,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,40.0
2011,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,46.0
2012,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,46.1
2013,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,49.3
2014,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,49.9
2015,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,49.7
2016,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,48.2
2017,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,51.4
2018,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,,51.5
2018,millions tonnes,_L_KZ_090102_1J,Turkistan,,71.0
2010,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,327.1
2011,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,417.9
2012,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,476.6
2013,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,553.3
2014,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,595.1
2015,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,598.3
2016,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,581.9
2017,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,600.2
2018,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,,627.9
2010,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,,66.7
2011,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,,97.2
2012,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,,112.6
2013,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,,124.1
2014,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,,136.7
2015,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,,142.5
2016,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,,142.6
2018,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,,153.1
2010,millions tonnes,_L_KZ_090102_1J,Almaty city,,142.4
2011,millions tonnes,_L_KZ_090102_1J,Almaty city,,155.6
2012,millions tonnes,_L_KZ_090102_1J,Almaty city,,168.3
2013,millions tonnes,_L_KZ_090102_1J,Almaty city,,194.4
2014,millions tonnes,_L_KZ_090102_1J,Almaty city,,216.8
2015,millions tonnes,_L_KZ_090102_1J,Almaty city,,232.1
2016,millions tonnes,_L_KZ_090102_1J,Almaty city,,252.2
2017,millions tonnes,_L_KZ_090102_1J,Almaty city,,254.5
2018,millions tonnes,_L_KZ_090102_1J,Almaty city,,255.7
2018,millions tonnes,_L_KZ_090102_1J,Shymkent city,,116.3
2010,tons,transported by air,,,28869.7
2011,tons,transported by air,,,31554.9
2012,tons,transported by air,,,21954.2
2013,tons,transported by air,,,23873.5
2014,tons,transported by air,,,19082.4
2015,tons,transported by air,,,17178.2
2016,tons,transported by air,,,18015.9
2017,tons,transported by air,,,22449.9
2018,tons,transported by air,,,29135.5
2012,tons,,Batys Kazakhstan,KZ07,183.0
2013,tons,,Batys Kazakhstan,KZ07,227.2
2014,tons,,Batys Kazakhstan,KZ07,239.4
2015,tons,,Batys Kazakhstan,KZ07,131.0
2018,tons,,Batys Kazakhstan,KZ07,793.0
2010,tons,,Karagandy,KZ12,9.2
2011,tons,,Karagandy,KZ12,6.6
2010,tons,,Ontustik Kazakhstan,KZ10,737.0
2011,tons,,Ontustik Kazakhstan,KZ10,583.0
2012,tons,,Ontustik Kazakhstan,KZ10,768.0
2010,tons,,Shygys Kazakhstan,KZ15,32.5
2011,tons,,Shygys Kazakhstan,KZ15,44.0
2012,tons,,Shygys Kazakhstan,KZ15,5.8
2013,tons,,Shygys Kazakhstan,KZ15,1062.0
2014,tons,,Shygys Kazakhstan,KZ15,978.0
2010,tons,,Almaty city,KZ02,28091.0
2011,tons,,Almaty city,KZ02,30921.3
2012,tons,,Almaty city,KZ02,20997.4
2013,tons,,Almaty city,KZ02,22584.3
2014,tons,,Almaty city,KZ02,17865.0
2015,tons,,Almaty city,KZ02,15956.2
2016,tons,,Almaty city,KZ02,16810.9
2017,tons,,Almaty city,KZ02,20345.2
2018,tons,,Almaty city,KZ02,25651.2
2018,tons,,Shymkent city,KZ18,2691.3
2010,mln.people,passengers transported by air,,,3379.2
2011,mln.people,passengers transported by air,,,4131.3
2012,mln.people,passengers transported by air,,,4512.0
2013,mln.people,passengers transported by air,,,4985.6
2014,mln.people,passengers transported by air,,,5434.6
2015,mln.people,passengers transported by air,,,5922.8
2016,mln.people,passengers transported by air,,,6021.7
2017,mln.people,passengers transported by air,,,7363.7
2018,mln.people,passengers transported by air,,,7858.5
2010,mln.people,passengers transported by air,Almaty,,29.3
2011,mln.people,passengers transported by air,Almaty,,27.8
2012,mln.people,passengers transported by air,Almaty,,30.0
2013,mln.people,passengers transported by air,Almaty,,25.5
2014,mln.people,passengers transported by air,Almaty,,28.5
2015,mln.people,passengers transported by air,Almaty,,25.2
2016,mln.people,passengers transported by air,Almaty,,16.2
2017,mln.people,passengers transported by air,Almaty,,10.6
2018,mln.people,passengers transported by air,Almaty,,7.6
2010,mln.people,passengers transported by air,Atyrau,,4.7
2011,mln.people,passengers transported by air,Atyrau,,0.8
2012,mln.people,passengers transported by air,Atyrau,,0.4
2015,mln.people,passengers transported by air,Atyrau,,4.3
2016,mln.people,passengers transported by air,Atyrau,,0.1
2017,mln.people,passengers transported by air,Atyrau,,0.16
2018,mln.people,passengers transported by air,Atyrau,,0.01
2010,mln.people,passengers transported by air,Karagandy,,18.8
2011,mln.people,passengers transported by air,Karagandy,,12.2
2012,mln.people,passengers transported by air,Karagandy,,59.7
2013,mln.people,passengers transported by air,Karagandy,,10.0
2014,mln.people,passengers transported by air,Karagandy,,8.5
2018,mln.people,passengers transported by air,Karagandy,,8.0
2012,mln.people,passengers transported by air,Batys Kazakhstan,,7.2
2013,mln.people,passengers transported by air,Batys Kazakhstan,,140.1
2014,mln.people,passengers transported by air,Batys Kazakhstan,,354.7
2015,mln.people,passengers transported by air,Batys Kazakhstan,,332.4
2018,mln.people,passengers transported by air,Batys Kazakhstan,,910.1
2011,mln.people,passengers transported by air,Mangistau,,23.8
2010,mln.people,passengers transported by air,Ontustik Kazakhstan,,668.5
2011,mln.people,passengers transported by air,Ontustik Kazakhstan,,900.2
2012,mln.people,passengers transported by air,Ontustik Kazakhstan,,1095.8
2013,mln.people,passengers transported by air,Ontustik Kazakhstan,,1109.6
2014,mln.people,passengers transported by air,Ontustik Kazakhstan,,1254.7
2015,mln.people,passengers transported by air,Ontustik Kazakhstan,,1224.7
2016,mln.people,passengers transported by air,Ontustik Kazakhstan,,1288.9
2017,mln.people,passengers transported by air,Ontustik Kazakhstan,,1931.8
2010,mln.people,passengers transported by air,Pavlodar,,4.0
2011,mln.people,passengers transported by air,Pavlodar,,0.8
2010,mln.people,passengers transported by air,Shygys Kazakhstan,,16.1
2011,mln.people,passengers transported by air,Shygys Kazakhstan,,17.2
2012,mln.people,passengers transported by air,Shygys Kazakhstan,,5.1
2010,mln.people,passengers transported by air,Nur-Sultan city,,14.8
2011,mln.people,passengers transported by air,Nur-Sultan city,,24.2
2012,mln.people,passengers transported by air,Nur-Sultan city,,5.5
2013,mln.people,passengers transported by air,Nur-Sultan city,,1.3
2014,mln.people,passengers transported by air,Nur-Sultan city,,1.4
2015,mln.people,passengers transported by air,Nur-Sultan city,,5.2
2016,mln.people,passengers transported by air,Nur-Sultan city,,34.6
2017,mln.people,passengers transported by air,Nur-Sultan city,,33.2
2018,mln.people,passengers transported by air,Nur-Sultan city,,31.08
