Year,UNIT_MEASURE,Regions,Sex,Value
2012,Percent,,,6.081519545019793
2012,Percent,Akmola,,7.327164715131723
2012,Percent,Aktobe,,3.204661325564458
2012,Percent,Almaty,,10.942698150662675
2012,Percent,Atyrau,,3.114539730861037
2012,Percent,Batys Kazakhstan,,9.255254311694362
2012,Percent,Zhambyl,,3.90382474615336
2012,Percent,Karagandy,,6.722690734706329
2012,Percent,Kostanay,,12.113027202634973
2012,Percent,Kyzylorda,,2.967726303864527
2012,Percent,Mangistau,,1.1824523069165476
2012,Percent,Turkistan,,6.260891138637669
2012,Percent,Pavlodar,,10.56474309996316
2012,Percent,Soltustik Kazakhstan,,7.999298169053529
2012,Percent,Shygys Kazakhstan,,6.746526195576749
2012,Percent,,Male,8.990241851199231
2012,Percent,Akmola,Male,9.99069532716176
2012,Percent,Aktobe,Male,4.7232228603530935
2012,Percent,Almaty,Male,16.06645821742343
2012,Percent,Atyrau,Male,4.83195769216304
2012,Percent,Batys Kazakhstan,Male,12.48477826513602
2012,Percent,Zhambyl,Male,6.077602367881192
2012,Percent,Karagandy,Male,9.560153764410035
2012,Percent,Kostanay,Male,12.134239711940747
2012,Percent,Kyzylorda,Male,5.820339261128195
2012,Percent,Mangistau,Male,2.397186287472239
2012,Percent,Turkistan,Male,12.005116273090715
2012,Percent,Pavlodar,Male,16.39191745221363
2012,Percent,Soltustik Kazakhstan,Male,10.84001520827834
2012,Percent,Shygys Kazakhstan,Male,9.204001402856282
2012,Percent,,Female,3.5065578554111165
2012,Percent,Akmola,Female,4.946407458376136
2012,Percent,Aktobe,Female,1.8657933972667384
2012,Percent,Almaty,Female,6.187236471032998
2012,Percent,Atyrau,Female,1.539979523524076
2012,Percent,Batys Kazakhstan,Female,6.377347835797938
2012,Percent,Zhambyl,Female,1.925666819695505
2012,Percent,Karagandy,Female,4.316336769132537
2012,Percent,Kostanay,Female,12.094940365224588
2012,Percent,Kyzylorda,Female,0.2020558103942668
2012,Percent,Mangistau,Female,0.0327168925495456
2012,Percent,Turkistan,Female,0.8531819147217448
2012,Percent,Pavlodar,Female,5.652412751552785
2012,Percent,Soltustik Kazakhstan,Female,5.535838041035764
2012,Percent,Shygys Kazakhstan,Female,4.6222234756215785
2013,Percent,,,6.281780310601058
2013,Percent,Akmola,,7.35667371702104
2013,Percent,Aktobe,,7.174042791456476
2013,Percent,Almaty,,11.23439805509888
2013,Percent,Atyrau,,3.091297703281105
2013,Percent,Batys Kazakhstan,,10.194493514303463
2013,Percent,Zhambyl,,3.407917185742276
2013,Percent,Karagandy,,6.714364065858646
2013,Percent,Kostanay,,12.084264556173178
2013,Percent,Kyzylorda,,2.9723991507431
2013,Percent,Mangistau,,1.2445986617306275
2013,Percent,Turkistan,,6.171673725371392
2013,Percent,Pavlodar,,10.489654766743897
