Year,UNIT_MEASURE,Regions,Area,Sex,Value
2010,Percent,,,,0.9
2010,Percent,Akmola,,,0.2
2010,Percent,Aktobe,,,0.6
2010,Percent,Almaty,,,1.1
2010,Percent,Atyrau,,,0.2
2010,Percent,Batys Kazakhstan,,,1.2
2010,Percent,Zhambyl,,,1.2
2010,Percent,Karagandy,,,0.8
2010,Percent,Kostanay,,,3.3
2010,Percent,Kyzylorda,,,0.6
2010,Percent,Mangistau,,,1.0
2010,Percent,Ontustik Kazakhstan,,,1.1
2010,Percent,Pavlodar,,,1.3
2010,Percent,Soltustik Kazakhstan,,,0.8
2010,Percent,Shygys Kazakhstan,,,0.2
2010,Percent,Nur-Sultan city,,,0.1
2010,Percent,Almaty city,,,0.0
2010,Percent,,,Male,0.9
2010,Percent,Akmola,,Male,0.3
2010,Percent,Aktobe,,Male,0.4
2010,Percent,Almaty,,Male,1.5
2010,Percent,Atyrau,,Male,0.2
2010,Percent,Batys Kazakhstan,,Male,1.4
2010,Percent,Zhambyl,,Male,1.6
2010,Percent,Karagandy,,Male,0.6
2010,Percent,Kostanay,,Male,2.6
2010,Percent,Kyzylorda,,Male,0.7
2010,Percent,Mangistau,,Male,0.9
2010,Percent,Ontustik Kazakhstan,,Male,1.1
2010,Percent,Pavlodar,,Male,1.9
2010,Percent,Soltustik Kazakhstan,,Male,0.7
2010,Percent,Shygys Kazakhstan,,Male,0.1
2010,Percent,Nur-Sultan city,,Male,0.0
2010,Percent,Almaty city,,Male,0.0
2010,Percent,,,Female,0.8
2010,Percent,Akmola,,Female,0.1
2010,Percent,Aktobe,,Female,0.7
2010,Percent,Almaty,,Female,0.6
2010,Percent,Atyrau,,Female,0.2
2010,Percent,Batys Kazakhstan,,Female,1.0
2010,Percent,Zhambyl,,Female,0.9
2010,Percent,Karagandy,,Female,1.0
2010,Percent,Kostanay,,Female,3.9
2010,Percent,Kyzylorda,,Female,0.5
2010,Percent,Mangistau,,Female,1.1
2010,Percent,Ontustik Kazakhstan,,Female,1.0
2010,Percent,Pavlodar,,Female,0.7
2010,Percent,Soltustik Kazakhstan,,Female,0.8
2010,Percent,Shygys Kazakhstan,,Female,0.2
2010,Percent,Nur-Sultan city,,Female,0.2
2010,Percent,Almaty city,,Female,0.1
2010,Percent,,Population of urban areas,,0.3
2010,Percent,Akmola,Population of urban areas,,0.0
2010,Percent,Aktobe,Population of urban areas,,0.1
2010,Percent,Almaty,Population of urban areas,,0.1
2010,Percent,Atyrau,Population of urban areas,,0.0
2010,Percent,Batys Kazakhstan,Population of urban areas,,0.0
2010,Percent,Zhambyl,Population of urban areas,,0.4
2010,Percent,Karagandy,Population of urban areas,,0.1
2010,Percent,Kostanay,Population of urban areas,,1.3
2010,Percent,Kyzylorda,Population of urban areas,,0.7
2010,Percent,Mangistau,Population of urban areas,,1.3
2010,Percent,Ontustik Kazakhstan,Population of urban areas,,1.0
2010,Percent,Pavlodar,Population of urban areas,,0.0
2010,Percent,Soltustik Kazakhstan,Population of urban areas,,0.0
2010,Percent,Shygys Kazakhstan,Population of urban areas,,0.1
2010,Percent,Nur-Sultan city,Population of urban areas,,0.1
2010,Percent,Almaty city,Population of urban areas,,0.0
2010,Percent,,Population of rural areas,,1.5
2010,Percent,Akmola,Population of rural areas,,0.3
2010,Percent,Aktobe,Population of rural areas,,1.1
2010,Percent,Almaty,Population of rural areas,,1.4
2010,Percent,Atyrau,Population of rural areas,,0.3
2010,Percent,Batys Kazakhstan,Population of rural areas,,2.1
2010,Percent,Zhambyl,Population of rural areas,,1.7
2010,Percent,Karagandy,Population of rural areas,,2.8
2010,Percent,Kostanay,Population of rural areas,,5.0
2010,Percent,Kyzylorda,Population of rural areas,,0.5
2010,Percent,Mangistau,Population of rural areas,,0.6
2010,Percent,Ontustik Kazakhstan,Population of rural areas,,1.1
2010,Percent,Pavlodar,Population of rural areas,,3.4
2010,Percent,Soltustik Kazakhstan,Population of rural areas,,1.1
2010,Percent,Turkistan,Population of rural areas,,0.2
2011,Percent,,,,0.8
2011,Percent,Akmola,,,0.2
2011,Percent,Aktobe,,,0.0
2011,Percent,Almaty,,,1.8
2011,Percent,Atyrau,,,0.0
2011,Percent,Batys Kazakhstan,,,0.6
2011,Percent,Zhambyl,,,1.9
2011,Percent,Karagandy,,,0.5
2011,Percent,Kostanay,,,2.1
2011,Percent,Kyzylorda,,,1.0
2011,Percent,Mangistau,,,0.1
2011,Percent,Ontustik Kazakhstan,,,0.9
2011,Percent,Pavlodar,,,1.0
2011,Percent,Soltustik Kazakhstan,,,0.2
2011,Percent,Shygys Kazakhstan,,,0.9
2011,Percent,Nur-Sultan city,,,0.1
2011,Percent,Almaty city,,,0.0
2011,Percent,,,Male,0.9
2011,Percent,Akmola,,Male,0.2
2011,Percent,Aktobe,,Male,0.1
2011,Percent,Almaty,,Male,1.9
2011,Percent,Atyrau,,Male,0.0
2011,Percent,Batys Kazakhstan,,Male,0.7
2011,Percent,Zhambyl,,Male,2.1
2011,Percent,Karagandy,,Male,0.4
2011,Percent,Kostanay,,Male,1.6
2011,Percent,Kyzylorda,,Male,1.1
2011,Percent,Mangistau,,Male,0.1
2011,Percent,Ontustik Kazakhstan,,Male,0.8
2011,Percent,Pavlodar,,Male,1.3
2011,Percent,Soltustik Kazakhstan,,Male,0.2
2011,Percent,Shygys Kazakhstan,,Male,1.2
2011,Percent,Nur-Sultan city,,Male,0.0
2011,Percent,Almaty city,,Male,0.0
2011,Percent,,,Female,0.8
2011,Percent,Akmola,,Female,0.1
2011,Percent,Aktobe,,Female,0.0
2011,Percent,Almaty,,Female,1.6
2011,Percent,Atyrau,,Female,0.0
2011,Percent,Batys Kazakhstan,,Female,0.4
2011,Percent,Zhambyl,,Female,1.6
2011,Percent,Karagandy,,Female,0.7
2011,Percent,Kostanay,,Female,2.7
2011,Percent,Kyzylorda,,Female,0.8
2011,Percent,Mangistau,,Female,0.1
2011,Percent,Ontustik Kazakhstan,,Female,1.0
2011,Percent,Pavlodar,,Female,0.6
2011,Percent,Soltustik Kazakhstan,,Female,0.2
2011,Percent,Shygys Kazakhstan,,Female,0.6
2011,Percent,Nur-Sultan city,,Female,0.1
2011,Percent,Almaty city,,Female,0.0
