Year,UNIT_MEASURE,SERIES,Regions,Value
2014,mg per cube meters,PM2.5,SKFM «Borovoe»,0.0648
2014,mg per cube meters,PM2.5,SHBKZ,0.0549
2014,mg per cube meters,suspended particles PM-10,Nur-Sultan city,0.018
2014,mg per cube meters,suspended particles PM-10,City Kokshetau,0.268
2014,mg per cube meters,suspended particles PM-10,SKFM «Borovoe»,0.0709
2014,mg per cube meters,suspended particles PM-10,SHBKZ,0.0585
2014,mg per cube meters,suspended particles PM-10,city Aktobe,0.039
2014,mg per cube meters,suspended particles PM-10,Almaty city,0.012
2014,mg per cube meters,suspended particles PM-10,city Taldıkorgan,0.082
2014,mg per cube meters,suspended particles PM-10,city Atyrau,0.456
2014,mg per cube meters,suspended particles PM-10,Kulsary,0.0212
2014,mg per cube meters,suspended particles PM-10,city Ust-Kamenogorsk,0.092
2014,mg per cube meters,suspended particles PM-10,city Ridder,0.154
2014,mg per cube meters,suspended particles PM-10,city Semey,0.215
2014,mg per cube meters,suspended particles PM-10,city Zyryanovsk,0.013
2014,mg per cube meters,suspended particles PM-10,city Taraz,0.047
2014,mg per cube meters,suspended particles PM-10,city Uralsk,0.027
2014,mg per cube meters,suspended particles PM-10,city Aksay,0.016
2014,mg per cube meters,suspended particles PM-10,city Karagandy,0.023
2014,mg per cube meters,suspended particles PM-10,city Temirtau,0.002
2014,mg per cube meters,suspended particles PM-10,city Kostanay,0.049
2014,mg per cube meters,suspended particles PM-10,city Rudny,0.012
2014,mg per cube meters,suspended particles PM-10,city Arkalık,0.028
2014,mg per cube meters,suspended particles PM-10,city Zhitikara,0.013
2014,mg per cube meters,suspended particles PM-10,KZLIS,0.011
2014,mg per cube meters,suspended particles PM-10,city Kyzylorda,0.003
2014,mg per cube meters,suspended particles PM-10,village Akay,0.0001
2014,mg per cube meters,suspended particles PM-10,village Toretam,0.0036
2014,mg per cube meters,suspended particles PM-10,city Zhanaozen,0.0301
2014,mg per cube meters,suspended particles PM-10,city Pavlodar,0.029
2014,mg per cube meters,suspended particles PM-10,city Ekibastuz,0.0272
2014,mg per cube meters,suspended particles PM-10,city Aksu,0.016
2014,mg per cube meters,suspended particles PM-10,Ontustik Kazakhstan,0.0069
2014,mg per cube meters,suspended particles PM-10,city Turkistan,0.058
2015,mg per cube meters,PM2.5,City Stepnogorsk,0.006
2015,mg per cube meters,PM2.5,SKFM «Borovoe»,0.026
2015,mg per cube meters,PM2.5,SHBKZ,0.074
2015,mg per cube meters,PM2.5,city Aktobe,0.018
2015,mg per cube meters,PM2.5,city Atyrau,0.014
