Year,UNIT_MEASURE,Area,Sex,Regions,Value
2011,Percent,,,,50.6
2011,Percent,Population of urban areas,,,60.4
2011,Percent,Population of rural areas,,,38.6
2011,Percent,,,Akmola,53.03666306196898
2011,Percent,,,Aktobe,58.92850532674924
2011,Percent,,,Almaty,47.62188460809093
2011,Percent,,,Atyrau,62.4203731258884
2011,Percent,,,Batys Kazakhstan,59.9
2011,Percent,,,Zhambyl,33.94220855041687
2011,Percent,,,Karagandy,56.25476449021433
2011,Percent,,,Kostanay,48.97294426634738
2011,Percent,,,Kyzylorda,36.28273873157986
2011,Percent,,,Mangistau,50.73488145241394
2011,Percent,,,Ontustik Kazakhstan,44.01688913992825
2011,Percent,,,Pavlodar,60.81099609136436
2011,Percent,,,Soltustik Kazakhstan,50.7838705654966
2011,Percent,,,Shygys Kazakhstan,44.875610801261054
2011,Percent,,,Nur-Sultan city,54.313469785419386
2011,Percent,,,Almaty city,63.683357235146765
2012,Percent,,,,61.90662401932264
2012,Percent,Population of urban areas,,,73.9
2012,Percent,Population of rural areas,,,47.2
2012,Percent,,,Akmola,70.25494713852555
2012,Percent,,,Aktobe,72.90223910400472
2012,Percent,,,Almaty,51.84361247256734
2012,Percent,,,Atyrau,73.68455305533746
2012,Percent,,,Batys Kazakhstan,66.55557347937993
2012,Percent,,,Zhambyl,52.826835391720095
2012,Percent,,,Karagandy,64.93976060118634
2012,Percent,,,Kostanay,75.62765366457826
2012,Percent,,,Kyzylorda,62.55566923996232
2012,Percent,,,Mangistau,55.18785900474189
2012,Percent,,,Ontustik Kazakhstan,48.49678736871316
2012,Percent,,,Pavlodar,65.24373555488417
2012,Percent,,,Soltustik Kazakhstan,70.44639043135521
2012,Percent,,,Shygys Kazakhstan,66.38400412010571
2012,Percent,,,Nur-Sultan city,64.3023319712125
2012,Percent,,,Almaty city,68.24678063201104
2013,Percent,,,,63.3
2013,Percent,Population of urban areas,,,73.2
2013,Percent,Population of rural areas,,,51.2
2013,Percent,,,Akmola,71.3
2013,Percent,,,Aktobe,73.3
2013,Percent,,,Almaty,52.4
2013,Percent,,,Atyrau,74.0
2013,Percent,,,Batys Kazakhstan,67.2
2013,Percent,,,Zhambyl,53.9
2013,Percent,,,Karagandy,65.1
2013,Percent,,,Kostanay,76.5
2013,Percent,,,Kyzylorda,67.0
2013,Percent,,,Mangistau,70.0
2013,Percent,,,Ontustik Kazakhstan,48.7
2013,Percent,,,Pavlodar,68.6
2013,Percent,,,Soltustik Kazakhstan,70.6
2013,Percent,,,Shygys Kazakhstan,67.0
2013,Percent,,,Nur-Sultan city,64.5
2013,Percent,,,Almaty city,71.0
2014,Percent,,,,63.9
2014,Percent,Population of urban areas,,,72.6
2014,Percent,Population of rural areas,,,52.7
2014,Percent,,,Akmola,72.0
2014,Percent,,,Aktobe,73.0
2014,Percent,,,Almaty,54.5
2014,Percent,,,Atyrau,74.3
2014,Percent,,,Batys Kazakhstan,66.3
2014,Percent,,,Zhambyl,54.4
2014,Percent,,,Karagandy,66.0
2014,Percent,,,Kostanay,77.0
2014,Percent,,,Kyzylorda,67.2
2014,Percent,,,Mangistau,70.3
2014,Percent,,,Ontustik Kazakhstan,48.6
2014,Percent,,,Pavlodar,69.3
2014,Percent,,,Soltustik Kazakhstan,70.3
2014,Percent,,,Shygys Kazakhstan,67.1
2014,Percent,,,Nur-Sultan city,66.2
2014,Percent,,,Almaty city,71.0
2015,Percent,,,,72.8660129673921
2015,Percent,Population of urban areas,,,76.4
2015,Percent,Population of rural areas,,,68.3
2015,Percent,,Male,,73.0
2015,Percent,,Female,,72.7
2015,Percent,,,Akmola,60.87720508246625
2015,Percent,,,Aktobe,66.44451330706717
2015,Percent,,,Almaty,81.16569074759364
2015,Percent,,,Atyrau,67.18603978001076
2015,Percent,,,Batys Kazakhstan,88.96409263894446
2015,Percent,,,Zhambyl,61.63541033184858
2015,Percent,,,Karagandy,68.57217287058481
2015,Percent,,,Kostanay,76.95433833512575
2015,Percent,,,Kyzylorda,70.15136835083149
2015,Percent,,,Mangistau,66.28088901165027
2015,Percent,,,Ontustik Kazakhstan,68.3891287407668
2015,Percent,,,Pavlodar,81.15185175517124
2015,Percent,,,Soltustik Kazakhstan,67.76427730694405
2015,Percent,,,Shygys Kazakhstan,68.09526354822975
2015,Percent,,,Nur-Sultan city,86.85082232392773
2015,Percent,,,Almaty city,81.91506991196272
2016,Percent,,,,76.8
2016,Percent,Population of urban areas,,,81.3
2016,Percent,Population of rural areas,,,70.9
2016,Percent,,Male,,77.5
2016,Percent,,Female,,76.2
2016,Percent,,,Akmola,70.0
2016,Percent,,,Aktobe,77.7
2016,Percent,,,Almaty,81.4
2016,Percent,,,Atyrau,72.9
2016,Percent,,,Batys Kazakhstan,67.4
2016,Percent,,,Zhambyl,68.7
2016,Percent,,,Karagandy,72.5
2016,Percent,,,Kostanay,83.7
2016,Percent,,,Kyzylorda,76.7
2016,Percent,,,Mangistau,72.5
2016,Percent,,,Ontustik Kazakhstan,75.4
2016,Percent,,,Pavlodar,80.3
2016,Percent,,,Soltustik Kazakhstan,74.8
2016,Percent,,,Shygys Kazakhstan,74.5
2016,Percent,,,Nur-Sultan city,85.3
2016,Percent,,,Almaty city,84.3
2017,Percent,,,,78.8
2017,Percent,Population of urban areas,,,82.5
2017,Percent,Population of rural areas,,,73.9
2017,Percent,,Male,,79.0
2017,Percent,,Female,,78.7
2017,Percent,,,Akmola,70.8
2017,Percent,,,Aktobe,80.8
2017,Percent,,,Almaty,84.5
2017,Percent,,,Atyrau,75.1
2017,Percent,,,Batys Kazakhstan,72.7
2017,Percent,,,Zhambyl,70.1
2017,Percent,,,Karagandy,72.8
2017,Percent,,,Kostanay,85.5
2017,Percent,,,Kyzylorda,76.2
2017,Percent,,,Mangistau,72.6
2017,Percent,,,Ontustik Kazakhstan,79.0
2017,Percent,,,Pavlodar,82.1
2017,Percent,,,Soltustik Kazakhstan,75.7
2017,Percent,,,Shygys Kazakhstan,77.4
2017,Percent,,,Nur-Sultan city,88.0
2017,Percent,,,Almaty city,84.1
2018,Percent,,,,81.3
2018,Percent,Population of urban areas,,,84.1
2018,Percent,Population of rural areas,,,77.5
2018,Percent,,Male,,81.6
2018,Percent,,Female,,81.1
2018,Percent,,,Akmola,73.8
2018,Percent,,,Aktobe,81.1
2018,Percent,,,Almaty,85.3
2018,Percent,,,Atyrau,78.1
2018,Percent,,,Batys Kazakhstan,76.9
2018,Percent,,,Zhambyl,80.9
2018,Percent,,,Karagandy,73.9
2018,Percent,,,Kostanay,85.7
2018,Percent,,,Kyzylorda,77.7
2018,Percent,,,Mangistau,78.9
2018,Percent,,,Pavlodar,83.3
2018,Percent,,,Soltustik Kazakhstan,77.0
2018,Percent,,,Turkistan,84.8
2018,Percent,,,Shygys Kazakhstan,79.2
2018,Percent,,,Nur-Sultan city,88.1
2018,Percent,,,Almaty city,84.3
2018,Percent,,,Shymkent city,80.0
2019,Percent,,,,84.2
2019,Percent,Population of urban areas,,,86.3
2019,Percent,Population of rural areas,,,81.4
2019,Percent,,Male,,84.3
2019,Percent,,Female,,84.2
2019,Percent,,,Akmola,79.4
2019,Percent,,,Aktobe,85.7
2019,Percent,,,Almaty,85.4
2019,Percent,,,Atyrau,80.7
2019,Percent,,,Batys Kazakhstan,80.4
2019,Percent,,,Zhambyl,81.6
2019,Percent,,,Karagandy,80.5
2019,Percent,,,Kostanay,86.9
2019,Percent,,,Kyzylorda,77.9
2019,Percent,,,Mangistau,82.3
2019,Percent,,,Pavlodar,85.7
2019,Percent,,,Soltustik Kazakhstan,81.2
2019,Percent,,,Turkistan,89.6
2019,Percent,,,Shygys Kazakhstan,81.7
2019,Percent,,,Nur-Sultan city,91.7
2019,Percent,,,Almaty city,87.7
2019,Percent,,,Shymkent city,80.1
