Year,UNIT_MEASURE,Area,Regions,Value
2018,Percent,Population of urban areas,,68.7
2018,Percent,Population of rural areas,,8.6
2019,Percent,Population of urban areas,,70.5
2019,Percent,Population of rural areas,,8.8
2019,Percent,Population of urban areas,Akmola,72.1
2019,Percent,Population of rural areas,Akmola,14.7
2019,Percent,Population of urban areas,Aktobe,95.3
2019,Percent,Population of rural areas,Aktobe,6.6
2019,Percent,Population of urban areas,Almaty,95.1
2019,Percent,Population of rural areas,Almaty,6.3
2019,Percent,Population of urban areas,Atyrau,37.2
2019,Percent,Population of rural areas,Atyrau,9.5
2019,Percent,Population of urban areas,Batys Kazakhstan,91.2
2019,Percent,Population of rural areas,Batys Kazakhstan,0.0
2019,Percent,Population of urban areas,Zhambyl,0.0
2019,Percent,Population of rural areas,Zhambyl,0.0
2019,Percent,Population of urban areas,Karagandy,66.0
2019,Percent,Population of rural areas,Karagandy,20.9
2019,Percent,Population of urban areas,Kostanay,100.0
2019,Percent,Population of rural areas,Kostanay,17.1
2019,Percent,Population of urban areas,Kyzylorda,48.9
2019,Percent,Population of rural areas,Kyzylorda,0.4
2019,Percent,Population of urban areas,Mangistau,93.1
2019,Percent,Population of rural areas,Mangistau,3.8
2019,Percent,Population of urban areas,Pavlodar,87.0
2019,Percent,Population of rural areas,Pavlodar,5.3
2019,Percent,Population of urban areas,Soltustik Kazakhstan,84.0
2019,Percent,Population of rural areas,Soltustik Kazakhstan,0.61
2019,Percent,Population of urban areas,Turkistan,25.7
2019,Percent,Population of rural areas,Turkistan,9.4
2019,Percent,Population of urban areas,Shygys Kazakhstan,72.0
2019,Percent,Population of rural areas,Shygys Kazakhstan,30.1
2019,Percent,,Nur-Sultan city,91.0
2019,Percent,,Almaty city,80.0
2019,Percent,,Shymkent city,60.7
