Year,UNIT_MEASURE,Regions,Area,Sex,Value
2010,per 100000 population,,,,0.78
2010,per 100000 population,Akmola,,,0.14
2010,per 100000 population,Aktobe,,,0.39
2010,per 100000 population,Almaty,,,0.97
2010,per 100000 population,Atyrau,,,0.19
2010,per 100000 population,Batys Kazakhstan,,,0.16
2010,per 100000 population,Zhambyl,,,0.48
2010,per 100000 population,Karagandy,,,0.67
2010,per 100000 population,Kostanay,,,0.23
2010,per 100000 population,Kyzylorda,,,2.45
2010,per 100000 population,Mangistau,,,0.39
2010,per 100000 population,Ontustik Kazakhstan,,,1.97
2010,per 100000 population,Pavlodar,,,0.4
2010,per 100000 population,Soltustik Kazakhstan,,,0.17
2010,per 100000 population,Shygys Kazakhstan,,,0.57
2010,per 100000 population,Nur-Sultan city,,,0.45
2010,per 100000 population,Almaty city,,,0.21
2010,per 100000 population,,Population of urban areas,,0.63
2010,per 100000 population,Akmola,Population of urban areas,,0.0
2010,per 100000 population,Aktobe,Population of urban areas,,0.42
2010,per 100000 population,Almaty,Population of urban areas,,0.23
2010,per 100000 population,Atyrau,Population of urban areas,,0.4
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,,0.0
2010,per 100000 population,Zhambyl,Population of urban areas,,0.47
2010,per 100000 population,Karagandy,Population of urban areas,,0.57
2010,per 100000 population,Kostanay,Population of urban areas,,0.0
2010,per 100000 population,Kyzylorda,Population of urban areas,,1.02
2010,per 100000 population,Mangistau,Population of urban areas,,0.73
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,2.5
2010,per 100000 population,Pavlodar,Population of urban areas,,0.39
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,0.0
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,,0.74
2010,per 100000 population,Nur-Sultan city,Population of urban areas,,0.45
2010,per 100000 population,Almaty city,Population of urban areas,,0.21
2010,per 100000 population,,Population of rural areas,,0.96
2010,per 100000 population,Akmola,Population of rural areas,,0.26
2010,per 100000 population,Aktobe,Population of rural areas,,0.33
2010,per 100000 population,Almaty,Population of rural areas,,1.2
2010,per 100000 population,Atyrau,Population of rural areas,,0.0
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,,0.31
2010,per 100000 population,Zhambyl,Population of rural areas,,0.48
2010,per 100000 population,Karagandy,Population of rural areas,,1.01
2010,per 100000 population,Kostanay,Population of rural areas,,0.45
2010,per 100000 population,Kyzylorda,Population of rural areas,,3.49
2010,per 100000 population,Mangistau,Population of rural areas,,0.0
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,1.62
2010,per 100000 population,Pavlodar,Population of rural areas,,0.43
2010,per 100000 population,Soltustik Kazakhstan,Population of rural areas,,0.28
2010,per 100000 population,Shygys Kazakhstan,Population of rural areas,,0.34
2010,per 100000 population,,,Male,0.92
2010,per 100000 population,Akmola,,Male,0.28
2010,per 100000 population,Aktobe,,Male,0.54
2010,per 100000 population,Almaty,,Male,0.88
2010,per 100000 population,Atyrau,,Male,0.0
2010,per 100000 population,Batys Kazakhstan,,Male,0.0
2010,per 100000 population,Zhambyl,,Male,0.59
2010,per 100000 population,Karagandy,,Male,1.1
2010,per 100000 population,Kostanay,,Male,0.24
2010,per 100000 population,Kyzylorda,,Male,2.31
2010,per 100000 population,Mangistau,,Male,0.39
2010,per 100000 population,Ontustik Kazakhstan,,Male,2.23
2010,per 100000 population,Pavlodar,,Male,0.57
2010,per 100000 population,Soltustik Kazakhstan,,Male,0.36
2010,per 100000 population,Shygys Kazakhstan,,Male,1.05
2010,per 100000 population,Nur-Sultan city,,Male,0.31
2010,per 100000 population,Almaty city,,Male,0.31
2010,per 100000 population,,Population of urban areas,Male,0.86
2010,per 100000 population,Akmola,Population of urban areas,Male,0.0
2010,per 100000 population,Aktobe,Population of urban areas,Male,0.45
2010,per 100000 population,Almaty,Population of urban areas,Male,0.0
2010,per 100000 population,Atyrau,Population of urban areas,Male,0.0
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,Male,0.0
2010,per 100000 population,Zhambyl,Population of urban areas,Male,0.5
2010,per 100000 population,Karagandy,Population of urban areas,Male,1.23
2010,per 100000 population,Kostanay,Population of urban areas,Male,0.0
2010,per 100000 population,Kyzylorda,Population of urban areas,Male,2.11
2010,per 100000 population,Mangistau,Population of urban areas,Male,0.76
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Male,3.13
2010,per 100000 population,Pavlodar,Population of urban areas,Male,0.43
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Male,0.0
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,Male,1.35
2010,per 100000 population,Nur-Sultan city,Population of urban areas,Male,0.31
2010,per 100000 population,Almaty city,Population of urban areas,Male,0.31
2010,per 100000 population,,Population of rural areas,Male,0.97
2010,per 100000 population,Akmola,Population of rural areas,Male,0.52
2010,per 100000 population,Aktobe,Population of rural areas,Male,0.67
2010,per 100000 population,Almaty,Population of rural areas,Male,1.14
2010,per 100000 population,Atyrau,Population of rural areas,Male,0.0
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,Male,0.0
2010,per 100000 population,Zhambyl,Population of rural areas,Male,0.65
2010,per 100000 population,Karagandy,Population of rural areas,Male,0.67
