Year,UNIT_MEASURE,SERIES,Age,Area,Sex,Regions,Value
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,,13.1
2010,Percent,Rate of deviation from the norm (moderate and strong),,,Male,,13.2
2010,Percent,Rate of deviation from the norm (moderate and strong),,,Female,,13.0
2010,Percent,Rate of deviation from the norm (moderate and strong),,Population of urban areas,,,12.8
2010,Percent,Rate of deviation from the norm (moderate and strong),,Population of rural areas,,,13.4
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Akmola,8.1
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Aktobe,36.2
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Almaty,10.8
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Atyrau,18.4
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Batys Kazakhstan,9.8
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Zhambyl,16.2
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Karagandy,4.8
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Kostanay,12.7
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Kyzylorda,7.1
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Mangistau,10.2
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Ontustik Kazakhstan,12.1
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Pavlodar,8.9
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Soltustik Kazakhstan,10.6
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Shygys Kazakhstan,16.6
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Nur-Sultan city,19.7
2010,Percent,Rate of deviation from the norm (moderate and strong),,,,Almaty city,17.1
2010,Percent,Rate of deviation from the norm (moderate and strong),M0T5,,,,10.7
2010,Percent,Rate of deviation from the norm (moderate and strong),M6T11,,,,13.8
2010,Percent,Rate of deviation from the norm (moderate and strong),M12T23,,,,18.6
2010,Percent,Rate of deviation from the norm (moderate and strong),M24T35,,,,14.4
2010,Percent,Rate of deviation from the norm (moderate and strong),36-47 months,,,,11.6
2010,Percent,Rate of deviation from the norm (moderate and strong),48-59 months,,,,8.1
2010,Percent,Strong deviation from the norm,,,,,5.4
2010,Percent,Strong deviation from the norm,,,Male,,5.5
2010,Percent,Strong deviation from the norm,,,Female,,5.3
2010,Percent,Strong deviation from the norm,,Population of urban areas,,,5.7
2010,Percent,Strong deviation from the norm,,Population of rural areas,,,5.1
2010,Percent,Strong deviation from the norm,,,,Akmola,2.8
2010,Percent,Strong deviation from the norm,,,,Aktobe,19.7
2010,Percent,Strong deviation from the norm,,,,Almaty,4.2
2010,Percent,Strong deviation from the norm,,,,Atyrau,11.1
2010,Percent,Strong deviation from the norm,,,,Batys Kazakhstan,1.1
2010,Percent,Strong deviation from the norm,,,,Zhambyl,3.7
2010,Percent,Strong deviation from the norm,,,,Karagandy,1.5
2010,Percent,Strong deviation from the norm,,,,Kostanay,5.0
2010,Percent,Strong deviation from the norm,,,,Kyzylorda,1.8
2010,Percent,Strong deviation from the norm,,,,Mangistau,4.2
