Year,UNIT_MEASURE,SERIES,Value
2010,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",148.0
2010,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.906
2010,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",54.0
2010,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.33
2011,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",12.0
2011,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.07
2011,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",5.0
2011,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.03
2012,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",20.0
2012,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.119
2012,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",15.0
2012,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.089
2013,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",12.0
2013,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.07
2013,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",3.0
2013,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.0176
2014,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",19.0
2014,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.109
2014,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",9.0
2014,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.52
2015,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0
2015,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.045
2015,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",0.0
2015,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.0
2016,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0
2016,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.045
2016,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",1.0
2016,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.005
2017,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",35.0
2017,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.194
2017,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",11.0
2017,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.061
2018,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",8.0
2018,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.044
2018,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",1.0
2018,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.005
2019,Number of individuals,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",9.0
2019,Number of individuals,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.048
2019,Number of individuals,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",2.0
2019,Number of individuals,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",0.011
