Year,UNIT_MEASURE,Area,Regions,Value
2010,Percent,Population of urban areas,,82.0
2010,Percent,Population of rural areas,,60.0
2011,Percent,Population of urban areas,,82.0
2011,Percent,Population of rural areas,,42.5
2012,Percent,Population of urban areas,,84.0
2012,Percent,Population of rural areas,,43.0
2013,Percent,Population of urban areas,,85.0
2013,Percent,Population of rural areas,,47.7
2014,Percent,Population of urban areas,,86.0
2014,Percent,Population of rural areas,,50.3
2014,Percent,Population of urban areas,Akmola,81.3
2014,Percent,Population of rural areas,Akmola,57.5
2014,Percent,Population of urban areas,Aktobe,96.9
2014,Percent,Population of rural areas,Aktobe,39.5
2014,Percent,Population of urban areas,Almaty,79.8
2014,Percent,Population of rural areas,Almaty,70.4
2014,Percent,Population of urban areas,Atyrau,96.2
2014,Percent,Population of rural areas,Atyrau,64.3
2014,Percent,Population of urban areas,Batys Kazakhstan,87.0
2014,Percent,Population of rural areas,Batys Kazakhstan,36.5
2014,Percent,Population of urban areas,Zhambyl,74.7
2014,Percent,Population of rural areas,Zhambyl,56.9
2014,Percent,Population of urban areas,Karagandy,79.5
2014,Percent,Population of rural areas,Karagandy,51.5
2014,Percent,Population of urban areas,Kostanay,89.1
2014,Percent,Population of rural areas,Kostanay,27.5
2014,Percent,Population of urban areas,Kyzylorda,77.1
2014,Percent,Population of rural areas,Kyzylorda,70.9
2014,Percent,Population of urban areas,Mangistau,88.9
2014,Percent,Population of rural areas,Mangistau,47.1
2014,Percent,Population of urban areas,Ontustik Kazakhstan,81.2
2014,Percent,Population of rural areas,Ontustik Kazakhstan,72.9
2014,Percent,Population of urban areas,Pavlodar,83.3
2014,Percent,Population of rural areas,Pavlodar,20.4
2014,Percent,Population of urban areas,Soltustik Kazakhstan,93.1
2014,Percent,Population of rural areas,Soltustik Kazakhstan,48.1
2014,Percent,Population of urban areas,Shygys Kazakhstan,88.6
2014,Percent,Population of rural areas,Shygys Kazakhstan,40.3
2014,Percent,,Nur-Sultan city,88.1
2014,Percent,,Almaty city,91.2
2015,Percent,Population of urban areas,,87.0
2015,Percent,Population of rural areas,,51.5
2015,Percent,Population of urban areas,Akmola,82.2
2015,Percent,Population of rural areas,Akmola,57.7
2015,Percent,Population of urban areas,Aktobe,97.1
2015,Percent,Population of rural areas,Aktobe,42.0
2015,Percent,Population of urban areas,Almaty,80.9
2015,Percent,Population of rural areas,Almaty,71.2
2015,Percent,Population of urban areas,Atyrau,94.0
2015,Percent,Population of rural areas,Atyrau,75.0
2015,Percent,Population of urban areas,Batys Kazakhstan,88.1
2015,Percent,Population of rural areas,Batys Kazakhstan,36.1
2015,Percent,Population of urban areas,Zhambyl,76.2
2015,Percent,Population of rural areas,Zhambyl,59.1
2015,Percent,Population of urban areas,Karagandy,81.3
2015,Percent,Population of rural areas,Karagandy,52.5
2015,Percent,Population of urban areas,Kostanay,91.5
2015,Percent,Population of rural areas,Kostanay,27.3
2015,Percent,Population of urban areas,Kyzylorda,78.4
2015,Percent,Population of rural areas,Kyzylorda,70.1
2015,Percent,Population of urban areas,Mangistau,91.1
2015,Percent,Population of rural areas,Mangistau,46.1
2015,Percent,Population of urban areas,Ontustik Kazakhstan,82.0
2015,Percent,Population of rural areas,Ontustik Kazakhstan,69.8
2015,Percent,Population of urban areas,Pavlodar,84.1
2015,Percent,Population of rural areas,Pavlodar,19.2
2015,Percent,Population of urban areas,Soltustik Kazakhstan,94.5
2015,Percent,Population of rural areas,Soltustik Kazakhstan,53.9
2015,Percent,Population of urban areas,Shygys Kazakhstan,89.3
2015,Percent,Population of rural areas,Shygys Kazakhstan,41.5
2015,Percent,,Nur-Sultan city,89.3
2015,Percent,,Almaty city,92.7
2016,Percent,Population of urban areas,,88.0
2016,Percent,Population of rural areas,,52.3
2016,Percent,Population of urban areas,Akmola,83.0
2016,Percent,Population of rural areas,Akmola,57.7
2016,Percent,Population of urban areas,Aktobe,98.5
2016,Percent,Population of rural areas,Aktobe,45.9
2016,Percent,Population of urban areas,Almaty,95.3
2016,Percent,Population of rural areas,Almaty,83.7
2016,Percent,Population of urban areas,Atyrau,100.0
2016,Percent,Population of rural areas,Atyrau,77.4
2016,Percent,Population of urban areas,Batys Kazakhstan,89.0
2016,Percent,Population of rural areas,Batys Kazakhstan,37.4
2016,Percent,Population of urban areas,Zhambyl,78.8
2016,Percent,Population of rural areas,Zhambyl,61.7
2016,Percent,Population of urban areas,Karagandy,85.3
2016,Percent,Population of rural areas,Karagandy,53.4
2016,Percent,Population of urban areas,Kostanay,97.5
2016,Percent,Population of rural areas,Kostanay,29.2
2016,Percent,Population of urban areas,Kyzylorda,85.0
2016,Percent,Population of rural areas,Kyzylorda,74.6
2016,Percent,Population of urban areas,Mangistau,99.5
2016,Percent,Population of rural areas,Mangistau,57.4
2016,Percent,Population of urban areas,Ontustik Kazakhstan,88.4
2016,Percent,Population of rural areas,Ontustik Kazakhstan,71.8
2016,Percent,Population of urban areas,Pavlodar,84.0
2016,Percent,Population of rural areas,Pavlodar,19.8
2016,Percent,Population of urban areas,Soltustik Kazakhstan,99.9
2016,Percent,Population of rural areas,Soltustik Kazakhstan,56.3
