Year,UNIT_MEASURE,Regions,Area,Sex,Value
2010,per 100000 population,,,,7.14
2010,per 100000 population,Akmola,,,11.3
2010,per 100000 population,Aktobe,,,4.15
2010,per 100000 population,Almaty,,,6.96
2010,per 100000 population,Atyrau,,,2.66
2010,per 100000 population,Batys Kazakhstan,,,6.6
2010,per 100000 population,Zhambyl,,,4.04
2010,per 100000 population,Karagandy,,,13.41
2010,per 100000 population,Kostanay,,,11.33
2010,per 100000 population,Kyzylorda,,,1.87
2010,per 100000 population,Mangistau,,,1.36
2010,per 100000 population,Ontustik Kazakhstan,,,2.76
2010,per 100000 population,Pavlodar,,,13.82
2010,per 100000 population,Soltustik Kazakhstan,,,2.03
2010,per 100000 population,Shygys Kazakhstan,,,10.16
2010,per 100000 population,Nur-Sultan city,,,10.7
2010,per 100000 population,Almaty city,,,8.99
2010,per 100000 population,,Population of urban areas,,8.68
2010,per 100000 population,Akmola,Population of urban areas,,11.97
2010,per 100000 population,Aktobe,Population of urban areas,,3.18
2010,per 100000 population,Almaty,Population of urban areas,,9.42
2010,per 100000 population,Atyrau,Population of urban areas,,2.79
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,,7.67
2010,per 100000 population,Zhambyl,Population of urban areas,,5.93
2010,per 100000 population,Karagandy,Population of urban areas,,15.4
2010,per 100000 population,Kostanay,Population of urban areas,,10.17
2010,per 100000 population,Kyzylorda,Population of urban areas,,1.02
2010,per 100000 population,Mangistau,Population of urban areas,,1.47
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,4.51
2010,per 100000 population,Pavlodar,Population of urban areas,,12.15
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,2.52
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,,11.9
2010,per 100000 population,Nur-Sultan city,Population of urban areas,,10.7
2010,per 100000 population,Almaty city,Population of urban areas,,8.99
2010,per 100000 population,,Population of rural areas,,5.31
2010,per 100000 population,Akmola,Population of rural areas,,10.72
2010,per 100000 population,Aktobe,Population of rural areas,,5.69
2010,per 100000 population,Almaty,Population of rural areas,,6.2
2010,per 100000 population,Atyrau,Population of rural areas,,2.54
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,,5.64
2010,per 100000 population,Zhambyl,Population of rural areas,,2.75
2010,per 100000 population,Karagandy,Population of rural areas,,6.38
2010,per 100000 population,Kostanay,Population of rural areas,,12.49
2010,per 100000 population,Kyzylorda,Population of rural areas,,2.49
2010,per 100000 population,Mangistau,Population of rural areas,,1.24
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,1.62
2010,per 100000 population,Pavlodar,Population of rural areas,,17.45
2010,per 100000 population,Soltustik Kazakhstan,Population of rural areas,,1.7
2010,per 100000 population,Shygys Kazakhstan,Population of rural areas,,7.77
2010,per 100000 population,,,Male,10.58
2010,per 100000 population,Akmola,,Male,16.68
2010,per 100000 population,Aktobe,,Male,5.12
2010,per 100000 population,Almaty,,Male,10.11
2010,per 100000 population,Atyrau,,Male,4.66
2010,per 100000 population,Batys Kazakhstan,,Male,9.24
2010,per 100000 population,Zhambyl,,Male,5.92
2010,per 100000 population,Karagandy,,Male,21.34
2010,per 100000 population,Kostanay,,Male,16.34
2010,per 100000 population,Kyzylorda,,Male,2.02
2010,per 100000 population,Mangistau,,Male,1.97
2010,per 100000 population,Ontustik Kazakhstan,,Male,3.83
2010,per 100000 population,Pavlodar,,Male,21.96
2010,per 100000 population,Soltustik Kazakhstan,,Male,2.49
2010,per 100000 population,Shygys Kazakhstan,,Male,14.31
2010,per 100000 population,Nur-Sultan city,,Male,16.78
2010,per 100000 population,Almaty city,,Male,14.79
2010,per 100000 population,,Population of urban areas,Male,13.32
2010,per 100000 population,Akmola,Population of urban areas,Male,16.9
2010,per 100000 population,Aktobe,Population of urban areas,Male,4.06
2010,per 100000 population,Almaty,Population of urban areas,Male,12.6
2010,per 100000 population,Atyrau,Population of urban areas,Male,5.02
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,Male,10.53
2010,per 100000 population,Zhambyl,Population of urban areas,Male,8.07
2010,per 100000 population,Karagandy,Population of urban areas,Male,25.39
2010,per 100000 population,Kostanay,Population of urban areas,Male,14.87
2010,per 100000 population,Kyzylorda,Population of urban areas,Male,1.4
2010,per 100000 population,Mangistau,Population of urban areas,Male,1.51
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,Male,7.09
2010,per 100000 population,Pavlodar,Population of urban areas,Male,20.89
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,Male,4.64
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,Male,16.48
2010,per 100000 population,Nur-Sultan city,Population of urban areas,Male,16.78
2010,per 100000 population,Almaty city,Population of urban areas,Male,14.79
2010,per 100000 population,,Population of rural areas,Male,7.48
2010,per 100000 population,Akmola,Population of rural areas,Male,16.49
2010,per 100000 population,Aktobe,Population of rural areas,Male,6.71
2010,per 100000 population,Almaty,Population of rural areas,Male,9.38
2010,per 100000 population,Atyrau,Population of rural areas,Male,4.34
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,Male,8.16
2010,per 100000 population,Zhambyl,Population of rural areas,Male,4.53
2010,per 100000 population,Karagandy,Population of rural areas,Male,8.05
2010,per 100000 population,Kostanay,Population of rural areas,Male,17.72
2010,per 100000 population,Kyzylorda,Population of rural areas,Male,2.45
2010,per 100000 population,Mangistau,Population of rural areas,Male,2.46
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,Male,1.81
2010,per 100000 population,Pavlodar,Population of rural areas,Male,24.14
2010,per 100000 population,Soltustik Kazakhstan,Population of rural areas,Male,1.15
2010,per 100000 population,Shygys Kazakhstan,Population of rural areas,Male,11.58
2010,per 100000 population,,,Female,3.95
2010,per 100000 population,Akmola,,Female,6.31
2010,per 100000 population,Aktobe,,Female,3.25
2010,per 100000 population,Almaty,,Female,3.92
2010,per 100000 population,Atyrau,,Female,0.74
2010,per 100000 population,Batys Kazakhstan,,Female,4.14
