Year,UNIT_MEASURE,SERIES,Value
2015,Percent,Food insecurity (moderate and extreme),7.8
2015,Percent,Extreme food insecurity,1.4
2016,Percent,Food insecurity (moderate and extreme),7.8
2016,Percent,Extreme food insecurity,1.4
2017,Percent,Food insecurity (moderate and extreme),7.8
2017,Percent,Extreme food insecurity,1.4
2018,Percent,Food insecurity (moderate and extreme),4.2
2018,Percent,Extreme food insecurity,1.7
2019,Percent,Food insecurity (moderate and extreme),5.3
2019,Percent,Extreme food insecurity,1.9
