Year,UNIT_MEASURE,Area,Sex,Regions,Value
2010,Percent,,,,30.9
2011,Percent,,,,33.8
2012,Percent,,,,37.6
2013,Percent,,,,37.6
2014,Percent,,,,41.6
2015,Percent,,,,43.4
2016,Percent,,,,42.9
2017,Percent,,,,44.5
2018,Percent,,,,44.8
2010,Percent,,,Akmola,27.1
2011,Percent,,,Akmola,24.2
2012,Percent,,,Akmola,24.0
2013,Percent,,,Akmola,26.6
2014,Percent,,,Akmola,33.8
2015,Percent,,,Akmola,32.1
2016,Percent,,,Akmola,36.2
2017,Percent,,,Akmola,34.1
2018,Percent,,,Akmola,38.7
2010,Percent,,,Aktobe,30.3
2011,Percent,,,Aktobe,40.8
2012,Percent,,,Aktobe,38.3
2013,Percent,,,Aktobe,47.4
2014,Percent,,,Aktobe,34.2
2015,Percent,,,Aktobe,35.8
2016,Percent,,,Aktobe,37.5
2017,Percent,,,Aktobe,44.3
2018,Percent,,,Aktobe,36.4
2010,Percent,,,Almaty,28.2
2011,Percent,,,Almaty,27.0
2012,Percent,,,Almaty,26.7
2013,Percent,,,Almaty,25.4
2014,Percent,,,Almaty,28.9
2015,Percent,,,Almaty,29.9
2016,Percent,,,Almaty,29.6
2017,Percent,,,Almaty,35.3
2018,Percent,,,Almaty,34.9
2010,Percent,,,Atyrau,24.5
2011,Percent,,,Atyrau,29.2
2012,Percent,,,Atyrau,44.7
2013,Percent,,,Atyrau,41.1
2014,Percent,,,Atyrau,47.2
2015,Percent,,,Atyrau,36.9
2016,Percent,,,Atyrau,48.6
2017,Percent,,,Atyrau,41.4
2018,Percent,,,Atyrau,52.8
2010,Percent,,,Batys Kazakhstan,33.3
2011,Percent,,,Batys Kazakhstan,33.2
2012,Percent,,,Batys Kazakhstan,33.0
2013,Percent,,,Batys Kazakhstan,33.8
2014,Percent,,,Batys Kazakhstan,40.6
2015,Percent,,,Batys Kazakhstan,38.1
2016,Percent,,,Batys Kazakhstan,35.9
2017,Percent,,,Batys Kazakhstan,34.4
2018,Percent,,,Batys Kazakhstan,33.8
2010,Percent,,,Zhambyl,17.9
2011,Percent,,,Zhambyl,23.0
2012,Percent,,,Zhambyl,28.8
2013,Percent,,,Zhambyl,23.0
2014,Percent,,,Zhambyl,30.0
2015,Percent,,,Zhambyl,32.1
2016,Percent,,,Zhambyl,29.5
2017,Percent,,,Zhambyl,35.4
2018,Percent,,,Zhambyl,36.1
2010,Percent,,,Karagandy,32.2
2011,Percent,,,Karagandy,35.2
2012,Percent,,,Karagandy,40.3
2013,Percent,,,Karagandy,39.7
2014,Percent,,,Karagandy,40.2
2015,Percent,,,Karagandy,43.0
2016,Percent,,,Karagandy,41.1
2017,Percent,,,Karagandy,41.1
2018,Percent,,,Karagandy,40.9
2010,Percent,,,Kostanay,32.6
2011,Percent,,,Kostanay,26.6
2012,Percent,,,Kostanay,29.1
2013,Percent,,,Kostanay,28.2
2014,Percent,,,Kostanay,37.7
2015,Percent,,,Kostanay,33.1
2016,Percent,,,Kostanay,35.2
2017,Percent,,,Kostanay,36.6
2018,Percent,,,Kostanay,32.5
2010,Percent,,,Kyzylorda,32.0
2011,Percent,,,Kyzylorda,36.0
2012,Percent,,,Kyzylorda,37.4
2013,Percent,,,Kyzylorda,35.7
2014,Percent,,,Kyzylorda,34.2
2015,Percent,,,Kyzylorda,38.0
2016,Percent,,,Kyzylorda,40.6
2017,Percent,,,Kyzylorda,39.4
2018,Percent,,,Kyzylorda,37.8
2010,Percent,,,Mangistau,24.4
2011,Percent,,,Mangistau,33.3
2012,Percent,,,Mangistau,42.3
2013,Percent,,,Mangistau,31.6
2014,Percent,,,Mangistau,42.7
2015,Percent,,,Mangistau,31.0
2016,Percent,,,Mangistau,36.5
2017,Percent,,,Mangistau,31.1
2018,Percent,,,Mangistau,32.5
2010,Percent,,,Ontustik Kazakhstan,22.6
2011,Percent,,,Ontustik Kazakhstan,26.7
2012,Percent,,,Ontustik Kazakhstan,29.2
2013,Percent,,,Ontustik Kazakhstan,29.9
2014,Percent,,,Ontustik Kazakhstan,42.1
2015,Percent,,,Ontustik Kazakhstan,40.5
2016,Percent,,,Ontustik Kazakhstan,45.6
2017,Percent,,,Ontustik Kazakhstan,48.0
2010,Percent,,,Pavlodar,25.2
2011,Percent,,,Pavlodar,26.5
2012,Percent,,,Pavlodar,30.1
2013,Percent,,,Pavlodar,26.0
2014,Percent,,,Pavlodar,37.9
2015,Percent,,,Pavlodar,33.4
2016,Percent,,,Pavlodar,33.6
2017,Percent,,,Pavlodar,38.4
2018,Percent,,,Pavlodar,35.5
2010,Percent,,,Soltustik Kazakhstan,18.5
2011,Percent,,,Soltustik Kazakhstan,25.7
2012,Percent,,,Soltustik Kazakhstan,28.2
2013,Percent,,,Soltustik Kazakhstan,25.4
2014,Percent,,,Soltustik Kazakhstan,31.6
2015,Percent,,,Soltustik Kazakhstan,35.3
2016,Percent,,,Soltustik Kazakhstan,37.3
2017,Percent,,,Soltustik Kazakhstan,34.2
2018,Percent,,,Soltustik Kazakhstan,28.0
2018,Percent,,,Turkistan,40.9
2010,Percent,,,Shygys Kazakhstan,27.1
2011,Percent,,,Shygys Kazakhstan,29.6
2012,Percent,,,Shygys Kazakhstan,34.5
2013,Percent,,,Shygys Kazakhstan,30.4
2014,Percent,,,Shygys Kazakhstan,38.6
2015,Percent,,,Shygys Kazakhstan,37.4
