Year,UNIT_MEASURE,Regions,Area,Sex,Value
2010,per 100000 population,,,,22.26
2010,per 100000 population,Akmola,,,44.13
2010,per 100000 population,Aktobe,,,18.56
2010,per 100000 population,Almaty,,,21.52
2010,per 100000 population,Atyrau,,,17.66
2010,per 100000 population,Batys Kazakhstan,,,28.54
2010,per 100000 population,Zhambyl,,,17.4
2010,per 100000 population,Karagandy,,,33.57
2010,per 100000 population,Kostanay,,,38.19
2010,per 100000 population,Kyzylorda,,,8.64
2010,per 100000 population,Mangistau,,,13.24
2010,per 100000 population,Ontustik Kazakhstan,,,11.46
2010,per 100000 population,Pavlodar,,,27.1
2010,per 100000 population,Soltustik Kazakhstan,,,26.22
2010,per 100000 population,Shygys Kazakhstan,,,40.41
2010,per 100000 population,Nur-Sultan city,,,12.18
2010,per 100000 population,Almaty city,,,7.63
2010,per 100000 population,,Population of urban areas,,19.38
2010,per 100000 population,Akmola,Population of urban areas,,39.43
2010,per 100000 population,Aktobe,Population of urban areas,,15.05
2010,per 100000 population,Almaty,Population of urban areas,,22.07
2010,per 100000 population,Atyrau,Population of urban areas,,9.97
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,,24.75
2010,per 100000 population,Zhambyl,Population of urban areas,,16.13
2010,per 100000 population,Karagandy,Population of urban areas,,31.09
2010,per 100000 population,Kostanay,Population of urban areas,,26.23
2010,per 100000 population,Kyzylorda,Population of urban areas,,6.48
2010,per 100000 population,Mangistau,Population of urban areas,,11.0
2010,per 100000 population,Ontustik Kazakhstan,Population of urban areas,,11.02
2010,per 100000 population,Pavlodar,Population of urban areas,,23.91
2010,per 100000 population,Soltustik Kazakhstan,Population of urban areas,,26.42
2010,per 100000 population,Shygys Kazakhstan,Population of urban areas,,34.97
2010,per 100000 population,Nur-Sultan city,Population of urban areas,,12.18
2010,per 100000 population,Almaty city,Population of urban areas,,7.63
2010,per 100000 population,,Population of rural areas,,25.71
2010,per 100000 population,Akmola,Population of rural areas,,48.24
2010,per 100000 population,Aktobe,Population of rural areas,,24.1
2010,per 100000 population,Almaty,Population of rural areas,,21.35
2010,per 100000 population,Atyrau,Population of rural areas,,24.66
2010,per 100000 population,Batys Kazakhstan,Population of rural areas,,31.95
2010,per 100000 population,Zhambyl,Population of rural areas,,18.26
2010,per 100000 population,Karagandy,Population of rural areas,,42.34
2010,per 100000 population,Kostanay,Population of rural areas,,50.2
2010,per 100000 population,Kyzylorda,Population of rural areas,,10.21
2010,per 100000 population,Mangistau,Population of rural areas,,15.76
2010,per 100000 population,Ontustik Kazakhstan,Population of rural areas,,11.74
2010,per 100000 population,Pavlodar,Population of rural areas,,34.05
2010,per 100000 population,Soltustik Kazakhstan,Population of rural areas,,26.09
2010,per 100000 population,Shygys Kazakhstan,Population of rural areas,,47.83
2010,per 100000 population,,,Male,37.97
2010,per 100000 population,Akmola,,Male,76.88
2010,per 100000 population,Aktobe,,Male,33.17
2010,per 100000 population,Almaty,,Male,36.16
2010,per 100000 population,Atyrau,,Male,31.03
2010,per 100000 population,Batys Kazakhstan,,Male,47.89
2010,per 100000 population,Zhambyl,,Male,29.19
2010,per 100000 population,Karagandy,,Male,56.33
2010,per 100000 population,Kostanay,,Male,67.75
2010,per 100000 population,Kyzylorda,,Male,14.44
2010,per 100000 population,Mangistau,,Male,21.22
2010,per 100000 population,Ontustik Kazakhstan,,Male,16.97
2010,per 100000 population,Pavlodar,,Male,47.92
2010,per 100000 population,Soltustik Kazakhstan,,Male,48.33
2010,per 100000 population,Shygys Kazakhstan,,Male,72.91
2010,per 100000 population,Nur-Sultan city,,Male,20.44
2010,per 100000 population,Almaty city,,Male,12.77
2010,per 100000 population,,Population of urban areas,Male,33.68
2010,per 100000 population,Akmola,Population of urban areas,Male,67.59
2010,per 100000 population,Aktobe,Population of urban areas,Male,28.41
2010,per 100000 population,Almaty,Population of urban areas,Male,40.21
2010,per 100000 population,Atyrau,Population of urban areas,Male,18.4
2010,per 100000 population,Batys Kazakhstan,Population of urban areas,Male,42.86
2010,per 100000 population,Zhambyl,Population of urban areas,Male,27.75
2010,per 100000 population,Karagandy,Population of urban areas,Male,53.04
2010,per 100000 population,Kostanay,Population of urban areas,Male,46.09
2010,per 100000 population,Kyzylorda,Population of urban areas,Male,10.53
2010,per 100000 population,Mangistau,Population of urban areas,Male,18.89
