Year,UNIT_MEASURE,SERIES,Value
2010,пайыз,дамушы елдер,10.9
2010,пайыз,аз дамыған елдер,9.2
2011,пайыз,дамушы елдер,11.1
2011,пайыз,аз дамыған елдер,9.2
2012,пайыз,дамушы елдер,11.3
2012,пайыз,аз дамыған елдер,9.4
2013,пайыз,дамушы елдер,10.2
2013,пайыз,аз дамыған елдер,8.4
2014,пайыз,дамушы елдер,8.7
2014,пайыз,аз дамыған елдер,7.3
2015,пайыз,дамушы елдер,8.7
2015,пайыз,аз дамыған елдер,7.2
2016,пайыз,дамушы елдер,8.4
2016,пайыз,аз дамыған елдер,6.9
2017,пайыз,дамушы елдер,6.7
2017,пайыз,аз дамыған елдер,5.4
2018,пайыз,дамушы елдер,53.0
2018,пайыз,аз дамыған елдер,39.0
2019,пайыз,дамушы елдер,64.0
2019,пайыз,аз дамыған елдер,40.0
