Year,UNIT_MEASURE,SERIES,Жасы,Аймақ,Жынысы,Өңірлер,Value
2010,пайыз,қалыпты және қатал ауытқушылық,,,,,13.1
2010,пайыз,қалыпты және қатал ауытқушылық,,,ерлер,,13.2
2010,пайыз,қалыпты және қатал ауытқушылық,,,әйелдер,,13.0
2010,пайыз,қалыпты және қатал ауытқушылық,,қала,,,12.8
2010,пайыз,қалыпты және қатал ауытқушылық,,ауыл,,,13.4
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Ақмола,8.1
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Ақтөбе,36.2
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы,10.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Атырау,18.4
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Батыс Қазақстан,9.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Жамбыл,16.2
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қарағанды,4.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қостанай,12.7
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қызылорда,7.1
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Маңғыстау,10.2
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Оңтүстік Қазақстан,12.1
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Павлодар,8.9
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Солтүстік Қазақстан,10.6
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Шығыс Қазақстан,16.6
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Нұр-Сұлтан қаласы,19.7
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы қаласы,17.1
2010,пайыз,қалыпты және қатал ауытқушылық,M0T5,,,,10.7
2010,пайыз,қалыпты және қатал ауытқушылық,M6T11,,,,13.8
2010,пайыз,қалыпты және қатал ауытқушылық,M12T23,,,,18.6
2010,пайыз,қалыпты және қатал ауытқушылық,M24T35,,,,14.4
2010,пайыз,қалыпты және қатал ауытқушылық,36-47 ай,,,,11.6
2010,пайыз,қалыпты және қатал ауытқушылық,48-59 ай,,,,8.1
2010,пайыз,нормадан күшті ауытқу,,,,,5.4
2010,пайыз,нормадан күшті ауытқу,,,ерлер,,5.5
2010,пайыз,нормадан күшті ауытқу,,,әйелдер,,5.3
2010,пайыз,нормадан күшті ауытқу,,қала,,,5.7
2010,пайыз,нормадан күшті ауытқу,,ауыл,,,5.1
2010,пайыз,нормадан күшті ауытқу,,,,Ақмола,2.8
2010,пайыз,нормадан күшті ауытқу,,,,Ақтөбе,19.7
2010,пайыз,нормадан күшті ауытқу,,,,Алматы,4.2
2010,пайыз,нормадан күшті ауытқу,,,,Атырау,11.1
2010,пайыз,нормадан күшті ауытқу,,,,Батыс Қазақстан,1.1
2010,пайыз,нормадан күшті ауытқу,,,,Жамбыл,3.7
2010,пайыз,нормадан күшті ауытқу,,,,Қарағанды,1.5
2010,пайыз,нормадан күшті ауытқу,,,,Қостанай,5.0
2010,пайыз,нормадан күшті ауытқу,,,,Қызылорда,1.8
2010,пайыз,нормадан күшті ауытқу,,,,Маңғыстау,4.2
2010,пайыз,нормадан күшті ауытқу,,,,Оңтүстік Қазақстан,5.8
2010,пайыз,нормадан күшті ауытқу,,,,Павлодар,2.5
2010,пайыз,нормадан күшті ауытқу,,,,Солтүстік Қазақстан,2.3
2010,пайыз,нормадан күшті ауытқу,,,,Шығыс Қазақстан,7.2
2010,пайыз,нормадан күшті ауытқу,,,,Нұр-Сұлтан қаласы,10.1
2010,пайыз,нормадан күшті ауытқу,,,,Алматы қаласы,7.1
