Year,UNIT_MEASURE,Өңірлер,Value
2010,пайыз,Ақмола,44.0
2010,пайыз,Алматы,58.0
2010,пайыз,Атырау,24.0
2010,пайыз,Қарағанды,73.0
2010,пайыз,Қостанай,50.0
2010,пайыз,Қызылорда,54.0
2010,пайыз,Маңғыстау,59.0
2010,пайыз,Солтүстік Қазақстан,40.0
2010,пайыз,Түркістан,49.0
2011,пайыз,Ақмола,49.0
2011,пайыз,Алматы,60.2
2011,пайыз,Атырау,30.0
2011,пайыз,Қарағанды,73.0
2011,пайыз,Қостанай,52.0
2011,пайыз,Қызылорда,57.0
2011,пайыз,Маңғыстау,59.0
2011,пайыз,Павлодар,67.0
2011,пайыз,Солтүстік Қазақстан,42.0
2011,пайыз,Түркістан,50.0
2011,пайыз,Шығыс Қазақстан,66.0
2011,пайыз,Алматы қаласы,28.0
2012,пайыз,Ақмола,54.0
2012,пайыз,Алматы,64.0
2012,пайыз,Атырау,32.0
2012,пайыз,Қарағанды,73.0
2012,пайыз,Қостанай,54.0
2012,пайыз,Қызылорда,60.0
2012,пайыз,Маңғыстау,64.0
2012,пайыз,Павлодар,69.0
2012,пайыз,Солтүстік Қазақстан,46.0
2012,пайыз,Түркістан,67.5
2012,пайыз,Шығыс Қазақстан,68.0
2012,пайыз,Алматы қаласы,34.0
2013,пайыз,Ақмола,60.0
2013,пайыз,Ақтөбе,48.9
2013,пайыз,Алматы,69.6
2013,пайыз,Атырау,37.0
2013,пайыз,Батыс Қазақстан,23.0
2013,пайыз,Қарағанды,73.5
2013,пайыз,Қостанай,58.0
2013,пайыз,Қызылорда,54.0
2013,пайыз,Маңғыстау,67.0
2013,пайыз,Павлодар,71.0
2013,пайыз,Солтүстік Қазақстан,50.0
2013,пайыз,Түркістан,70.0
2013,пайыз,Шығыс Қазақстан,74.0
2013,пайыз,Алматы қаласы,37.0
2014,пайыз,Ақмола,65.0
2014,пайыз,Ақтөбе,44.5
2014,пайыз,Алматы,74.6
2014,пайыз,Атырау,42.0
2014,пайыз,Батыс Қазақстан,24.0
2014,пайыз,Жамбыл,70.0
2014,пайыз,Қарағанды,74.0
2014,пайыз,Қостанай,59.0
2014,пайыз,Қызылорда,57.0
2014,пайыз,Маңғыстау,77.0
2014,пайыз,Павлодар,74.0
2014,пайыз,Солтүстік Қазақстан,51.0
2014,пайыз,Түркістан,74.5
2014,пайыз,Шығыс Қазақстан,75.0
2014,пайыз,Алматы қаласы,43.0
2014,пайыз,Шымкент қаласы,30.7
2015,пайыз,Ақмола,66.0
2015,пайыз,Ақтөбе,46.3
2015,пайыз,Алматы,77.6
2015,пайыз,Атырау,47.0
2015,пайыз,Батыс Қазақстан,26.0
2015,пайыз,Жамбыл,74.0
2015,пайыз,Қарағанды,74.5
2015,пайыз,Қостанай,62.0
2015,пайыз,Қызылорда,62.0
2015,пайыз,Маңғыстау,84.0
2015,пайыз,Павлодар,76.0
2015,пайыз,Солтүстік Қазақстан,53.0
2015,пайыз,Түркістан,77.0
2015,пайыз,Шығыс Қазақстан,76.0
2015,пайыз,Нұр-Сұлтан қаласы,71.1
