Year,UNIT_MEASURE,Аймақ,Жынысы,Өңірлер,Value
2010,пайыз,,,,6.5
2010,пайыз,қала,,,3.7
2010,пайыз,ауыл,,,10.1
2010,пайыз,,ерлер,,6.8
2010,пайыз,,әйелдер,,6.3
2010,пайыз,,,Ақмола,4.4
2010,пайыз,,,Ақтөбе,6.0
2010,пайыз,,,Алматы,6.6
2010,пайыз,,,Атырау,5.9
2010,пайыз,,,Батыс Қазақстан,6.7
2010,пайыз,,,Жамбыл,5.3
2010,пайыз,,,Қарағанды,3.8
2010,пайыз,,,Қостанай,6.4
2010,пайыз,,,Қызылорда,6.7
2010,пайыз,,,Маңғыстау,11.6
2010,пайыз,,,Оңтүстік Қазақстан,11.5
2010,пайыз,,,Павлодар,4.0
2010,пайыз,,,Солтүстік Қазақстан,5.4
2010,пайыз,,,Шығыс Қазақстан,8.4
2010,пайыз,,,Нұр-Сұлтан қаласы,3.4
2010,пайыз,,,Алматы қаласы,2.6
2011,пайыз,,,,5.5
2011,пайыз,қала,,,2.5
2011,пайыз,ауыл,,,9.1
2011,пайыз,,ерлер,,5.7
2011,пайыз,,әйелдер,,5.3
2011,пайыз,,,Ақмола,6.2
2011,пайыз,,,Ақтөбе,2.4
2011,пайыз,,,Алматы,3.4
2011,пайыз,,,Атырау,5.2
2011,пайыз,,,Батыс Қазақстан,4.8
2011,пайыз,,,Жамбыл,5.1
2011,пайыз,,,Қарағанды,3.5
2011,пайыз,,,Қостанай,4.6
2011,пайыз,,,Қызылорда,6.2
2011,пайыз,,,Маңғыстау,10.4
2011,пайыз,,,Оңтүстік Қазақстан,10.4
2011,пайыз,,,Павлодар,4.5
2011,пайыз,,,Солтүстік Қазақстан,9.6
2011,пайыз,,,Шығыс Қазақстан,6.1
2011,пайыз,,,Нұр-Сұлтан қаласы,1.7
2011,пайыз,,,Алматы қаласы,2.0
2012,пайыз,,,,3.8
2012,пайыз,қала,,,1.9
2012,пайыз,ауыл,,,6.1
2012,пайыз,,ерлер,,4.0
2012,пайыз,,әйелдер,,3.7
2012,пайыз,,,Ақмола,3.9
2012,пайыз,,,Ақтөбе,2.4
2012,пайыз,,,Алматы,3.2
2012,пайыз,,,Атырау,3.3
