Year,UNIT_MEASURE,Жынысы,Аймақ,SERIES,Өңірлер,Value
2011,пайыз,,қала,"Күніне САҚП бойынша 1,9 АҚШ доллары",Оңтүстік Қазақстан,0.2
2011,пайыз,,қала,"Күніне САҚП бойынша 1,9 АҚШ доллары",Нұр-Сұлтан қаласы,0.0
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақмола,0.7
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақтөбе,0.2
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы,0.7
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Жамбыл,1.3
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қарағанды,0.3
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қостанай,0.4
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қызылорда,0.2
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Оңтүстік Қазақстан,1.1
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Павлодар,0.5
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Солтүстік Қазақстан,0.9
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Шығыс Қазақстан,0.5
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Нұр-Сұлтан қаласы,0.1
2011,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы қаласы,0.1
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақмола,10.6
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақтөбе,8.3
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Алматы,5.3
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Атырау,1.4
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Батыс Қазақстан,11.6
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Жамбыл,20.3
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қарағанды,7.4
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қостанай,9.8
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қызылорда,7.8
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Маңғыстау,2.0
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Оңтүстік Қазақстан,20.9
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Павлодар,12.7
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Солтүстік Қазақстан,13.9
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Шығыс Қазақстан,11.5
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Нұр-Сұлтан қаласы,1.7
2011,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Алматы қаласы,2.0
2011,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Ақмола,0.3
2011,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Қарағанды,0.2
2011,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Қостанай,0.1
2011,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Оңтүстік Қазақстан,0.5
2011,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Павлодар,0.6
2011,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Солтүстік Қазақстан,0.3
2011,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Шығыс Қазақстан,0.4
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақмола,3.4
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақтөбе,2.0
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы,0.1
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Атырау,0.2
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Батыс Қазақстан,1.5
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Жамбыл,0.4
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қарағанды,3.1
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қостанай,2.3
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қызылорда,1.0
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Маңғыстау,0.2
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Оңтүстік Қазақстан,3.5
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Павлодар,3.7
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Солтүстік Қазақстан,5.0
2011,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Шығыс Қазақстан,4.2
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақмола,16.2
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақтөбе,20.9
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Алматы,6.4
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Атырау,10.7
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Батыс Қазақстан,28.8
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Жамбыл,27.1
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қарағанды,22.9
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қостанай,21.4
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қызылорда,16.6
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Маңғыстау,7.3
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Оңтүстік Қазақстан,40.4
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Павлодар,26.3
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Солтүстік Қазақстан,27.5
2011,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Шығыс Қазақстан,26.5
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,1.0
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,17.7
2012,пайыз,ерлер,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2012,пайыз,ерлер,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,1.1
2012,пайыз,ерлер,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,18.4
2012,пайыз,әйелдер,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2012,пайыз,әйелдер,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,1.0
2012,пайыз,әйелдер,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,17.1
2012,пайыз,,қала,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",,0.5
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",,11.6
2012,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.1
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",,1.7
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",,25.1
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Ақмола,0.3
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Алматы,0.1
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Жамбыл,0.1
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Қостанай,0.1
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Оңтүстік Қазақстан,0.0
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Павлодар,0.0
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Солтүстік Қазақстан,0.1
2012,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Шығыс Қазақстан,0.0
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақмола,1.5
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақтөбе,0.7
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы,0.4
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Батыс Қазақстан,0.4
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Жамбыл,2.3
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қарағанды,0.7
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қостанай,0.9
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қызылорда,0.5
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Маңғыстау,0.0
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Оңтүстік Қазақстан,2.2
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Павлодар,1.3
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Солтүстік Қазақстан,2.9
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Шығыс Қазақстан,1.0
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Нұр-Сұлтан қаласы,0.1
2012,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы қаласы,0.1
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақмола,17.0
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақтөбе,15.2
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Алматы,8.8
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Атырау,6.3
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Батыс Қазақстан,27.4
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Жамбыл,36.4
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қарағанды,11.6
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қостанай,17.0
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қызылорда,12.2
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Маңғыстау,4.0
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Оңтүстік Қазақстан,40.9
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Павлодар,15.4
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Солтүстік Қазақстан,20.1
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Шығыс Қазақстан,15.0
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Нұр-Сұлтан қаласы,1.3
2012,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Алматы қаласы,1.1
2012,пайыз,,қала,"Күніне САҚП бойынша 1,9 АҚШ доллары",Ақмола,0.3
2012,пайыз,,қала,"Күніне САҚП бойынша 1,9 АҚШ доллары",Қостанай,0.1
2012,пайыз,,қала,"Күніне САҚП бойынша 1,9 АҚШ доллары",Оңтүстік Қазақстан,0.1
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақмола,1.4
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақтөбе,0.3
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Жамбыл,2.6
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қарағанды,0.2
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қостанай,0.3
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қызылорда,0.3
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Маңғыстау,0.1
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Оңтүстік Қазақстан,1.2
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Павлодар,0.4
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Солтүстік Қазақстан,1.4
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Шығыс Қазақстан,0.7
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Нұр-Сұлтан қаласы,0.1
2012,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы қаласы,0.1
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақмола,16.7
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақтөбе,15.0
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Алматы,10.1
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Атырау,3.9
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Батыс Қазақстан,19.7
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Жамбыл,28.7
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қарағанды,7.7
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қостанай,15.1
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қызылорда,11.2
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Маңғыстау,1.3
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Оңтүстік Қазақстан,28.2
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Павлодар,11.7
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Солтүстік Қазақстан,15.4
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Шығыс Қазақстан,12.2
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Нұр-Сұлтан қаласы,1.3
2012,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",Алматы қаласы,1.1
2012,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Ақмола,0.3
2012,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Алматы,0.1
2012,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Жамбыл,0.2
2012,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Қостанай,0.2
2012,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Павлодар,0.1
2012,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Солтүстік Қазақстан,0.1
2012,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",Шығыс Қазақстан,0.1
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақмола,1.7
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақтөбе,1.4
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы,0.6
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Батыс Қазақстан,0.8
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Жамбыл,2.1
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қарағанды,2.8
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қостанай,1.4
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қызылорда,0.5
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Оңтүстік Қазақстан,2.9
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Павлодар,3.2
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Солтүстік Қазақстан,3.9
2012,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",Шығыс Қазақстан,1.4
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақмола,17.3
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақтөбе,15.6
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Алматы,8.4
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Атырау,8.6
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Батыс Қазақстан,34.8
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Жамбыл,41.3
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қарағанды,25.6
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қостанай,19.0
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Қызылорда,13.0
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Маңғыстау,6.7
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Оңтүстік Қазақстан,49.0
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Павлодар,23.7
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Солтүстік Қазақстан,23.4
2012,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",Шығыс Қазақстан,18.9
2013,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,0.7
2013,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,13.6
2013,пайыз,ерлер,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2013,пайыз,ерлер,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,0.7
2013,пайыз,ерлер,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,14.2
2013,пайыз,әйелдер,,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2013,пайыз,әйелдер,,"Күніне САҚП бойынша 3,2 АҚШ доллары",,0.6
2013,пайыз,әйелдер,,"Күніне САҚП бойынша 5,5 АҚШ доллары",,13.1
2013,пайыз,,қала,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2013,пайыз,,қала,"Күніне САҚП бойынша 3,2 АҚШ доллары",,0.3
2013,пайыз,,қала,"Күніне САҚП бойынша 5,5 АҚШ доллары",,8.4
2013,пайыз,,ауыл,"Күніне САҚП бойынша 1,9 АҚШ доллары",,0.0
2013,пайыз,,ауыл,"Күніне САҚП бойынша 3,2 АҚШ доллары",,1.1
2013,пайыз,,ауыл,"Күніне САҚП бойынша 5,5 АҚШ доллары",,20.0
2013,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Ақмола,0.1
2013,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Қарағанды,0.2
2013,пайыз,,,"Күніне САҚП бойынша 1,9 АҚШ доллары",Солтүстік Қазақстан,0.4
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақмола,1.5
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Ақтөбе,0.5
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы,0.6
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Батыс Қазақстан,0.4
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Жамбыл,0.4
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қарағанды,0.9
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қостанай,1.3
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Қызылорда,0.3
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Павлодар,0.3
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Солтүстік Қазақстан,2.2
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Түркістан,1.6
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Шығыс Қазақстан,0.1
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Нұр-Сұлтан қаласы,0.0
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Алматы қаласы,0.0
2013,пайыз,,,"Күніне САҚП бойынша 3,2 АҚШ доллары",Шымкент қаласы,0.6
2013,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақмола,16.3
2013,пайыз,,,"Күніне САҚП бойынша 5,5 АҚШ доллары",Ақтөбе,12.8
