Year,Өңірлер,Value
2010,,666.0
2010,Ақмола,403.0
2010,Ақтөбе,151.0
2010,Алматы,216.0
2010,Атырау,741.0
2010,Батыс Қазақстан,488.0
2010,Жамбыл,183.0
2010,Қарағанды,482.0
2010,Қостанай,231.0
2010,Қызылорда,78.0
2010,Маңғыстау,728.0
2010,Оңтүстік Қазақстан,113.0
2010,Павлодар,169.0
2010,Солтүстік Қазақстан,123.0
2010,Шығыс Қазақстан,525.0
2010,Нұр-Сұлтан қаласы,1647.0
2010,Алматы қаласы,3973.0
2011,,694.0
2011,Ақмола,679.0
2011,Ақтөбе,146.0
2011,Алматы,257.0
2011,Атырау,785.0
2011,Батыс Қазақстан,469.0
2011,Жамбыл,88.0
2011,Қарағанды,409.0
2011,Қостанай,152.0
2011,Қызылорда,79.0
2011,Маңғыстау,768.0
2011,Оңтүстік Қазақстан,177.0
2011,Павлодар,260.0
2011,Солтүстік Қазақстан,85.0
2011,Шығыс Қазақстан,521.0
2011,Нұр-Сұлтан қаласы,1714.0
2011,Алматы қаласы,4031.0
2012,,611.0
2012,Ақмола,722.0
2012,Ақтөбе,115.0
2012,Алматы,109.0
2012,Атырау,739.0
2012,Батыс Қазақстан,179.0
2012,Жамбыл,156.0
2012,Қарағанды,604.0
2012,Қостанай,124.0
2012,Қызылорда,76.0
2012,Маңғыстау,665.0
2012,Оңтүстік Қазақстан,166.0
2012,Павлодар,231.0
2012,Солтүстік Қазақстан,206.0
2012,Шығыс Қазақстан,489.0
2012,Нұр-Сұлтан қаласы,3111.0
2012,Алматы қаласы,2472.0
2013,,737.0
2013,Ақмола,698.0
2013,Ақтөбе,162.0
2013,Алматы,211.0
2013,Атырау,531.0
2013,Батыс Қазақстан,391.0
2013,Жамбыл,142.0
2013,Қарағанды,398.0
2013,Қостанай,187.0
2013,Қызылорда,135.0
2013,Маңғыстау,786.0
2013,Оңтүстік Қазақстан,286.0
2013,Павлодар,439.0
2013,Солтүстік Қазақстан,226.0
2013,Шығыс Қазақстан,604.0
2013,Нұр-Сұлтан қаласы,2044.0
2013,Алматы қаласы,3703.0
2014,,799.0
2014,Ақмола,462.0
2014,Ақтөбе,200.0
2014,Алматы,213.0
2014,Атырау,484.0
2014,Батыс Қазақстан,159.0
2014,Жамбыл,161.0
2014,Қарағанды,569.0
2014,Қостанай,200.0
2014,Қызылорда,171.0
2014,Маңғыстау,782.0
2014,Оңтүстік Қазақстан,245.0
2014,Павлодар,388.0
2014,Солтүстік Қазақстан,214.0
2014,Шығыс Қазақстан,560.0
2014,Нұр-Сұлтан қаласы,2557.0
2014,Алматы қаласы,4556.0
2015,,778.0
2015,Ақмола,522.0
2015,Ақтөбе,213.0
2015,Алматы,333.0
2015,Атырау,530.0
2015,Батыс Қазақстан,370.0
2015,Жамбыл,195.0
2015,Қарағанды,616.0
2015,Қостанай,225.0
2015,Қызылорда,111.0
2015,Маңғыстау,850.0
2015,Оңтүстік Қазақстан,232.0
2015,Павлодар,337.0
2015,Солтүстік Қазақстан,158.0
2015,Шығыс Қазақстан,612.0
2015,Нұр-Сұлтан қаласы,2475.0
2015,Алматы қаласы,3823.0
2016,,695.0
2016,Ақмола,514.0
2016,Ақтөбе,200.0
2016,Алматы,261.0
2016,Атырау,442.0
2016,Батыс Қазақстан,614.0
2016,Жамбыл,180.0
2016,Қарағанды,386.0
2016,Қостанай,205.0
2016,Қызылорда,118.0
2016,Маңғыстау,892.0
2016,Оңтүстік Қазақстан,185.0
2016,Павлодар,421.0
2016,Солтүстік Қазақстан,116.0
2016,Шығыс Қазақстан,604.0
2016,Нұр-Сұлтан қаласы,2191.0
2016,Алматы қаласы,3275.0
2017,,668.0
2017,Ақмола,562.0
2017,Ақтөбе,201.0
2017,Алматы,220.0
2017,Атырау,504.0
2017,Батыс Қазақстан,324.0
2017,Жамбыл,181.0
2017,Қарағанды,490.0
2017,Қостанай,197.0
2017,Қызылорда,114.0
2017,Маңғыстау,880.0
2017,Оңтүстік Қазақстан,178.0
2017,Павлодар,337.0
2017,Солтүстік Қазақстан,76.0
2017,Шығыс Қазақстан,604.0
2017,Нұр-Сұлтан қаласы,2007.0
2017,Алматы қаласы,3099.0
2018,,668.0
2018,Ақмола,507.0
2018,Ақтөбе,191.0
2018,Алматы,254.0
2018,Атырау,605.0
2018,Батыс Қазақстан,429.0
2018,Жамбыл,191.0
2018,Қарағанды,475.0
2018,Қостанай,214.0
2018,Қызылорда,101.0
2018,Маңғыстау,854.0
2018,Павлодар,330.0
2018,Солтүстік Қазақстан,70.0
2018,Түркістан,42.0
2018,Шығыс Қазақстан,642.0
2018,Нұр-Сұлтан қаласы,1777.0
2018,Алматы қаласы,3235.0
2018,Шымкент қаласы,229.0
2019,,638.0
2019,Ақмола,537.0
2019,Ақтөбе,222.0
2019,Алматы,229.0
2019,Атырау,594.0
2019,Батыс Қазақстан,388.0
2019,Жамбыл,220.0
2019,Қарағанды,487.0
2019,Қостанай,205.0
2019,Қызылорда,76.0
2019,Маңғыстау,857.0
2019,Павлодар,458.0
2019,Солтүстік Қазақстан,71.0
2019,Түркістан,38.0
2019,Шығыс Қазақстан,581.0
2019,Нұр-Сұлтан қаласы,1688.0
2019,Алматы қаласы,2843.0
2019,Шымкент қаласы,236.0
