Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Value
2010,пайыз,,,,0.9
2010,пайыз,Ақмола,,,0.2
2010,пайыз,Ақтөбе,,,0.6
2010,пайыз,Алматы,,,1.1
2010,пайыз,Атырау,,,0.2
2010,пайыз,Батыс Қазақстан,,,1.2
2010,пайыз,Жамбыл,,,1.2
2010,пайыз,Қарағанды,,,0.8
2010,пайыз,Қостанай,,,3.3
2010,пайыз,Қызылорда,,,0.6
2010,пайыз,Маңғыстау,,,1.0
2010,пайыз,Оңтүстік Қазақстан,,,1.1
2010,пайыз,Павлодар,,,1.3
2010,пайыз,Солтүстік Қазақстан,,,0.8
2010,пайыз,Шығыс Қазақстан,,,0.2
2010,пайыз,Нұр-Сұлтан қаласы,,,0.1
2010,пайыз,Алматы қаласы,,,0.0
2010,пайыз,,,ерлер,0.9
2010,пайыз,Ақмола,,ерлер,0.3
2010,пайыз,Ақтөбе,,ерлер,0.4
2010,пайыз,Алматы,,ерлер,1.5
2010,пайыз,Атырау,,ерлер,0.2
2010,пайыз,Батыс Қазақстан,,ерлер,1.4
2010,пайыз,Жамбыл,,ерлер,1.6
2010,пайыз,Қарағанды,,ерлер,0.6
2010,пайыз,Қостанай,,ерлер,2.6
2010,пайыз,Қызылорда,,ерлер,0.7
2010,пайыз,Маңғыстау,,ерлер,0.9
2010,пайыз,Оңтүстік Қазақстан,,ерлер,1.1
2010,пайыз,Павлодар,,ерлер,1.9
2010,пайыз,Солтүстік Қазақстан,,ерлер,0.7
2010,пайыз,Шығыс Қазақстан,,ерлер,0.1
2010,пайыз,Нұр-Сұлтан қаласы,,ерлер,0.0
2010,пайыз,Алматы қаласы,,ерлер,0.0
2010,пайыз,,,әйелдер,0.8
2010,пайыз,Ақмола,,әйелдер,0.1
2010,пайыз,Ақтөбе,,әйелдер,0.7
2010,пайыз,Алматы,,әйелдер,0.6
2010,пайыз,Атырау,,әйелдер,0.2
2010,пайыз,Батыс Қазақстан,,әйелдер,1.0
2010,пайыз,Жамбыл,,әйелдер,0.9
2010,пайыз,Қарағанды,,әйелдер,1.0
2010,пайыз,Қостанай,,әйелдер,3.9
2010,пайыз,Қызылорда,,әйелдер,0.5
2010,пайыз,Маңғыстау,,әйелдер,1.1
2010,пайыз,Оңтүстік Қазақстан,,әйелдер,1.0
2010,пайыз,Павлодар,,әйелдер,0.7
2010,пайыз,Солтүстік Қазақстан,,әйелдер,0.8
2010,пайыз,Шығыс Қазақстан,,әйелдер,0.2
2010,пайыз,Нұр-Сұлтан қаласы,,әйелдер,0.2
2010,пайыз,Алматы қаласы,,әйелдер,0.1
2010,пайыз,,қала,,0.3
2010,пайыз,Ақмола,қала,,0.0
2010,пайыз,Ақтөбе,қала,,0.1
2010,пайыз,Алматы,қала,,0.1
2010,пайыз,Атырау,қала,,0.0
2010,пайыз,Батыс Қазақстан,қала,,0.0
2010,пайыз,Жамбыл,қала,,0.4
2010,пайыз,Қарағанды,қала,,0.1
2010,пайыз,Қостанай,қала,,1.3
2010,пайыз,Қызылорда,қала,,0.7
2010,пайыз,Маңғыстау,қала,,1.3
2010,пайыз,Оңтүстік Қазақстан,қала,,1.0
2010,пайыз,Павлодар,қала,,0.0
2010,пайыз,Солтүстік Қазақстан,қала,,0.0
2010,пайыз,Шығыс Қазақстан,қала,,0.1
2010,пайыз,Нұр-Сұлтан қаласы,қала,,0.1
2010,пайыз,Алматы қаласы,қала,,0.0
2010,пайыз,,ауыл,,1.5
2010,пайыз,Ақмола,ауыл,,0.3
2010,пайыз,Ақтөбе,ауыл,,1.1
2010,пайыз,Алматы,ауыл,,1.4
2010,пайыз,Атырау,ауыл,,0.3
2010,пайыз,Батыс Қазақстан,ауыл,,2.1
2010,пайыз,Жамбыл,ауыл,,1.7
2010,пайыз,Қарағанды,ауыл,,2.8
2010,пайыз,Қостанай,ауыл,,5.0
2010,пайыз,Қызылорда,ауыл,,0.5
2010,пайыз,Маңғыстау,ауыл,,0.6
2010,пайыз,Оңтүстік Қазақстан,ауыл,,1.1
2010,пайыз,Павлодар,ауыл,,3.4
2010,пайыз,Солтүстік Қазақстан,ауыл,,1.1
2010,пайыз,Түркістан,ауыл,,0.2
2011,пайыз,,,,0.8
2011,пайыз,Ақмола,,,0.2
2011,пайыз,Ақтөбе,,,0.0
2011,пайыз,Алматы,,,1.8
2011,пайыз,Атырау,,,0.0
2011,пайыз,Батыс Қазақстан,,,0.6
2011,пайыз,Жамбыл,,,1.9
2011,пайыз,Қарағанды,,,0.5
2011,пайыз,Қостанай,,,2.1
2011,пайыз,Қызылорда,,,1.0
2011,пайыз,Маңғыстау,,,0.1
2011,пайыз,Оңтүстік Қазақстан,,,0.9
2011,пайыз,Павлодар,,,1.0
2011,пайыз,Солтүстік Қазақстан,,,0.2
2011,пайыз,Шығыс Қазақстан,,,0.9
2011,пайыз,Нұр-Сұлтан қаласы,,,0.1
2011,пайыз,Алматы қаласы,,,0.0
2011,пайыз,,,ерлер,0.9
2011,пайыз,Ақмола,,ерлер,0.2
2011,пайыз,Ақтөбе,,ерлер,0.1
2011,пайыз,Алматы,,ерлер,1.9
2011,пайыз,Атырау,,ерлер,0.0
2011,пайыз,Батыс Қазақстан,,ерлер,0.7
2011,пайыз,Жамбыл,,ерлер,2.1
2011,пайыз,Қарағанды,,ерлер,0.4
2011,пайыз,Қостанай,,ерлер,1.6
2011,пайыз,Қызылорда,,ерлер,1.1
2011,пайыз,Маңғыстау,,ерлер,0.1
2011,пайыз,Оңтүстік Қазақстан,,ерлер,0.8
2011,пайыз,Павлодар,,ерлер,1.3
2011,пайыз,Солтүстік Қазақстан,,ерлер,0.2
2011,пайыз,Шығыс Қазақстан,,ерлер,1.2
2011,пайыз,Нұр-Сұлтан қаласы,,ерлер,0.0
2011,пайыз,Алматы қаласы,,ерлер,0.0
2011,пайыз,,,әйелдер,0.8
2011,пайыз,Ақмола,,әйелдер,0.1
2011,пайыз,Ақтөбе,,әйелдер,0.0
2011,пайыз,Алматы,,әйелдер,1.6
2011,пайыз,Атырау,,әйелдер,0.0
2011,пайыз,Батыс Қазақстан,,әйелдер,0.4
2011,пайыз,Жамбыл,,әйелдер,1.6
2011,пайыз,Қарағанды,,әйелдер,0.7
2011,пайыз,Қостанай,,әйелдер,2.7
2011,пайыз,Қызылорда,,әйелдер,0.8
2011,пайыз,Маңғыстау,,әйелдер,0.1
