Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн АҚШ доллары,Қазақстан-алушы,58.1
2010,млн АҚШ доллары,Данные по Казахстану как обязательства,149.9
2011,млн АҚШ доллары,Қазақстан-алушы,21.3
2011,млн АҚШ доллары,Данные по Казахстану как обязательства,189.5
2012,млн АҚШ доллары,Қазақстан-алушы,34.4
2012,млн АҚШ доллары,Данные по Казахстану как обязательства,151.7
2013,млн АҚШ доллары,Қазақстан-алушы,46.0
2013,млн АҚШ доллары,Қазақстан-донор,0.07
2013,млн АҚШ доллары,Данные по Казахстану как обязательства,135.0
2014,млн АҚШ доллары,Қазақстан-алушы,23.5
2014,млн АҚШ доллары,Қазақстан-донор,0.17
2014,млн АҚШ доллары,Данные по Казахстану как обязательства,267.1
2015,млн АҚШ доллары,Қазақстан-алушы,16.4
2015,млн АҚШ доллары,Қазақстан-донор,0.71
2015,млн АҚШ доллары,Данные по Казахстану как обязательства,286.9
2016,млн АҚШ доллары,Қазақстан-алушы,35.2
2016,млн АҚШ доллары,Қазақстан-донор,1.92
2016,млн АҚШ доллары,Данные по Казахстану как обязательства,306.6
2017,млн АҚШ доллары,Қазақстан-алушы,8.1
2017,млн АҚШ доллары,Қазақстан-донор,0.13
2017,млн АҚШ доллары,Данные по Казахстану как обязательства,169.8
2018,млн АҚШ доллары,Қазақстан-алушы,8.4
2018,млн АҚШ доллары,Қазақстан-донор,4.48
