Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,100 000 халыққа,_L_HLTH_IMBD_SUBS,350.7
2010,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,301.3
2010,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,44.3
2011,100 000 халыққа,_L_HLTH_IMBD_SUBS,330.9
2011,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,287.3
2011,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,37.1
2012,100 000 халыққа,_L_HLTH_IMBD_SUBS,311.4
2012,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,276.5
2012,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,28.4
2013,100 000 халыққа,_L_HLTH_IMBD_SUBS,278.2
2013,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,241.1
2013,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,33.0
2014,100 000 халыққа,_L_HLTH_IMBD_SUBS,241.5
2014,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,210.0
2014,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,29.7
2015,100 000 халыққа,_L_HLTH_IMBD_SUBS,216.4
2015,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,184.8
2015,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,30.7
2016,100 000 халыққа,_L_HLTH_IMBD_SUBS,156.6
2016,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,130.6
2016,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,25.1
2017,100 000 халыққа,_L_HLTH_IMBD_SUBS,109.2
2017,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,86.6
2017,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,21.8
2018,100 000 халыққа,_L_HLTH_IMBD_SUBS,99.8
2018,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,79.4
2018,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,20.1
2019,100 000 халыққа,_L_HLTH_IMBD_SUBS,85.6
2019,100 000 халыққа,Алкогольді ішу нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,69.0
2019,100 000 халыққа,Есірткі қолдану нәтижесінде психикалық және мінез-құлықтың бұзуылармен ауыру,16.2
