Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2014,1000 халыққа,_L_HLTH_NUM_DOC,3.95
2014,1000 халыққа,_L_HLTH_PRV_MEDW,7.17
2014,1000 халыққа,_L_HLTH_PRV_DENT,0.37
2014,1000 халыққа,_L_HLTH_PRV_PHMT,0.81
2015,1000 халыққа,_L_HLTH_NUM_DOC,3.95
2015,1000 халыққа,_L_HLTH_PRV_MEDW,7.22
2015,1000 халыққа,_L_HLTH_PRV_DENT,0.36
2015,1000 халыққа,_L_HLTH_PRV_PHMT,0.81
2016,1000 халыққа,_L_HLTH_NUM_DOC,4.16
2016,1000 халыққа,_L_HLTH_PRV_MEDW,7.28
2016,1000 халыққа,_L_HLTH_PRV_DENT,0.42
2016,1000 халыққа,_L_HLTH_PRV_PHMT,0.69
2017,1000 халыққа,_L_HLTH_NUM_DOC,3.97
2017,1000 халыққа,_L_HLTH_PRV_MEDW,7.56
2017,1000 халыққа,_L_HLTH_PRV_DENT,0.37
2017,1000 халыққа,_L_HLTH_PRV_PHMT,0.49
2018,1000 халыққа,_L_HLTH_NUM_DOC,3.04
2018,1000 халыққа,_L_HLTH_PRV_MEDW,7.47
2018,1000 халыққа,_L_HLTH_PRV_DENT,0.24
2018,1000 халыққа,_L_HLTH_PRV_PHMT,0.46
2019,1000 халыққа,_L_HLTH_NUM_DOC,3.7
2019,1000 халыққа,_L_HLTH_PRV_MEDW,9.7
2019,1000 халыққа,_L_HLTH_PRV_DENT,0.4
2019,1000 халыққа,_L_HLTH_PRV_PHMT,0.3
