Year,UNIT_MEASURE,Өңірлер,Value
2010,өткен жылға пайызбен,,109.1
2011,өткен жылға пайызбен,,112.1
2011,өткен жылға пайызбен,Ақмола,111.5
2011,өткен жылға пайызбен,Ақтөбе,107.7
2011,өткен жылға пайызбен,Алматы,124.8
2011,өткен жылға пайызбен,Атырау,99.1
2011,өткен жылға пайызбен,Батыс Қазақстан,100.0
2011,өткен жылға пайызбен,Жамбыл,127.3
2011,өткен жылға пайызбен,Қарағанды,110.0
2011,өткен жылға пайызбен,Қостанай,97.2
2011,өткен жылға пайызбен,Қызылорда,100.0
2011,өткен жылға пайызбен,Маңғыстау,66.8
2011,өткен жылға пайызбен,Оңтүстік Қазақстан,121.5
2011,өткен жылға пайызбен,Павлодар,98.3
2011,өткен жылға пайызбен,Солтүстік Қазақстан,112.9
2011,өткен жылға пайызбен,Шығыс Қазақстан,120.7
2011,өткен жылға пайызбен,Нұр-Сұлтан қаласы,300.9
2011,өткен жылға пайызбен,Алматы қаласы,120.0
2012,өткен жылға пайызбен,,102.8
2012,өткен жылға пайызбен,Ақмола,103.7
2012,өткен жылға пайызбен,Ақтөбе,100.0
2012,өткен жылға пайызбен,Алматы,100.0
2012,өткен жылға пайызбен,Атырау,63.5
2012,өткен жылға пайызбен,Батыс Қазақстан,98.0
2012,өткен жылға пайызбен,Жамбыл,94.3
2012,өткен жылға пайызбен,Қарағанды,100.0
2012,өткен жылға пайызбен,Қостанай,100.0
2012,өткен жылға пайызбен,Қызылорда,132.4
2012,өткен жылға пайызбен,Маңғыстау,100.0
2012,өткен жылға пайызбен,Оңтүстік Қазақстан,104.2
2012,өткен жылға пайызбен,Павлодар,104.8
2012,өткен жылға пайызбен,Солтүстік Қазақстан,94.5
2012,өткен жылға пайызбен,Шығыс Қазақстан,120.7
2012,өткен жылға пайызбен,Нұр-Сұлтан қаласы,100.0
2012,өткен жылға пайызбен,Алматы қаласы,103.4
2013,өткен жылға пайызбен,,102.1
2013,өткен жылға пайызбен,Ақмола,97.6
2013,өткен жылға пайызбен,Ақтөбе,101.9
2013,өткен жылға пайызбен,Алматы,104.5
2013,өткен жылға пайызбен,Атырау,93.1
2013,өткен жылға пайызбен,Батыс Қазақстан,108.3
2013,өткен жылға пайызбен,Жамбыл,139.5
2013,өткен жылға пайызбен,Қарағанды,102.8
2013,өткен жылға пайызбен,Қостанай,107.9
2013,өткен жылға пайызбен,Қызылорда,151.4
2013,өткен жылға пайызбен,Маңғыстау,127.1
2013,өткен жылға пайызбен,Оңтүстік Қазақстан,88.8
2013,өткен жылға пайызбен,Павлодар,100.0
2013,өткен жылға пайызбен,Солтүстік Қазақстан,101.6
2013,өткен жылға пайызбен,Шығыс Қазақстан,105.4
2013,өткен жылға пайызбен,Нұр-Сұлтан қаласы,97.8
2013,өткен жылға пайызбен,Алматы қаласы,94.9
2014,өткен жылға пайызбен,,103.8
2014,өткен жылға пайызбен,Ақмола,113.2
2014,өткен жылға пайызбен,Ақтөбе,93.0
2014,өткен жылға пайызбен,Алматы,87.1
2014,өткен жылға пайызбен,Атырау,159.2
2014,өткен жылға пайызбен,Батыс Қазақстан,89.2
2014,өткен жылға пайызбен,Жамбыл,116.4
2014,өткен жылға пайызбен,Қарағанды,116.5
2014,өткен жылға пайызбен,Қостанай,114.1
2014,өткен жылға пайызбен,Қызылорда,87.2
2014,өткен жылға пайызбен,Маңғыстау,113.5
2014,өткен жылға пайызбен,Оңтүстік Қазақстан,69.0
2014,өткен жылға пайызбен,Павлодар,94.1
2014,өткен жылға пайызбен,Солтүстік Қазақстан,105.2
2014,өткен жылға пайызбен,Шығыс Қазақстан,100.2
2014,өткен жылға пайызбен,Нұр-Сұлтан қаласы,102.1
2014,өткен жылға пайызбен,Алматы қаласы,122.3
2015,өткен жылға пайызбен,,97.3
2015,өткен жылға пайызбен,Ақмола,107.8
2015,өткен жылға пайызбен,Ақтөбе,99.7
2015,өткен жылға пайызбен,Алматы,97.2
2015,өткен жылға пайызбен,Атырау,70.8
2015,өткен жылға пайызбен,Батыс Қазақстан,76.4
2015,өткен жылға пайызбен,Жамбыл,89.3
2015,өткен жылға пайызбен,Қарағанды,112.6
2015,өткен жылға пайызбен,Қостанай,87.8
2015,өткен жылға пайызбен,Қызылорда,107.5
2015,өткен жылға пайызбен,Маңғыстау,69.3
2015,өткен жылға пайызбен,Оңтүстік Қазақстан,128.6
2015,өткен жылға пайызбен,Павлодар,98.1
2015,өткен жылға пайызбен,Солтүстік Қазақстан,97.6
2015,өткен жылға пайызбен,Шығыс Қазақстан,89.7
2015,өткен жылға пайызбен,Нұр-Сұлтан қаласы,67.3
2015,өткен жылға пайызбен,Алматы қаласы,77.8
2016,өткен жылға пайызбен,,99.0
2016,өткен жылға пайызбен,Ақмола,98.4
2016,өткен жылға пайызбен,Ақтөбе,101.4
2016,өткен жылға пайызбен,Алматы,93.7
2016,өткен жылға пайызбен,Атырау,125.3
2016,өткен жылға пайызбен,Батыс Қазақстан,87.3
2016,өткен жылға пайызбен,Жамбыл,90.3
2016,өткен жылға пайызбен,Қарағанды,112.0
2016,өткен жылға пайызбен,Қостанай,104.4
2016,өткен жылға пайызбен,Қызылорда,90.7
2016,өткен жылға пайызбен,Маңғыстау,100.5
2016,өткен жылға пайызбен,Оңтүстік Қазақстан,107.1
2016,өткен жылға пайызбен,Павлодар,97.6
2016,өткен жылға пайызбен,Солтүстік Қазақстан,89.1
2016,өткен жылға пайызбен,Шығыс Қазақстан,95.8
2016,өткен жылға пайызбен,Нұр-Сұлтан қаласы,100.5
2016,өткен жылға пайызбен,Алматы қаласы,101.0
