Year,UNIT_MEASURE,Өңірлер,Аймақ,Жынысы,Value
2010,100 000 халыққа,,,,0.78
2010,100 000 халыққа,Ақмола,,,0.14
2010,100 000 халыққа,Ақтөбе,,,0.39
2010,100 000 халыққа,Алматы,,,0.97
2010,100 000 халыққа,Атырау,,,0.19
2010,100 000 халыққа,Батыс Қазақстан,,,0.16
2010,100 000 халыққа,Жамбыл,,,0.48
2010,100 000 халыққа,Қарағанды,,,0.67
2010,100 000 халыққа,Қостанай,,,0.23
2010,100 000 халыққа,Қызылорда,,,2.45
2010,100 000 халыққа,Маңғыстау,,,0.39
2010,100 000 халыққа,Оңтүстік Қазақстан,,,1.97
2010,100 000 халыққа,Павлодар,,,0.4
2010,100 000 халыққа,Солтүстік Қазақстан,,,0.17
2010,100 000 халыққа,Шығыс Қазақстан,,,0.57
2010,100 000 халыққа,Нұр-Сұлтан қаласы,,,0.45
2010,100 000 халыққа,Алматы қаласы,,,0.21
2010,100 000 халыққа,,қала,,0.63
2010,100 000 халыққа,Ақмола,қала,,0.0
2010,100 000 халыққа,Ақтөбе,қала,,0.42
2010,100 000 халыққа,Алматы,қала,,0.23
2010,100 000 халыққа,Атырау,қала,,0.4
2010,100 000 халыққа,Батыс Қазақстан,қала,,0.0
2010,100 000 халыққа,Жамбыл,қала,,0.47
2010,100 000 халыққа,Қарағанды,қала,,0.57
2010,100 000 халыққа,Қостанай,қала,,0.0
2010,100 000 халыққа,Қызылорда,қала,,1.02
2010,100 000 халыққа,Маңғыстау,қала,,0.73
2010,100 000 халыққа,Оңтүстік Қазақстан,қала,,2.5
2010,100 000 халыққа,Павлодар,қала,,0.39
2010,100 000 халыққа,Солтүстік Қазақстан,қала,,0.0
2010,100 000 халыққа,Шығыс Қазақстан,қала,,0.74
2010,100 000 халыққа,Нұр-Сұлтан қаласы,қала,,0.45
2010,100 000 халыққа,Алматы қаласы,қала,,0.21
2010,100 000 халыққа,,ауыл,,0.96
2010,100 000 халыққа,Ақмола,ауыл,,0.26
2010,100 000 халыққа,Ақтөбе,ауыл,,0.33
2010,100 000 халыққа,Алматы,ауыл,,1.2
2010,100 000 халыққа,Атырау,ауыл,,0.0
2010,100 000 халыққа,Батыс Қазақстан,ауыл,,0.31
2010,100 000 халыққа,Жамбыл,ауыл,,0.48
2010,100 000 халыққа,Қарағанды,ауыл,,1.01
2010,100 000 халыққа,Қостанай,ауыл,,0.45
2010,100 000 халыққа,Қызылорда,ауыл,,3.49
2010,100 000 халыққа,Маңғыстау,ауыл,,0.0
2010,100 000 халыққа,Оңтүстік Қазақстан,ауыл,,1.62
2010,100 000 халыққа,Павлодар,ауыл,,0.43
2010,100 000 халыққа,Солтүстік Қазақстан,ауыл,,0.28
2010,100 000 халыққа,Шығыс Қазақстан,ауыл,,0.34
2010,100 000 халыққа,,,ерлер,0.92
2010,100 000 халыққа,Ақмола,,ерлер,0.28
2010,100 000 халыққа,Ақтөбе,,ерлер,0.54
2010,100 000 халыққа,Алматы,,ерлер,0.88
2010,100 000 халыққа,Атырау,,ерлер,0.0
2010,100 000 халыққа,Батыс Қазақстан,,ерлер,0.0
2010,100 000 халыққа,Жамбыл,,ерлер,0.59
2010,100 000 халыққа,Қарағанды,,ерлер,1.1
2010,100 000 халыққа,Қостанай,,ерлер,0.24
2010,100 000 халыққа,Қызылорда,,ерлер,2.31
2010,100 000 халыққа,Маңғыстау,,ерлер,0.39
2010,100 000 халыққа,Оңтүстік Қазақстан,,ерлер,2.23
2010,100 000 халыққа,Павлодар,,ерлер,0.57
2010,100 000 халыққа,Солтүстік Қазақстан,,ерлер,0.36
2010,100 000 халыққа,Шығыс Қазақстан,,ерлер,1.05
2010,100 000 халыққа,Нұр-Сұлтан қаласы,,ерлер,0.31
2010,100 000 халыққа,Алматы қаласы,,ерлер,0.31
2010,100 000 халыққа,,қала,ерлер,0.86
2010,100 000 халыққа,Ақмола,қала,ерлер,0.0
2010,100 000 халыққа,Ақтөбе,қала,ерлер,0.45
2010,100 000 халыққа,Алматы,қала,ерлер,0.0
2010,100 000 халыққа,Атырау,қала,ерлер,0.0
2010,100 000 халыққа,Батыс Қазақстан,қала,ерлер,0.0
2010,100 000 халыққа,Жамбыл,қала,ерлер,0.5
2010,100 000 халыққа,Қарағанды,қала,ерлер,1.23
2010,100 000 халыққа,Қостанай,қала,ерлер,0.0
2010,100 000 халыққа,Қызылорда,қала,ерлер,2.11
2010,100 000 халыққа,Маңғыстау,қала,ерлер,0.76
2010,100 000 халыққа,Оңтүстік Қазақстан,қала,ерлер,3.13
2010,100 000 халыққа,Павлодар,қала,ерлер,0.43
2010,100 000 халыққа,Солтүстік Қазақстан,қала,ерлер,0.0
2010,100 000 халыққа,Шығыс Қазақстан,қала,ерлер,1.35
2010,100 000 халыққа,Нұр-Сұлтан қаласы,қала,ерлер,0.31
2010,100 000 халыққа,Алматы қаласы,қала,ерлер,0.31
2010,100 000 халыққа,,ауыл,ерлер,0.97
2010,100 000 халыққа,Ақмола,ауыл,ерлер,0.52
2010,100 000 халыққа,Ақтөбе,ауыл,ерлер,0.67
2010,100 000 халыққа,Алматы,ауыл,ерлер,1.14
2010,100 000 халыққа,Атырау,ауыл,ерлер,0.0
2010,100 000 халыққа,Батыс Қазақстан,ауыл,ерлер,0.0
2010,100 000 халыққа,Жамбыл,ауыл,ерлер,0.65
2010,100 000 халыққа,Қарағанды,ауыл,ерлер,0.67
2010,100 000 халыққа,Қостанай,ауыл,ерлер,0.47
2010,100 000 халыққа,Қызылорда,ауыл,ерлер,2.45
2010,100 000 халыққа,Маңғыстау,ауыл,ерлер,0.0
2010,100 000 халыққа,Оңтүстік Қазақстан,ауыл,ерлер,1.68
2010,100 000 халыққа,Павлодар,ауыл,ерлер,0.86
2010,100 000 халыққа,Солтүстік Қазақстан,ауыл,ерлер,0.58
2010,100 000 халыққа,Шығыс Қазақстан,ауыл,ерлер,0.68
2010,100 000 халыққа,,,әйелдер,0.65
2010,100 000 халыққа,Ақмола,,әйелдер,0.0
2010,100 000 халыққа,Ақтөбе,,әйелдер,0.25
2010,100 000 халыққа,Алматы,,әйелдер,1.06
2010,100 000 халыққа,Атырау,,әйелдер,0.37
2010,100 000 халыққа,Батыс Қазақстан,,әйелдер,0.32
2010,100 000 халыққа,Жамбыл,,әйелдер,0.37
2010,100 000 халыққа,Қарағанды,,әйелдер,0.28
2010,100 000 халыққа,Қостанай,,әйелдер,0.21
2010,100 000 халыққа,Қызылорда,,әйелдер,2.58
2010,100 000 халыққа,Маңғыстау,,әйелдер,0.39
2010,100 000 халыққа,Оңтүстік Қазақстан,,әйелдер,1.71
2010,100 000 халыққа,Павлодар,,әйелдер,0.25
2010,100 000 халыққа,Солтүстік Қазақстан,,әйелдер,0.0
2010,100 000 халыққа,Шығыс Қазақстан,,әйелдер,0.14
2010,100 000 халыққа,Нұр-Сұлтан қаласы,,әйелдер,0.58
2010,100 000 халыққа,Алматы қаласы,,әйелдер,0.13
2010,100 000 халыққа,,қала,әйелдер,0.42
2010,100 000 халыққа,Ақмола,қала,әйелдер,0.0
2010,100 000 халыққа,Ақтөбе,қала,әйелдер,0.4
2010,100 000 халыққа,Алматы,қала,әйелдер,0.44
2010,100 000 халыққа,Атырау,қала,әйелдер,0.76
2010,100 000 халыққа,Батыс Қазақстан,қала,әйелдер,0.0
2010,100 000 халыққа,Жамбыл,қала,әйелдер,0.45
2010,100 000 халыққа,Қарағанды,қала,әйелдер,0.0
2010,100 000 халыққа,Қостанай,қала,әйелдер,0.0
2010,100 000 халыққа,Қызылорда,қала,әйелдер,0.0
2010,100 000 халыққа,Маңғыстау,қала,әйелдер,0.71
2010,100 000 халыққа,Оңтүстік Қазақстан,қала,әйелдер,1.93
2010,100 000 халыққа,Павлодар,қала,әйелдер,0.36
2010,100 000 халыққа,Солтүстік Қазақстан,қала,әйелдер,0.0
2010,100 000 халыққа,Шығыс Қазақстан,қала,әйелдер,0.23
2010,100 000 халыққа,Нұр-Сұлтан қаласы,қала,әйелдер,0.58
2010,100 000 халыққа,Алматы қаласы,қала,әйелдер,0.13
2010,100 000 халыққа,,ауыл,әйелдер,0.94
2010,100 000 халыққа,Ақмола,ауыл,әйелдер,0.0
2010,100 000 халыққа,Ақтөбе,ауыл,әйелдер,0.0
2010,100 000 халыққа,Алматы,ауыл,әйелдер,1.26
2010,100 000 халыққа,Атырау,ауыл,әйелдер,0.0
2010,100 000 халыққа,Батыс Қазақстан,ауыл,әйелдер,0.63
2010,100 000 халыққа,Жамбыл,ауыл,әйелдер,0.32
2010,100 000 халыққа,Қарағанды,ауыл,әйелдер,1.35
2010,100 000 халыққа,Қостанай,ауыл,әйелдер,0.44
2010,100 000 халыққа,Қызылорда,ауыл,әйелдер,4.55
2010,100 000 халыққа,Маңғыстау,ауыл,әйелдер,0.0
2010,100 000 халыққа,Оңтүстік Қазақстан,ауыл,әйелдер,1.57
2010,100 000 халыққа,Павлодар,ауыл,әйелдер,0.0
2010,100 000 халыққа,Солтүстік Қазақстан,ауыл,әйелдер,0.0
2010,100 000 халыққа,Шығыс Қазақстан,ауыл,әйелдер,0.0
2011,100 000 халыққа,,,,1.08
2011,100 000 халыққа,Ақмола,,,0.27
2011,100 000 халыққа,Ақтөбе,,,0.38
2011,100 000 халыққа,Алматы,,,2.49
2011,100 000 халыққа,Атырау,,,0.37
2011,100 000 халыққа,Батыс Қазақстан,,,0.16
2011,100 000 халыққа,Жамбыл,,,1.43
2011,100 000 халыққа,Қарағанды,,,0.89
2011,100 000 халыққа,Қостанай,,,0.0
2011,100 000 халыққа,Қызылорда,,,1.84
2011,100 000 халыққа,Маңғыстау,,,0.75
2011,100 000 халыққа,Оңтүстік Қазақстан,,,1.31
2011,100 000 халыққа,Павлодар,,,0.27
2011,100 000 халыққа,Солтүстік Қазақстан,,,0.34
2011,100 000 халыққа,Шығыс Қазақстан,,,2.72
2011,100 000 халыққа,Нұр-Сұлтан қаласы,,,0.14
2011,100 000 халыққа,Алматы қаласы,,,0.14
2011,100 000 халыққа,,қала,,1.07
2011,100 000 халыққа,Ақмола,қала,,0.29
2011,100 000 халыққа,Ақтөбе,қала,,0.62
2011,100 000 халыққа,Алматы,қала,,5.21
2011,100 000 халыққа,Атырау,қала,,0.39
2011,100 000 халыққа,Батыс Қазақстан,қала,,0.0
2011,100 000 халыққа,Жамбыл,қала,,1.66
2011,100 000 халыққа,Қарағанды,қала,,0.57
2011,100 000 халыққа,Қостанай,қала,,0.0
2011,100 000 халыққа,Қызылорда,қала,,1.0
2011,100 000 халыққа,Маңғыстау,қала,,0.36
2011,100 000 халыққа,Оңтүстік Қазақстан,қала,,2.66
2011,100 000 халыққа,Павлодар,қала,,0.39
2011,100 000 халыққа,Солтүстік Қазақстан,қала,,0.0
2011,100 000 халыққа,Шығыс Қазақстан,қала,,2.47
2011,100 000 халыққа,Нұр-Сұлтан қаласы,қала,,0.14
2011,100 000 халыққа,Алматы қаласы,қала,,0.14
2011,100 000 халыққа,,ауыл,,1.08
2011,100 000 халыққа,Ақмола,ауыл,,0.26
2011,100 000 халыққа,Ақтөбе,ауыл,,0.0
2011,100 000 халыққа,Алматы,ауыл,,1.66
2011,100 000 халыққа,Атырау,ауыл,,0.36
2011,100 000 халыққа,Батыс Қазақстан,ауыл,,0.32
