Year,UNIT_MEASURE,Регионы,Местность,Пол,Value
2010,на 100 000 населения,,,,7.14
2010,на 100 000 населения,Акмолинская,,,11.3
2010,на 100 000 населения,Актюбинская,,,4.15
2010,на 100 000 населения,Алматинская,,,6.96
2010,на 100 000 населения,Атырауская,,,2.66
2010,на 100 000 населения,Западно-Казахстанская,,,6.6
2010,на 100 000 населения,Жымбылская,,,4.04
2010,на 100 000 населения,Карагандинская,,,13.41
2010,на 100 000 населения,Костанайская,,,11.33
2010,на 100 000 населения,Кызылординская,,,1.87
2010,на 100 000 населения,Мангистауская,,,1.36
2010,на 100 000 населения,Южно-Казахстанская,,,2.76
2010,на 100 000 населения,Павлодарская,,,13.82
2010,на 100 000 населения,Северо-Казахстанская,,,2.03
2010,на 100 000 населения,Восточно-Казахстанская,,,10.16
2010,на 100 000 населения,г_Нур-Султан,,,10.7
2010,на 100 000 населения,г_Алматы,,,8.99
2010,на 100 000 населения,,Город,,8.68
2010,на 100 000 населения,Акмолинская,Город,,11.97
2010,на 100 000 населения,Актюбинская,Город,,3.18
2010,на 100 000 населения,Алматинская,Город,,9.42
2010,на 100 000 населения,Атырауская,Город,,2.79
2010,на 100 000 населения,Западно-Казахстанская,Город,,7.67
2010,на 100 000 населения,Жымбылская,Город,,5.93
2010,на 100 000 населения,Карагандинская,Город,,15.4
2010,на 100 000 населения,Костанайская,Город,,10.17
2010,на 100 000 населения,Кызылординская,Город,,1.02
2010,на 100 000 населения,Мангистауская,Город,,1.47
2010,на 100 000 населения,Южно-Казахстанская,Город,,4.51
2010,на 100 000 населения,Павлодарская,Город,,12.15
2010,на 100 000 населения,Северо-Казахстанская,Город,,2.52
2010,на 100 000 населения,Восточно-Казахстанская,Город,,11.9
2010,на 100 000 населения,г_Нур-Султан,Город,,10.7
2010,на 100 000 населения,г_Алматы,Город,,8.99
2010,на 100 000 населения,,сельское население,,5.31
2010,на 100 000 населения,Акмолинская,сельское население,,10.72
2010,на 100 000 населения,Актюбинская,сельское население,,5.69
2010,на 100 000 населения,Алматинская,сельское население,,6.2
2010,на 100 000 населения,Атырауская,сельское население,,2.54
2010,на 100 000 населения,Западно-Казахстанская,сельское население,,5.64
2010,на 100 000 населения,Жымбылская,сельское население,,2.75
2010,на 100 000 населения,Карагандинская,сельское население,,6.38
2010,на 100 000 населения,Костанайская,сельское население,,12.49
2010,на 100 000 населения,Кызылординская,сельское население,,2.49
2010,на 100 000 населения,Мангистауская,сельское население,,1.24
2010,на 100 000 населения,Южно-Казахстанская,сельское население,,1.62
2010,на 100 000 населения,Павлодарская,сельское население,,17.45
2010,на 100 000 населения,Северо-Казахстанская,сельское население,,1.7
2010,на 100 000 населения,Восточно-Казахстанская,сельское население,,7.77
2010,на 100 000 населения,,,мужчины,10.58
2010,на 100 000 населения,Акмолинская,,мужчины,16.68
2010,на 100 000 населения,Актюбинская,,мужчины,5.12
2010,на 100 000 населения,Алматинская,,мужчины,10.11
2010,на 100 000 населения,Атырауская,,мужчины,4.66
2010,на 100 000 населения,Западно-Казахстанская,,мужчины,9.24
2010,на 100 000 населения,Жымбылская,,мужчины,5.92
2010,на 100 000 населения,Карагандинская,,мужчины,21.34
2010,на 100 000 населения,Костанайская,,мужчины,16.34
2010,на 100 000 населения,Кызылординская,,мужчины,2.02
2010,на 100 000 населения,Мангистауская,,мужчины,1.97
2010,на 100 000 населения,Южно-Казахстанская,,мужчины,3.83
2010,на 100 000 населения,Павлодарская,,мужчины,21.96
2010,на 100 000 населения,Северо-Казахстанская,,мужчины,2.49
2010,на 100 000 населения,Восточно-Казахстанская,,мужчины,14.31
2010,на 100 000 населения,г_Нур-Султан,,мужчины,16.78
2010,на 100 000 населения,г_Алматы,,мужчины,14.79
2010,на 100 000 населения,,Город,мужчины,13.32
2010,на 100 000 населения,Акмолинская,Город,мужчины,16.9
2010,на 100 000 населения,Актюбинская,Город,мужчины,4.06
2010,на 100 000 населения,Алматинская,Город,мужчины,12.6
2010,на 100 000 населения,Атырауская,Город,мужчины,5.02
2010,на 100 000 населения,Западно-Казахстанская,Город,мужчины,10.53
2010,на 100 000 населения,Жымбылская,Город,мужчины,8.07
2010,на 100 000 населения,Карагандинская,Город,мужчины,25.39
2010,на 100 000 населения,Костанайская,Город,мужчины,14.87
2010,на 100 000 населения,Кызылординская,Город,мужчины,1.4
2010,на 100 000 населения,Мангистауская,Город,мужчины,1.51
2010,на 100 000 населения,Южно-Казахстанская,Город,мужчины,7.09
2010,на 100 000 населения,Павлодарская,Город,мужчины,20.89
2010,на 100 000 населения,Северо-Казахстанская,Город,мужчины,4.64
2010,на 100 000 населения,Восточно-Казахстанская,Город,мужчины,16.48
2010,на 100 000 населения,г_Нур-Султан,Город,мужчины,16.78
2010,на 100 000 населения,г_Алматы,Город,мужчины,14.79
2010,на 100 000 населения,,сельское население,мужчины,7.48
2010,на 100 000 населения,Акмолинская,сельское население,мужчины,16.49
2010,на 100 000 населения,Актюбинская,сельское население,мужчины,6.71
2010,на 100 000 населения,Алматинская,сельское население,мужчины,9.38
2010,на 100 000 населения,Атырауская,сельское население,мужчины,4.34
2010,на 100 000 населения,Западно-Казахстанская,сельское население,мужчины,8.16
2010,на 100 000 населения,Жымбылская,сельское население,мужчины,4.53
2010,на 100 000 населения,Карагандинская,сельское население,мужчины,8.05
2010,на 100 000 населения,Костанайская,сельское население,мужчины,17.72
2010,на 100 000 населения,Кызылординская,сельское население,мужчины,2.45
