Year,UNIT_MEASURE,Регионы,Value
2015,процент,,30.0
2016,процент,,35.0
2017,процент,,39.9
2018,процент,,54.0
2017,процент,Акмолинская,55.0
2018,процент,Акмолинская,56.2
2017,процент,Актюбинская,53.4
2018,процент,Актюбинская,54.8
2017,процент,Алматинская,12.8
2018,процент,Алматинская,33.6
2017,процент,Атырауская,13.5
2018,процент,Атырауская,52.7
2017,процент,Западно-Казахстанская,30.5
2018,процент,Западно-Казахстанская,72.3
2017,процент,Жымбылская,12.9
2018,процент,Жымбылская,65.8
2017,процент,Карагандинская,50.7
2018,процент,Карагандинская,51.1
2017,процент,Костанайская,33.5
2018,процент,Костанайская,52.8
2017,процент,Кызылординская,25.0
2018,процент,Кызылординская,17.1
2017,процент,Мангистауская,30.9
2018,процент,Мангистауская,39.9
2017,процент,Южно-Казахстанская,55.2
2018,процент,Южно-Казахстанская,62.5
2017,процент,Павлодарская,66.5
2017,процент,Северо-Казахстанская,23.6
2018,процент,Северо-Казахстанская,57.4
2018,процент,Туркестанская,79.2
2017,процент,Восточно-Казахстанская,53.2
2018,процент,Восточно-Казахстанская,77.6
2017,процент,г_Нур-Султан,44.3
2018,процент,г_Нур-Султан,36.8
2017,процент,г_Алматы,36.4
2018,процент,г_Алматы,49.3
2018,процент,г_Шымкент,46.7
