Year,UNIT_MEASURE,Регионы,Value
2010,процент,,14.9
2010,процент,Акмолинская,25.0
2010,процент,Актюбинская,0.0
2010,процент,Алматинская,0.0
2010,процент,Атырауская,100.0
2010,процент,Западно-Казахстанская,11.11
2010,процент,Жымбылская,0.0
2010,процент,Карагандинская,0.0
2010,процент,Костанайская,0.0
2010,процент,Кызылординская,0.0
2010,процент,Мангистауская,100.0
2010,процент,Южно-Казахстанская,16.6
2010,процент,Павлодарская,100.0
2010,процент,Северо-Казахстанская,0.0
2010,процент,Восточно-Казахстанская,35.7
2011,процент,,17.8
2011,процент,Акмолинская,0.0
2011,процент,Актюбинская,0.0
2011,процент,Алматинская,5.88
2011,процент,Атырауская,100.0
2011,процент,Западно-Казахстанская,11.11
2011,процент,Жымбылская,11.11
2011,процент,Карагандинская,14.28
2011,процент,Костанайская,0.0
2011,процент,Кызылординская,0.0
2011,процент,Мангистауская,0.0
2011,процент,Южно-Казахстанская,16.6
2011,процент,Павлодарская,100.0
2011,процент,Северо-Казахстанская,100.0
2011,процент,Восточно-Казахстанская,30.76
2012,процент,,21.5
2012,процент,Акмолинская,0.0
2012,процент,Актюбинская,0.0
2012,процент,Алматинская,26.31
2012,процент,Атырауская,100.0
2012,процент,Западно-Казахстанская,55.55
2012,процент,Жымбылская,10.0
2012,процент,Карагандинская,0.0
2012,процент,Костанайская,0.0
2012,процент,Кызылординская,0.0
2012,процент,Мангистауская,0.0
2012,процент,Южно-Казахстанская,28.57
2012,процент,Павлодарская,100.0
2012,процент,Северо-Казахстанская,100.0
2012,процент,Восточно-Казахстанская,28.58
2013,процент,,23.0
2013,процент,Акмолинская,0.0
2013,процент,Актюбинская,0.0
2013,процент,Алматинская,63.15
2013,процент,Атырауская,100.0
2013,процент,Западно-Казахстанская,22.22
2013,процент,Жымбылская,10.0
2013,процент,Карагандинская,0.0
2013,процент,Костанайская,0.0
2013,процент,Кызылординская,0.0
2013,процент,Мангистауская,0.0
2013,процент,Южно-Казахстанская,28.57
2013,процент,Павлодарская,100.0
2013,процент,Северо-Казахстанская,0.0
2013,процент,Восточно-Казахстанская,23.07
2014,процент,,16.22
2014,процент,Акмолинская,0.0
2014,процент,Актюбинская,0.0
2014,процент,Алматинская,36.84
2014,процент,Атырауская,80.0
2014,процент,Западно-Казахстанская,0.0
2014,процент,Жымбылская,10.0
2014,процент,Карагандинская,0.0
2014,процент,Костанайская,0.0
2014,процент,Кызылординская,0.0
2014,процент,Мангистауская,0.0
2014,процент,Южно-Казахстанская,28.57
2014,процент,Павлодарская,100.0
2014,процент,Северо-Казахстанская,0.0
2014,процент,Восточно-Казахстанская,28.57
2015,процент,,9.3
2015,процент,Акмолинская,0.0
2015,процент,Актюбинская,0.0
2015,процент,Алматинская,10.52
2015,процент,Атырауская,100.0
2015,процент,Западно-Казахстанская,0.0
2015,процент,Жымбылская,0.0
2015,процент,Карагандинская,0.0
2015,процент,Костанайская,0.0
2015,процент,Кызылординская,0.0
2015,процент,Мангистауская,100.0
2015,процент,Южно-Казахстанская,28.57
2015,процент,Павлодарская,0.0
2015,процент,Северо-Казахстанская,0.0
2015,процент,Восточно-Казахстанская,7.69
2016,процент,,7.41
2016,процент,Акмолинская,0.0
2016,процент,Актюбинская,0.0
2016,процент,Алматинская,6.06
2016,процент,Атырауская,100.0
2016,процент,Западно-Казахстанская,11.11
2016,процент,Жымбылская,0.0
2016,процент,Карагандинская,0.0
2016,процент,Костанайская,0.0
2016,процент,Кызылординская,0.0
2016,процент,Мангистауская,100.0
2016,процент,Южно-Казахстанская,14.28
2016,процент,Павлодарская,0.0
2016,процент,Северо-Казахстанская,0.0
2016,процент,Восточно-Казахстанская,7.69
2017,процент,,4.38
2017,процент,Акмолинская,0.0
2017,процент,Актюбинская,0.0
2017,процент,Алматинская,0.0
2017,процент,Атырауская,80.0
2017,процент,Западно-Казахстанская,0.0
2017,процент,Жымбылская,0.0
2017,процент,Карагандинская,0.0
2017,процент,Костанайская,0.0
2017,процент,Кызылординская,0.0
2017,процент,Мангистауская,100.0
2017,процент,Южно-Казахстанская,14.28
2017,процент,Павлодарская,0.0
2017,процент,Северо-Казахстанская,0.0
2017,процент,Восточно-Казахстанская,7.69
2018,процент,,3.6
2018,процент,Акмолинская,0.0
2018,процент,Актюбинская,0.0
2018,процент,Алматинская,0.0
2018,процент,Атырауская,80.0
2018,процент,Западно-Казахстанская,0.0
2018,процент,Жымбылская,0.0
2018,процент,Карагандинская,0.0
2018,процент,Костанайская,0.0
2018,процент,Кызылординская,0.0
2018,процент,Мангистауская,100.0
2018,процент,Павлодарская,0.0
2018,процент,Северо-Казахстанская,0.0
2018,процент,Туркестанская,12.5
2018,процент,Восточно-Казахстанская,0.0
2019,процент,,24.66
2019,процент,Акмолинская,8.33
2019,процент,Актюбинская,0.0
2019,процент,Алматинская,66.67
2019,процент,Атырауская,0.0
2019,процент,Западно-Казахстанская,11.11
2019,процент,Жымбылская,0.0
2019,процент,Карагандинская,0.0
2019,процент,Костанайская,0.0
2019,процент,Кызылординская,0.0
2019,процент,Мангистауская,0.0
2019,процент,Павлодарская,40.0
2019,процент,Северо-Казахстанская,0.0
2019,процент,Туркестанская,25.0
2019,процент,Восточно-Казахстанская,57.14
