Year,UNIT_MEASURE,Регионы,Местность,Пол,Value
2010,на 100 000 населения,,,,20.71
2010,на 100 000 населения,Акмолинская,,,19.75
2010,на 100 000 населения,Актюбинская,,,14.66
2010,на 100 000 населения,Алматинская,,,24.64
2010,на 100 000 населения,Атырауская,,,3.8
2010,на 100 000 населения,Западно-Казахстанская,,,14.35
2010,на 100 000 населения,Жымбылская,,,31.43
2010,на 100 000 населения,Карагандинская,,,20.3
2010,на 100 000 населения,Костанайская,,,11.67
2010,на 100 000 населения,Кызылординская,,,20.72655200853243
2010,на 100 000 населения,Мангистауская,,,21.8
2010,на 100 000 населения,Южно-Казахстанская,,,32.41
2010,на 100 000 населения,Павлодарская,,,16.23
2010,на 100 000 населения,Северо-Казахстанская,,,17.59
2010,на 100 000 населения,Восточно-Казахстанская,,,17.95
2010,на 100 000 населения,г_Нур-Султан,,,14.41
2010,на 100 000 населения,г_Алматы,,,14.48
2010,на 100 000 населения,,Город,,18.58
2010,на 100 000 населения,Акмолинская,Город,,20.74
2010,на 100 000 населения,Актюбинская,Город,,13.57
2010,на 100 000 населения,Алматинская,Город,,26.43
2010,на 100 000 населения,Атырауская,Город,,4.79
2010,на 100 000 населения,Западно-Казахстанская,Город,,12.9
2010,на 100 000 населения,Жымбылская,Город,,30.6
2010,на 100 000 населения,Карагандинская,Город,,19.58
2010,на 100 000 населения,Костанайская,Город,,10.17
2010,на 100 000 населения,Кызылординская,Город,,17.4
2010,на 100 000 населения,Мангистауская,Город,,23.11
2010,на 100 000 населения,Южно-Казахстанская,Город,,32.86
2010,на 100 000 населения,Павлодарская,Город,,13.32
2010,на 100 000 населения,Северо-Казахстанская,Город,,15.52
2010,на 100 000 населения,Восточно-Казахстанская,Город,,15.75
2010,на 100 000 населения,г_Нур-Султан,Город,,14.41
2010,на 100 000 населения,г_Алматы,Город,,14.48
2010,на 100 000 населения,,сельское население,,23.27
2010,на 100 000 населения,Акмолинская,сельское население,,18.89
2010,на 100 000 населения,Актюбинская,сельское население,,16.4
2010,на 100 000 населения,Алматинская,сельское население,,24.09
2010,на 100 000 населения,Атырауская,сельское население,,2.9
2010,на 100 000 населения,Западно-Казахстанская,сельское население,,15.66
2010,на 100 000 населения,Жымбылская,сельское население,,31.99
2010,на 100 000 населения,Карагандинская,сельское население,,22.85
2010,на 100 000 населения,Костанайская,сельское население,,13.17
2010,на 100 000 населения,Кызылординская,сельское население,,23.15
2010,на 100 000 населения,Мангистауская,сельское население,,20.33
2010,на 100 000 населения,Южно-Казахстанская,сельское население,,32.12
2010,на 100 000 населения,Павлодарская,сельское население,,22.56
2010,на 100 000 населения,Северо-Казахстанская,сельское население,,19.0
2010,на 100 000 населения,Восточно-Казахстанская,сельское население,,20.96
