Year,UNIT_MEASURE,Местность,Регионы,Value
2010,процент,Город,,82.0
2010,процент,сельское население,,60.0
2011,процент,Город,,82.0
2011,процент,сельское население,,42.5
2012,процент,Город,,84.0
2012,процент,сельское население,,43.0
2013,процент,Город,,85.0
2013,процент,сельское население,,47.7
2014,процент,Город,,86.0
2014,процент,сельское население,,50.3
2014,процент,Город,Акмолинская,81.3
2014,процент,сельское население,Акмолинская,57.5
2014,процент,Город,Актюбинская,96.9
2014,процент,сельское население,Актюбинская,39.5
2014,процент,Город,Алматинская,79.8
2014,процент,сельское население,Алматинская,70.4
2014,процент,Город,Атырауская,96.2
2014,процент,сельское население,Атырауская,64.3
2014,процент,Город,Западно-Казахстанская,87.0
2014,процент,сельское население,Западно-Казахстанская,36.5
2014,процент,Город,Жымбылская,74.7
2014,процент,сельское население,Жымбылская,56.9
2014,процент,Город,Карагандинская,79.5
2014,процент,сельское население,Карагандинская,51.5
2014,процент,Город,Костанайская,89.1
2014,процент,сельское население,Костанайская,27.5
2014,процент,Город,Кызылординская,77.1
2014,процент,сельское население,Кызылординская,70.9
2014,процент,Город,Мангистауская,88.9
2014,процент,сельское население,Мангистауская,47.1
2014,процент,Город,Южно-Казахстанская,81.2
2014,процент,сельское население,Южно-Казахстанская,72.9
2014,процент,Город,Павлодарская,83.3
2014,процент,сельское население,Павлодарская,20.4
2014,процент,Город,Северо-Казахстанская,93.1
2014,процент,сельское население,Северо-Казахстанская,48.1
2014,процент,Город,Восточно-Казахстанская,88.6
2014,процент,сельское население,Восточно-Казахстанская,40.3
2014,процент,,г_Нур-Султан,88.1
2014,процент,,г_Алматы,91.2
2015,процент,Город,,87.0
2015,процент,сельское население,,51.5
2015,процент,Город,Акмолинская,82.2
2015,процент,сельское население,Акмолинская,57.7
2015,процент,Город,Актюбинская,97.1
2015,процент,сельское население,Актюбинская,42.0
2015,процент,Город,Алматинская,80.9
2015,процент,сельское население,Алматинская,71.2
2015,процент,Город,Атырауская,94.0
2015,процент,сельское население,Атырауская,75.0
2015,процент,Город,Западно-Казахстанская,88.1
2015,процент,сельское население,Западно-Казахстанская,36.1
2015,процент,Город,Жымбылская,76.2
2015,процент,сельское население,Жымбылская,59.1
2015,процент,Город,Карагандинская,81.3
2015,процент,сельское население,Карагандинская,52.5
2015,процент,Город,Костанайская,91.5
2015,процент,сельское население,Костанайская,27.3
2015,процент,Город,Кызылординская,78.4
2015,процент,сельское население,Кызылординская,70.1
2015,процент,Город,Мангистауская,91.1
2015,процент,сельское население,Мангистауская,46.1
2015,процент,Город,Южно-Казахстанская,82.0
2015,процент,сельское население,Южно-Казахстанская,69.8
2015,процент,Город,Павлодарская,84.1
2015,процент,сельское население,Павлодарская,19.2
2015,процент,Город,Северо-Казахстанская,94.5
2015,процент,сельское население,Северо-Казахстанская,53.9
2015,процент,Город,Восточно-Казахстанская,89.3
