Year,UNIT_MEASURE,Регионы,Value
2010,процент,,0.1534083148247186
2010,процент,Акмолинская,0.1
2010,процент,Актюбинская,0.05
2010,процент,Алматинская,0.07
2010,процент,Атырауская,0.08
2010,процент,Западно-Казахстанская,0.02
2010,процент,Жымбылская,0.27
2010,процент,Карагандинская,0.05
2010,процент,Костанайская,0.03
2010,процент,Кызылординская,0.01
2010,процент,Мангистауская,0.21
2010,процент,Южно-Казахстанская,0.04
2010,процент,Павлодарская,0.02
2010,процент,Северо-Казахстанская,0.02
2010,процент,Восточно-Казахстанская,0.41
2010,процент,г_Нур-Султан,0.25
2010,процент,г_Алматы,0.34
2011,процент,,0.15
2011,процент,Акмолинская,0.06
2011,процент,Актюбинская,0.04
2011,процент,Алматинская,0.08
2011,процент,Атырауская,0.08
2011,процент,Западно-Казахстанская,0.03
2011,процент,Жымбылская,0.03
2011,процент,Карагандинская,0.06
2011,процент,Костанайская,0.02
2011,процент,Кызылординская,0.01
2011,процент,Мангистауская,0.28
2011,процент,Южно-Казахстанская,0.03
2011,процент,Павлодарская,0.03
2011,процент,Северо-Казахстанская,0.02
2011,процент,Восточно-Казахстанская,0.26
2011,процент,г_Нур-Султан,0.43
2011,процент,г_Алматы,0.34
2012,процент,,0.17
2012,процент,Акмолинская,0.08
2012,процент,Актюбинская,0.04
2012,процент,Алматинская,0.06
2012,процент,Атырауская,0.1
2012,процент,Западно-Казахстанская,0.03
2012,процент,Жымбылская,0.2
2012,процент,Карагандинская,0.12
2012,процент,Костанайская,0.03
2012,процент,Кызылординская,0.02
2012,процент,Мангистауская,0.29
2012,процент,Южно-Казахстанская,0.05
2012,процент,Павлодарская,0.03
2012,процент,Северо-Казахстанская,0.03
2012,процент,Восточно-Казахстанская,0.22
2012,процент,г_Нур-Султан,0.39
2012,процент,г_Алматы,0.33
2013,процент,,0.17
2013,процент,Акмолинская,0.08
2013,процент,Актюбинская,0.03
2013,процент,Алматинская,0.06
2013,процент,Атырауская,0.05
2013,процент,Западно-Казахстанская,0.0514447291814105
2013,процент,Жымбылская,0.12
2013,процент,Карагандинская,0.13
2013,процент,Костанайская,0.03
2013,процент,Кызылординская,0.01
2013,процент,Мангистауская,0.25
