Year,UNIT_MEASURE,Местность,Value
2010,на 100 000 населения,,95.3
2010,на 100 000 населения,Город,107.3
2010,на 100 000 населения,сельское население,81.1
2011,на 100 000 населения,,86.6
2011,на 100 000 населения,Город,97.1
2011,на 100 000 населения,сельское население,74.0
2012,на 100 000 населения,,81.7
2012,на 100 000 населения,Город,91.0
2012,на 100 000 населения,сельское население,70.4
2013,на 100 000 населения,,73.4
2013,на 100 000 населения,Город,85.9
2013,на 100 000 населения,сельское население,61.2
2014,на 100 000 населения,,66.4
2014,на 100 000 населения,Город,78.6
2014,на 100 000 населения,сельское население,50.6
2015,на 100 000 населения,,58.5
2015,на 100 000 населения,Город,63.2
2015,на 100 000 населения,сельское население,52.1
2016,на 100 000 населения,,52.7
2016,на 100 000 населения,Город,55.6
2016,на 100 000 населения,сельское население,48.9
2017,на 100 000 населения,,52.2
2017,на 100 000 населения,Город,54.4
2017,на 100 000 населения,сельское население,49.2
2018,на 100 000 населения,,48.2
2018,на 100 000 населения,Город,50.22440672301683
2018,на 100 000 населения,сельское население,45.31521836735146
2019,на 100 000 населения,,45.6
2019,на 100 000 населения,Город,47.7
2019,на 100 000 населения,сельское население,42.6
