Year,UNIT_MEASURE,Местность,Регионы,Value
2010,процент,,,99.4
2010,процент,,Акмолинская,99.7
2010,процент,,Актюбинская,99.7
2010,процент,,Алматинская,99.8
2010,процент,,Атырауская,99.5
2010,процент,,Западно-Казахстанская,99.4
2010,процент,,Жымбылская,99.3
2010,процент,,Карагандинская,99.5
2010,процент,,Костанайская,99.3
2010,процент,,Кызылординская,99.7
2010,процент,,Мангистауская,99.5
2010,процент,,Южно-Казахстанская,98.8
2010,процент,,Павлодарская,99.6
2010,процент,,Северо-Казахстанская,99.5
2010,процент,,Восточно-Казахстанская,99.2
2010,процент,,г_Нур-Султан,99.3
2010,процент,,г_Алматы,99.7
2010,процент,Город,,99.8
2010,процент,Город,Акмолинская,100.0
2010,процент,Город,Актюбинская,100.0
2010,процент,Город,Алматинская,100.0
2010,процент,Город,Атырауская,100.0
2010,процент,Город,Западно-Казахстанская,99.7
2010,процент,Город,Жымбылская,99.7
2010,процент,Город,Карагандинская,99.8
2010,процент,Город,Костанайская,99.6
2010,процент,Город,Кызылординская,100.0
2010,процент,Город,Мангистауская,99.8
2010,процент,Город,Южно-Казахстанская,99.6
2010,процент,Город,Павлодарская,99.9
2010,процент,Город,Северо-Казахстанская,99.8
2010,процент,Город,Восточно-Казахстанская,99.8
2010,процент,Город,г_Нур-Султан,99.7
2010,процент,Город,г_Алматы,100.0
2010,процент,сельское население,,99.7
2010,процент,сельское население,Акмолинская,99.9
2010,процент,сельское население,Актюбинская,99.9
2010,процент,сельское население,Алматинская,100.0
2010,процент,сельское население,Атырауская,99.7
2010,процент,сельское население,Западно-Казахстанская,99.8
2010,процент,сельское население,Жымбылская,99.6
2010,процент,сельское население,Карагандинская,99.4
2010,процент,сельское население,Костанайская,99.9
2010,процент,сельское население,Кызылординская,99.8
2010,процент,сельское население,Мангистауская,100.0
2010,процент,сельское население,Южно-Казахстанская,99.6
2010,процент,сельское население,Павлодарская,99.9
2010,процент,сельское население,Северо-Казахстанская,99.9
2010,процент,сельское население,Восточно-Казахстанская,99.1
2011,процент,,,99.9
2011,процент,,Акмолинская,99.9
2011,процент,,Актюбинская,100.0
2011,процент,,Алматинская,100.0
2011,процент,,Атырауская,100.0
2011,процент,,Западно-Казахстанская,99.9
2011,процент,,Жымбылская,99.8
2011,процент,,Карагандинская,99.8
2011,процент,,Костанайская,99.9
2011,процент,,Кызылординская,99.9
2011,процент,,Мангистауская,99.8
2011,процент,,Южно-Казахстанская,99.8
2011,процент,,Павлодарская,99.8
2011,процент,,Северо-Казахстанская,99.9
2011,процент,,Восточно-Казахстанская,99.8
2011,процент,,г_Нур-Султан,99.6
2011,процент,,г_Алматы,99.9
2011,процент,Город,,99.9
2011,процент,Город,Акмолинская,100.0
2011,процент,Город,Актюбинская,100.0
2011,процент,Город,Алматинская,100.0
2011,процент,Город,Атырауская,100.0
2011,процент,Город,Западно-Казахстанская,99.9
2011,процент,Город,Жымбылская,100.0
2011,процент,Город,Карагандинская,99.9
2011,процент,Город,Костанайская,99.9
2011,процент,Город,Кызылординская,99.9
2011,процент,Город,Мангистауская,99.8
2011,процент,Город,Южно-Казахстанская,99.6
2011,процент,Город,Павлодарская,99.8
2011,процент,Город,Северо-Казахстанская,100.0
2011,процент,Город,Восточно-Казахстанская,100.0
2011,процент,Город,г_Нур-Султан,99.6
2011,процент,Город,г_Алматы,99.9
2011,процент,сельское население,,99.8
2011,процент,сельское население,Акмолинская,99.9
2011,процент,сельское население,Актюбинская,99.9
2011,процент,сельское население,Алматинская,100.0
2011,процент,сельское население,Атырауская,100.0
2011,процент,сельское население,Западно-Казахстанская,100.0
2011,процент,сельское население,Жымбылская,99.6
2011,процент,сельское население,Карагандинская,99.1
2011,процент,сельское население,Костанайская,99.9
2011,процент,сельское население,Кызылординская,100.0
2011,процент,сельское население,Мангистауская,99.7
2011,процент,сельское население,Южно-Казахстанская,99.9
2011,процент,сельское население,Павлодарская,99.6
2011,процент,сельское население,Северо-Казахстанская,99.9
2011,процент,сельское население,Восточно-Казахстанская,98.9
2012,процент,,,99.8
2012,процент,,Акмолинская,99.9
2012,процент,,Актюбинская,100.0
2012,процент,,Алматинская,100.0
2012,процент,,Атырауская,99.9
2012,процент,,Западно-Казахстанская,99.8
2012,процент,,Жымбылская,99.9
2012,процент,,Карагандинская,99.9
2012,процент,,Костанайская,99.9
2012,процент,,Кызылординская,99.8
2012,процент,,Мангистауская,99.8
2012,процент,,Южно-Казахстанская,99.7
2012,процент,,Павлодарская,99.8
2012,процент,,Северо-Казахстанская,99.9
2012,процент,,Восточно-Казахстанская,99.8
2012,процент,,г_Нур-Султан,99.6
2012,процент,,г_Алматы,99.8
2012,процент,Город,,99.9
2012,процент,Город,Акмолинская,100.0
2012,процент,Город,Актюбинская,100.0
2012,процент,Город,Алматинская,100.0
2012,процент,Город,Атырауская,99.9
2012,процент,Город,Западно-Казахстанская,99.8
2012,процент,Город,Жымбылская,100.0
2012,процент,Город,Карагандинская,99.9
2012,процент,Город,Костанайская,100.0
2012,процент,Город,Кызылординская,99.9
2012,процент,Город,Мангистауская,99.8
2012,процент,Город,Южно-Казахстанская,100.0
2012,процент,Город,Павлодарская,99.9
2012,процент,Город,Северо-Казахстанская,99.9
2012,процент,Город,Восточно-Казахстанская,99.8
2012,процент,Город,г_Нур-Султан,99.6
2012,процент,сельское население,,99.5
2012,процент,сельское население,Акмолинская,99.9
2012,процент,сельское население,Актюбинская,99.9
2012,процент,сельское население,Алматинская,100.0
2012,процент,сельское население,Атырауская,99.7
2012,процент,сельское население,Западно-Казахстанская,99.7
2012,процент,сельское население,Жымбылская,99.7
2012,процент,сельское население,Карагандинская,99.5
