Year,UNIT_MEASURE,SERIES,Возраст,Местность,Пол,Регионы,Value
2010,процент,умеренная и сильная степень отклонения от нормы,,,,,13.1
2010,процент,умеренная и сильная степень отклонения от нормы,,,мужчины,,13.2
2010,процент,умеренная и сильная степень отклонения от нормы,,,женщины,,13.0
2010,процент,умеренная и сильная степень отклонения от нормы,,Город,,,12.8
2010,процент,умеренная и сильная степень отклонения от нормы,,сельское население,,,13.4
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Акмолинская,8.1
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Актюбинская,36.2
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Алматинская,10.8
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Атырауская,18.4
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Западно-Казахстанская,9.8
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Жымбылская,16.2
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Карагандинская,4.8
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Костанайская,12.7
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Кызылординская,7.1
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Мангистауская,10.2
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Южно-Казахстанская,12.1
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Павлодарская,8.9
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Северо-Казахстанская,10.6
2010,процент,умеренная и сильная степень отклонения от нормы,,,,Восточно-Казахстанская,16.6
2010,процент,умеренная и сильная степень отклонения от нормы,,,,г_Нур-Султан,19.7
2010,процент,умеренная и сильная степень отклонения от нормы,,,,г_Алматы,17.1
2010,процент,умеренная и сильная степень отклонения от нормы,0-5 месяцев,,,,10.7
2010,процент,умеренная и сильная степень отклонения от нормы,6-11 месяцев,,,,13.8
2010,процент,умеренная и сильная степень отклонения от нормы,12-23 месяцев,,,,18.6
2010,процент,умеренная и сильная степень отклонения от нормы,24-35 месяцев,,,,14.4
2010,процент,умеренная и сильная степень отклонения от нормы,36-47 месяцев,,,,11.6
2010,процент,умеренная и сильная степень отклонения от нормы,48-59 месяцев,,,,8.1
2010,процент,сильная степень отклонения от нормы,,,,,5.4
2010,процент,сильная степень отклонения от нормы,,,мужчины,,5.5
2010,процент,сильная степень отклонения от нормы,,,женщины,,5.3
2010,процент,сильная степень отклонения от нормы,,Город,,,5.7
2010,процент,сильная степень отклонения от нормы,,сельское население,,,5.1
2010,процент,сильная степень отклонения от нормы,,,,Акмолинская,2.8
2010,процент,сильная степень отклонения от нормы,,,,Актюбинская,19.7
2010,процент,сильная степень отклонения от нормы,,,,Алматинская,4.2
2010,процент,сильная степень отклонения от нормы,,,,Атырауская,11.1
2010,процент,сильная степень отклонения от нормы,,,,Западно-Казахстанская,1.1
2010,процент,сильная степень отклонения от нормы,,,,Жымбылская,3.7
2010,процент,сильная степень отклонения от нормы,,,,Карагандинская,1.5
2010,процент,сильная степень отклонения от нормы,,,,Костанайская,5.0
2010,процент,сильная степень отклонения от нормы,,,,Кызылординская,1.8
2010,процент,сильная степень отклонения от нормы,,,,Мангистауская,4.2
2010,процент,сильная степень отклонения от нормы,,,,Южно-Казахстанская,5.8
2010,процент,сильная степень отклонения от нормы,,,,Павлодарская,2.5
2010,процент,сильная степень отклонения от нормы,,,,Северо-Казахстанская,2.3
2010,процент,сильная степень отклонения от нормы,,,,Восточно-Казахстанская,7.2
2010,процент,сильная степень отклонения от нормы,,,,г_Нур-Султан,10.1
2010,процент,сильная степень отклонения от нормы,,,,г_Алматы,7.1
2010,процент,сильная степень отклонения от нормы,0-5 месяцев,,,,3.7
2010,процент,сильная степень отклонения от нормы,6-11 месяцев,,,,6.6
2010,процент,сильная степень отклонения от нормы,12-23 месяцев,,,,8.1
2010,процент,сильная степень отклонения от нормы,24-35 месяцев,,,,6.5
2010,процент,сильная степень отклонения от нормы,36-47 месяцев,,,,5.3
2010,процент,сильная степень отклонения от нормы,48-59 месяцев,,,,1.7
2015,процент,умеренная и сильная степень отклонения от нормы,,,,,8.0
