Year,UNIT_MEASURE,SERIES,Value
2010,процент,развивающихся стран,10.9
2010,процент,наименее развитых стран,9.2
2011,процент,развивающихся стран,11.1
2011,процент,наименее развитых стран,9.2
2012,процент,развивающихся стран,11.3
2012,процент,наименее развитых стран,9.4
2013,процент,развивающихся стран,10.2
2013,процент,наименее развитых стран,8.4
2014,процент,развивающихся стран,8.7
2014,процент,наименее развитых стран,7.3
2015,процент,развивающихся стран,8.7
2015,процент,наименее развитых стран,7.2
2016,процент,развивающихся стран,8.4
2016,процент,наименее развитых стран,6.9
2017,процент,развивающихся стран,6.7
2017,процент,наименее развитых стран,5.4
2018,процент,развивающихся стран,53.0
2018,процент,наименее развитых стран,39.0
2019,процент,развивающихся стран,64.0
2019,процент,наименее развитых стран,40.0
