Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2011,процент,,102000
2011,процент,Уральская популяция,17900
2011,процент,Устюртская популяция,6100
2011,процент,Бетпакдалинская популяция,78000
2012,процент,,137500
2012,процент,Уральская популяция,20900
2012,процент,Устюртская популяция,6500
2012,процент,Бетпакдалинская популяция,110100
2013,процент,,187000
2013,процент,Уральская популяция,26400
2013,процент,Устюртская популяция,5400
2013,процент,Бетпакдалинская популяция,155200
2014,процент,,256700
2014,процент,Уральская популяция,39000
2014,процент,Устюртская популяция,1700
2014,процент,Бетпакдалинская популяция,216000
2015,процент,,295470
2015,процент,Уральская популяция,51700
2015,процент,Устюртская популяция,1270
2015,процент,Бетпакдалинская популяция,242000
2016,процент,,108300
2016,процент,Уральская популяция,70200
2016,процент,Устюртская популяция,1900
2016,процент,Бетпакдалинская популяция,26200
2017,процент,,152600
2017,процент,Уральская популяция,98200
2017,процент,Устюртская популяция,2700
2017,процент,Бетпакдалинская популяция,51700
2018,процент,,215100
2018,процент,Уральская популяция,135000
2018,процент,Устюртская популяция,3700
2018,процент,Бетпакдалинская популяция,76400
2019,процент,,334400
2019,процент,Уральская популяция,217000
2019,процент,Устюртская популяция,5900
2019,процент,Бетпакдалинская популяция,111500
