Year,UNIT_MEASURE,Местность,Регионы,Value
2018,процент,Город,,68.7
2018,процент,сельское население,,8.6
2019,процент,Город,,70.5
2019,процент,сельское население,,8.8
2019,процент,Город,Акмолинская,72.1
2019,процент,сельское население,Акмолинская,14.7
2019,процент,Город,Актюбинская,95.3
2019,процент,сельское население,Актюбинская,6.6
2019,процент,Город,Алматинская,95.1
2019,процент,сельское население,Алматинская,6.3
2019,процент,Город,Атырауская,37.2
2019,процент,сельское население,Атырауская,9.5
2019,процент,Город,Западно-Казахстанская,91.2
2019,процент,сельское население,Западно-Казахстанская,0.0
2019,процент,Город,Жымбылская,0.0
2019,процент,сельское население,Жымбылская,0.0
2019,процент,Город,Карагандинская,66.0
2019,процент,сельское население,Карагандинская,20.9
2019,процент,Город,Костанайская,100.0
2019,процент,сельское население,Костанайская,17.1
2019,процент,Город,Кызылординская,48.9
2019,процент,сельское население,Кызылординская,0.4
2019,процент,Город,Мангистауская,93.1
2019,процент,сельское население,Мангистауская,3.8
2019,процент,Город,Павлодарская,87.0
2019,процент,сельское население,Павлодарская,5.3
2019,процент,Город,Северо-Казахстанская,84.0
2019,процент,сельское население,Северо-Казахстанская,0.61
2019,процент,Город,Туркестанская,25.7
2019,процент,сельское население,Туркестанская,9.4
2019,процент,Город,Восточно-Казахстанская,72.0
2019,процент,сельское население,Восточно-Казахстанская,30.1
2019,процент,,г_Нур-Султан,91.0
2019,процент,,г_Алматы,80.0
2019,процент,,г_Шымкент,60.7
