Year,UNIT_MEASURE,Регионы,Value
2016,процент,,66.4
2017,процент,,68.6
2018,процент,,80.0
2019,процент,,85.1
2019,процент,Акмолинская,97.0
2019,процент,Актюбинская,90.0
2019,процент,Алматинская,76.7
2019,процент,Атырауская,89.6
2019,процент,Западно-Казахстанская,91.4
2019,процент,Жымбылская,91.5
2019,процент,Карагандинская,82.6
2019,процент,Костанайская,89.7
2019,процент,Кызылординская,89.2
2019,процент,Мангистауская,66.2
2019,процент,Павлодарская,85.0
2019,процент,Северо-Казахстанская,89.2
2019,процент,Туркестанская,89.9
2019,процент,Восточно-Казахстанская,96.7
2019,процент,г_Нур-Султан,84.1
2019,процент,г_Алматы,89.0
2019,процент,г_Шымкент,77.3
