Year,Value,SERIES,UNIT_MEASURE
2010,0.48,SL_EMP_INJUR,PER_1000_employees
2010,0.08,SL_EMP_FTLINJUR,PER_1000_employees
2011,0.47,SL_EMP_INJUR,PER_1000_employees
2011,0.07,SL_EMP_FTLINJUR,PER_1000_employees
2012,0.45,SL_EMP_INJUR,PER_1000_employees
2012,0.06,SL_EMP_FTLINJUR,PER_1000_employees
2013,0.42,SL_EMP_INJUR,PER_1000_employees
2013,0.06,SL_EMP_FTLINJUR,PER_1000_employees
2014,0.39,SL_EMP_INJUR,PER_1000_employees
2014,0.06,SL_EMP_FTLINJUR,PER_1000_employees
2015,0.33,SL_EMP_INJUR,PER_1000_employees
2015,0.05,SL_EMP_FTLINJUR,PER_1000_employees
2016,0.32,SL_EMP_INJUR,PER_1000_employees
2016,0.05,SL_EMP_FTLINJUR,PER_1000_employees
2017,0.29,SL_EMP_INJUR,PER_1000_employees
2017,0.04,SL_EMP_FTLINJUR,PER_1000_employees
2018,0.25,SL_EMP_INJUR,PER_1000_employees
2018,0.03,SL_EMP_FTLINJUR,PER_1000_employees
2019,0.21,SL_EMP_INJUR,PER_1000_employees
2019,0.029,SL_EMP_FTLINJUR,PER_1000_employees
