Year,Value,SERIES,UNIT_MEASURE
2010,4598.0,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2010,16.5,Number of Beneficiaries: (unemployment benefits),thousand people
2010,1702.9,государственная базовая пенсионная выплата,thousand people
2010,1677.2,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2010,194.5,Number of Beneficiaries: (low-income individuals and households),thousand people
2011,545.0,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2011,17.4,Number of Beneficiaries: (unemployment benefits),thousand people
2011,1740.0,государственная базовая пенсионная выплата,thousand people
2011,1713.0,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2011,139.3,Number of Beneficiaries: (low-income individuals and households),thousand people
2012,529.1,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2012,14.4,Number of Beneficiaries: (unemployment benefits),thousand people
2012,1780.8,государственная базовая пенсионная выплата,thousand people
2012,1753.2,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2012,97.3,Number of Beneficiaries: (low-income individuals and households),thousand people
2013,551.0,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2013,18.8,Number of Beneficiaries: (unemployment benefits),thousand people
2013,1840.5,государственная базовая пенсионная выплата,thousand people
2013,1810.5,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2013,60.7,Number of Beneficiaries: (low-income individuals and households),thousand people
2014,591.3,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2014,18.3,Number of Beneficiaries: (unemployment benefits),thousand people
2014,1914.8,государственная базовая пенсионная выплата,thousand people
2014,1883.3,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2014,56.1,Number of Beneficiaries: (low-income individuals and households),thousand people
2015,541.4,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2015,26.1,Number of Beneficiaries: (unemployment benefits),thousand people
2015,1977.6,государственная базовая пенсионная выплата,thousand people
2015,1943.4,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2015,38.2,Number of Beneficiaries: (low-income individuals and households),thousand people
2016,581.5,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2016,32.9,Number of Beneficiaries: (unemployment benefits),thousand people
2016,2040.9,государственная базовая пенсионная выплата,thousand people
2016,2013.3,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2016,28.8,Number of Beneficiaries: (low-income individuals and households),thousand people
2017,538.5,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2017,35.8,Number of Beneficiaries: (unemployment benefits),thousand people
2017,2112.8,государственная базовая пенсионная выплата,thousand people
2017,2095.0,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2017,23.3,Number of Beneficiaries: (low-income individuals and households),thousand people
2018,520.5,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2018,47.7,Number of Beneficiaries: (unemployment benefits),thousand people
2018,2154.0,государственная базовая пенсионная выплата,thousand people
2018,2152.3,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2018,571.6,Number of Beneficiaries: (low-income individuals and households),thousand people
2019,538.5,Number of Beneficiaries: (social benefits related to newborns and child care of infants less than 1 year old),thousand people
2019,63.9,Number of Beneficiaries: (unemployment benefits),thousand people
2019,2179.6,государственная базовая пенсионная выплата,thousand people
2019,2196.2,пенсионные выплаты по возрасту и за выслугу лет,thousand people
2019,2177.2,Number of Beneficiaries: (low-income individuals and households),thousand people
