Year,Value,SERIES,UNIT_MEASURE
2010,17.8,Local Representative Bodies (Maslikhats),Percent
2011,17.8,Local Representative Bodies (Maslikhats),Percent
2011,16.94,National Parliament (Mazhilis),Percent
2012,23.8,Local Representative Bodies (Maslikhats),Percent
2012,17.0,National Parliament (Mazhilis),Percent
2013,26.2,Local Representative Bodies (Maslikhats),Percent
2013,18.17,National Parliament (Mazhilis),Percent
2014,26.2,Local Representative Bodies (Maslikhats),Percent
2014,18.41,National Parliament (Mazhilis),Percent
2015,26.7,Local Representative Bodies (Maslikhats),Percent
2015,18.8,National Parliament (Mazhilis),Percent
2016,27.6,Local Representative Bodies (Maslikhats),Percent
2016,22.158920539730133,National Parliament (Mazhilis),Percent
2017,27.4,Local Representative Bodies (Maslikhats),Percent
2017,22.09895052473763,National Parliament (Mazhilis),Percent
2018,27.4,Local Representative Bodies (Maslikhats),Percent
2018,22.19,National Parliament (Mazhilis),Percent
2019,27.4,Local Representative Bodies (Maslikhats),Percent
2019,22.2,National Parliament (Mazhilis),Percent
