Year,Value,SERIES,UNIT_MEASURE
2010,148.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2010,0.906,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2010,54.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2010,0.33,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2011,12.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2011,0.07,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2011,5.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2011,0.03,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2012,20.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2012,0.119,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2012,15.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2012,0.089,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2013,12.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2013,0.07,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2013,3.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2013,0.0176,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2014,19.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2014,0.109,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2014,9.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2014,0.52,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2015,8.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2015,0.045,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2015,0.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2015,0.0,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2016,8.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2016,0.045,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2016,1.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2016,0.005,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2017,35.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2017,0.194,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2017,11.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2017,0.061,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2018,8.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2018,0.044,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2018,1.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2018,0.005,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2019,9.0,"Number of injured or ill people attributed to disasters [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2019,0.048,"Number of directly affected persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2019,2.0,"Number of deaths due to disaster [1.5.1, 11.5.1, 13.1.1]",Number of individuals
2019,0.011,"Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]",Number of individuals
