Year,Value,SERIES,UNIT_MEASURE
2010,0.48,Work injury rate,per 1000 workers
2010,0.08,Fatal occupational injuries,per 1000 workers
2011,0.47,Work injury rate,per 1000 workers
2011,0.07,Fatal occupational injuries,per 1000 workers
2012,0.45,Work injury rate,per 1000 workers
2012,0.06,Fatal occupational injuries,per 1000 workers
2013,0.42,Work injury rate,per 1000 workers
2013,0.06,Fatal occupational injuries,per 1000 workers
2014,0.39,Work injury rate,per 1000 workers
2014,0.06,Fatal occupational injuries,per 1000 workers
2015,0.33,Work injury rate,per 1000 workers
2015,0.05,Fatal occupational injuries,per 1000 workers
2016,0.32,Work injury rate,per 1000 workers
2016,0.05,Fatal occupational injuries,per 1000 workers
2017,0.29,Work injury rate,per 1000 workers
2017,0.04,Fatal occupational injuries,per 1000 workers
2018,0.25,Work injury rate,per 1000 workers
2018,0.03,Fatal occupational injuries,per 1000 workers
2019,0.21,Work injury rate,per 1000 workers
2019,0.029,Fatal occupational injuries,per 1000 workers
