Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,Value
2010,PER_100000_POP,,,,22.26
2010,PER_100000_POP,KZAKM,,,44.13
2010,PER_100000_POP,KZAKT,,,18.56
2010,PER_100000_POP,KZALM,,,21.52
2010,PER_100000_POP,KZATY,,,17.66
2010,PER_100000_POP,KZZAP,,,28.54
2010,PER_100000_POP,KZZHA,,,17.4
2010,PER_100000_POP,KZKAR,,,33.57
2010,PER_100000_POP,KZKUS,,,38.19
2010,PER_100000_POP,KZKZY,,,8.64
2010,PER_100000_POP,KZMAN,,,13.24
2010,PER_100000_POP,KZONT,,,11.46
2010,PER_100000_POP,KZPAV,,,27.1
2010,PER_100000_POP,KZSEV,,,26.22
2010,PER_100000_POP,KZVOS,,,40.41
2010,PER_100000_POP,KZNS,,,12.18
2010,PER_100000_POP,KZALA,,,7.63
2010,PER_100000_POP,,U,,19.38
2010,PER_100000_POP,KZAKM,U,,39.43
2010,PER_100000_POP,KZAKT,U,,15.05
2010,PER_100000_POP,KZALM,U,,22.07
2010,PER_100000_POP,KZATY,U,,9.97
2010,PER_100000_POP,KZZAP,U,,24.75
2010,PER_100000_POP,KZZHA,U,,16.13
2010,PER_100000_POP,KZKAR,U,,31.09
2010,PER_100000_POP,KZKUS,U,,26.23
2010,PER_100000_POP,KZKZY,U,,6.48
2010,PER_100000_POP,KZMAN,U,,11.0
2010,PER_100000_POP,KZONT,U,,11.02
2010,PER_100000_POP,KZPAV,U,,23.91
2010,PER_100000_POP,KZSEV,U,,26.42
2010,PER_100000_POP,KZVOS,U,,34.97
2010,PER_100000_POP,KZNS,U,,12.18
2010,PER_100000_POP,KZALA,U,,7.63
2010,PER_100000_POP,,R,,25.71
2010,PER_100000_POP,KZAKM,R,,48.24
2010,PER_100000_POP,KZAKT,R,,24.1
2010,PER_100000_POP,KZALM,R,,21.35
2010,PER_100000_POP,KZATY,R,,24.66
2010,PER_100000_POP,KZZAP,R,,31.95
2010,PER_100000_POP,KZZHA,R,,18.26
2010,PER_100000_POP,KZKAR,R,,42.34
2010,PER_100000_POP,KZKUS,R,,50.2
2010,PER_100000_POP,KZKZY,R,,10.21
2010,PER_100000_POP,KZMAN,R,,15.76
