Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,AGE,REF_AREA,Value
2015,PT,SKILL_ICTCMFL,Y15T24,,13.22816217108324
2015,PT,SKILL_ICTCPT,Y15T24,,19.461043106059417
2015,PT,SKILL_ICTATCH,Y15T24,,45.17932106932099
2015,PT,SKILL_ICTSSHT,Y15T24,,37.20976806718313
2015,PT,SKILL_ICTCDV,Y15T24,,13.228123878752696
2015,PT,SKILL_ICTSFWR,Y15T24,,14.749631340587689
2015,PT,SKILL_ICTPST,Y15T24,,19.964893591357267
2015,PT,SKILL_ICTTRFF,Y15T24,,19.546090372197625
2015,PT,SKILL_ICTPRGM,Y15T24,,3.4932178538757004
2015,PT,SKILL_ICTCMFL,Y15T24,KZAKM,21.673480244505537
2015,PT,SKILL_ICTCPT,Y15T24,KZAKM,20.51214460553568
2015,PT,SKILL_ICTATCH,Y15T24,KZAKM,46.05064959517981
2015,PT,SKILL_ICTSSHT,Y15T24,KZAKM,50.31444172472227
2015,PT,SKILL_ICTCDV,Y15T24,KZAKM,30.390698550178875
2015,PT,SKILL_ICTSFWR,Y15T24,KZAKM,21.9742044812653
2015,PT,SKILL_ICTPST,Y15T24,KZAKM,32.21238938053098
2015,PT,SKILL_ICTTRFF,Y15T24,KZAKM,34.94916211636227
2015,PT,SKILL_ICTPRGM,Y15T24,KZAKM,3.7318772359254377
2015,PT,SKILL_ICTCMFL,Y15T24,KZAKT,14.568321881318427
2015,PT,SKILL_ICTCPT,Y15T24,KZAKT,16.91179805003401
2015,PT,SKILL_ICTATCH,Y15T24,KZAKT,50.20784521200211
2015,PT,SKILL_ICTSSHT,Y15T24,KZAKT,36.38349331116318
2015,PT,SKILL_ICTCDV,Y15T24,KZAKT,13.967954047313128
2015,PT,SKILL_ICTSFWR,Y15T24,KZAKT,16.35250547955559
2015,PT,SKILL_ICTPST,Y15T24,KZAKT,18.750661325674557
2015,PT,SKILL_ICTTRFF,Y15T24,KZAKT,20.984808404504573
2015,PT,SKILL_ICTPRGM,Y15T24,KZAKT,1.4670092963494823
2015,PT,SKILL_ICTCMFL,Y15T24,KZALM,10.10353472487036
2015,PT,SKILL_ICTCPT,Y15T24,KZALM,20.424349216152883
2015,PT,SKILL_ICTATCH,Y15T24,KZALM,40.324074915075656
2015,PT,SKILL_ICTSSHT,Y15T24,KZALM,31.40184199531327
2015,PT,SKILL_ICTCDV,Y15T24,KZALM,7.604861123726135
2015,PT,SKILL_ICTSFWR,Y15T24,KZALM,10.665043870006722
