Year,UNIT_MEASURE,SERIES,Value
2010,PER_1000_employees,SL_EMP_INJUR,0.48
2010,PER_1000_employees,SL_EMP_FTLINJUR,0.08
2011,PER_1000_employees,SL_EMP_INJUR,0.47
2011,PER_1000_employees,SL_EMP_FTLINJUR,0.07
2012,PER_1000_employees,SL_EMP_INJUR,0.45
2012,PER_1000_employees,SL_EMP_FTLINJUR,0.06
2013,PER_1000_employees,SL_EMP_INJUR,0.42
2013,PER_1000_employees,SL_EMP_FTLINJUR,0.06
2014,PER_1000_employees,SL_EMP_INJUR,0.39
2014,PER_1000_employees,SL_EMP_FTLINJUR,0.06
2015,PER_1000_employees,SL_EMP_INJUR,0.33
2015,PER_1000_employees,SL_EMP_FTLINJUR,0.05
2016,PER_1000_employees,SL_EMP_INJUR,0.32
2016,PER_1000_employees,SL_EMP_FTLINJUR,0.05
2017,PER_1000_employees,SL_EMP_INJUR,0.29
2017,PER_1000_employees,SL_EMP_FTLINJUR,0.04
2018,PER_1000_employees,SL_EMP_INJUR,0.25
2018,PER_1000_employees,SL_EMP_FTLINJUR,0.03
2019,PER_1000_employees,SL_EMP_INJUR,0.21
2019,PER_1000_employees,SL_EMP_FTLINJUR,0.029
