Year,Value,SERIES,UNIT_MEASURE
2010,17.8,жергілікті билік органдарында (Мәслихаттар),пайыз
2011,17.8,жергілікті билік органдарында (Мәслихаттар),пайыз
2011,16.94,ұлттық парламенттерде (Мәжіліс),пайыз
2012,23.8,жергілікті билік органдарында (Мәслихаттар),пайыз
2012,17.0,ұлттық парламенттерде (Мәжіліс),пайыз
2013,26.2,жергілікті билік органдарында (Мәслихаттар),пайыз
2013,18.17,ұлттық парламенттерде (Мәжіліс),пайыз
2014,26.2,жергілікті билік органдарында (Мәслихаттар),пайыз
2014,18.41,ұлттық парламенттерде (Мәжіліс),пайыз
2015,26.7,жергілікті билік органдарында (Мәслихаттар),пайыз
2015,18.8,ұлттық парламенттерде (Мәжіліс),пайыз
2016,27.6,жергілікті билік органдарында (Мәслихаттар),пайыз
2016,22.158920539730133,ұлттық парламенттерде (Мәжіліс),пайыз
2017,27.4,жергілікті билік органдарында (Мәслихаттар),пайыз
2017,22.09895052473763,ұлттық парламенттерде (Мәжіліс),пайыз
2018,27.4,жергілікті билік органдарында (Мәслихаттар),пайыз
2018,22.19,ұлттық парламенттерде (Мәжіліс),пайыз
2019,27.4,жергілікті билік органдарында (Мәслихаттар),пайыз
2019,22.2,ұлттық парламенттерде (Мәжіліс),пайыз
