Year,Value,SERIES,UNIT_MEASURE
2010,98.1,,пайыз
2010,98.9,АКДС-пен қамтылу (3 дозасы),пайыз
2010,99.6,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2011,97.1,,пайыз
2011,98.6,АКДС-пен қамтылу (3 дозасы),пайыз
2011,100.0,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2012,97.2,,пайыз
2012,98.1,АКДС-пен қамтылу (3 дозасы),пайыз
2012,97.0,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2012,38.5,Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),пайыз
2013,97.9,,пайыз
2013,98.1,АКДС-пен қамтылу (3 дозасы),пайыз
2013,99.3,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2013,51.8,Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),пайыз
2014,98.4,,пайыз
2014,98.5,АКДС-пен қамтылу (3 дозасы),пайыз
2014,99.2,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2014,58.5,Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),пайыз
2015,98.2,,пайыз
2015,97.9,АКДС-пен қамтылу (3 дозасы),пайыз
2015,98.4,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2015,73.7,Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),пайыз
2016,95.0,,пайыз
2016,82.5,АКДС-пен қамтылу (3 дозасы),пайыз
2016,99.3,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2016,97.3,Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),пайыз
2017,96.9,,пайыз
2017,100.0,АКДС-пен қамтылу (3 дозасы),пайыз
2017,98.7,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2017,98.3,Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),пайыз
2018,97.8,,пайыз
2018,98.3,АКДС-пен қамтылу (3 дозасы),пайыз
2018,98.4,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2018,95.5,Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),пайыз
2019,96.7,,пайыз
2019,97.4,АКДС-пен қамтылу (3 дозасы),пайыз
2019,97.8,Қызылшаға қарсы вакцинамен қамтылу (2 дозасы),пайыз
2019,89.4,Пневмококты конъюгациялы вакцинамен қамтылу (3 дозасы),пайыз
