Year,Value,SERIES,UNIT_MEASURE
2015,7.8,қалыпты және қатаң азық-түлік қауіпсіздігі,пайыз
2015,1.4,өткір азық-түлік қауіпсіздігі,пайыз
2016,7.8,қалыпты және қатаң азық-түлік қауіпсіздігі,пайыз
2016,1.4,өткір азық-түлік қауіпсіздігі,пайыз
2017,7.8,қалыпты және қатаң азық-түлік қауіпсіздігі,пайыз
2017,1.4,өткір азық-түлік қауіпсіздігі,пайыз
2018,4.2,қалыпты және қатаң азық-түлік қауіпсіздігі,пайыз
2018,1.7,өткір азық-түлік қауіпсіздігі,пайыз
2019,5.3,қалыпты және қатаң азық-түлік қауіпсіздігі,пайыз
2019,1.9,өткір азық-түлік қауіпсіздігі,пайыз
