Year,Value,UNIT_MEASURE
2010,3.251092147469366,100 000 ересекке шаққандағы коммерциялық банктер саны
2010,66.1084379184613,100 000 ересекке шаққандағы банкоматтар саны
2011,3.129183139172521,100 000 ересекке шаққандағы коммерциялық банктер саны
2011,69.52787742106614,100 000 ересекке шаққандағы банкоматтар саны
2012,3.2006036778831173,100 000 ересекке шаққандағы коммерциялық банктер саны
2012,73.2582619604358,100 000 ересекке шаққандағы банкоматтар саны
2013,3.156029890198204,100 000 ересекке шаққандағы коммерциялық банктер саны
2013,75.04988850298912,100 000 ересекке шаққандағы банкоматтар саны
2014,3.348735721714094,100 000 ересекке шаққандағы коммерциялық банктер саны
2014,76.30807191608898,100 000 ересекке шаққандағы банкоматтар саны
2015,3.3705674161164425,100 000 ересекке шаққандағы коммерциялық банктер саны
2015,75.18831606780726,100 000 ересекке шаққандағы банкоматтар саны
2016,2.9465215721088307,100 000 ересекке шаққандағы коммерциялық банктер саны
2016,78.03793005798485,100 000 ересекке шаққандағы банкоматтар саны
2017,2.8297588303577013,100 000 ересекке шаққандағы коммерциялық банктер саны
2017,78.63324107968191,100 000 ересекке шаққандағы банкоматтар саны
2018,2.699051416365501,100 000 ересекке шаққандағы коммерциялық банктер саны
2018,88.76253568387678,100 000 ересекке шаққандағы банкоматтар саны
2019,2.3329917037729904,100 000 ересекке шаққандағы коммерциялық банктер саны
2019,87.1,100 000 ересекке шаққандағы банкоматтар саны
